phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,96,96,23446,24576,64.28232637513429,1.493412037389094,382.31348157160807,0.05829278426244855,40.874547748826444,5.371983587741852,11.703953786287457,0.0,7.17730188369751,7.19140625,35.14097452163696,36.494140625,1,0
generate,0.1,7,2,96,96,30374,24576,82.40933952713385,1.164916507653739,298.2186259593572,0.05055056605488062,55.257099432870746,6.459025713149458,13.92490722797811,0.0,7.17751932144165,7.19140625,41.19438123703003,42.001953125,1,0
generate,0.1,7,3,96,96,35718,24576,94.45054153492674,1.0164049717438655,260.19967276642956,0.05944917583838105,66.08334965631366,7.873823465779424,14.062764471862465,0.0,7.177793979644775,7.19140625,49.558823585510254,50.537109375,1,0
generate,0.1,7,4,96,96,40015,24576,100.76386090833694,0.9527225250660994,243.89696641692146,0.06551839783787727,71.75750917801633,8.464967807754874,13.968897954095155,0.0,7.177954196929932,7.19140625,54.44416952133179,55.478515625,1,0
generate,0.1,7,5,96,96,44153,24576,109.27556466823444,0.8785129620831551,224.8993182932877,0.07182890176773071,80.25328889722005,8.73440480325371,13.654238425660878,0.0,7.1781487464904785,7.19140625,60.38240718841553,61.650390625,1,0
generate,0.1,7,6,96,96,47836,24576,112.42410734901205,0.8539093817483054,218.6008017275662,0.08918891614302993,83.02191008906811,9.138749305158854,13.450953749008477,0.0,7.1773247718811035,7.19140625,35.352633476257324,36.04296875,2,1
generate,0.1,7,7,96,96,51690,24576,112.75272164028138,0.8514206894825287,217.96369650752735,0.0799189293757081,83.83224306022748,8.957205752842128,13.278934333007783,0.0,7.178320407867432,7.19140625,65.62752103805542,67.04296875,1,0
generate,0.1,7,8,96,96,55438,24576,116.47803505510092,0.8241897277421137,210.99257030198112,0.0831401189789176,86.03292697295547,9.877721284981817,13.833121911156923,0.0,7.178366184234619,7.19140625,67.0270881652832,68.482421875,1,0
generate,0.1,7,9,96,96,59318,24576,116.53255113214254,0.8238041565840297,210.8938640855116,0.08893738081678748,85.21435909718275,10.469270268920809,14.149559530895203,0.0,7.1784234046936035,7.19140625,68.7770619392395,70.220703125,1,0
generate,0.1,7,10,96,96,63064,24576,123.60516956914216,0.7766665450533571,198.8266355336594,0.10585625609382987,94.71472698776051,8.744286725763232,13.240952499210835,0.0,7.177439212799072,7.19140625,38.85200881958008,39.94921875,2,1
generate,0.1,7,11,96,96,66770,24576,123.0686578466557,0.7800523844146947,199.69341041016185,0.11054168129339814,91.83827918767929,10.413206925150007,13.879422002937645,0.0,7.1774678230285645,7.19140625,39.72756814956665,40.4375,2,1
generate,0.1,7,12,96,96,70506,24576,120.21553653571755,0.7985656660233529,204.43281050197834,0.10198698099702597,89.40228128107265,10.547359907999635,13.120428781025112,0.0,7.178595066070557,7.19140625,74.03041553497314,74.087890625,1,0
generate,0.1,7,13,96,96,74265,24576,132.9193646372296,0.7222423930629533,184.89405262411606,0.11913157440721989,100.15058268746361,11.643772761337459,13.958367825951427,0.0,7.17751932144165,7.19140625,41.30429553985596,42.078125,2,1
generate,0.1,7,14,96,96,77911,24576,135.73226933926344,0.7072746994308888,181.06232305430754,0.1454233219847083,103.074845707044,11.74843512987718,13.784322008024901,0.0,7.177547931671143,7.19140625,42.18065595626831,42.9765625,2,1
hidden_state_write,0.1,7,0,96,96,0,0,0.015604038257151842,,,0.0,0.0,0.0,0.0,0.015604038257151842,7.176397800445557,7.19140625,42.18065595626831,42.9765625,0,0
generate,0.1,7,1,96,96,22602,24576,70.29117059707642,1.365747634938276,349.63139454419866,0.03998141037300229,44.28012301214039,4.7224858449772,15.08298312779516,0.0,7.17715311050415,7.19140625,35.083548069000244,36.318359375,1,0
generate,0.1,7,2,96,96,29446,24576,70.44029533024877,1.3628562962423478,348.89121183804104,0.04775499505922198,45.82577182399109,5.071326968260109,13.209805469028652,0.0,7.1772332191467285,7.19140625,35.1144700050354,36.416015625,1,0
generate,0.1,7,3,96,96,34207,24576,87.06039769575,1.102682764389513,282.2867876837153,0.056493837386369705,59.990463118068874,6.816473751794547,13.884141369722784,0.0,7.177610874176025,7.19140625,43.98106384277344,44.873046875,1,0
generate,0.1,7,4,96,96,37988,24576,88.5520624993369,1.0841080070915217,277.53164981542955,0.061110402923077345,61.33446442661807,6.988293663598597,13.881150865927339,0.0,7.177645206451416,7.19140625,45.02644729614258,45.947265625,1,0
generate,0.1,7,5,96,96,42232,24576,91.05760133964941,1.0542777163865233,269.89509539495,0.06608307315036654,65.50188122875988,4.94871841929853,14.16204843018204,0.0,7.1777024269104,7.19140625,46.769211292266846,47.685546875,1,0
generate,0.1,7,6,96,96,46272,24576,92.61069594090804,1.0365973284689984,265.3689160880636,0.06841486599296331,65.40258854813874,7.54485486401245,13.187228751834482,0.0,7.177748203277588,7.19140625,48.16383409500122,49.111328125,1,0
generate,0.1,7,7,96,96,50606,24576,105.90993175981566,0.9064305717589397,232.04622637028857,0.08178575756028295,76.75696185277775,8.955440354999155,13.60299584409222,0.0,7.1780571937561035,7.19140625,57.58711862564087,58.779296875,1,0
generate,0.1,7,8,96,96,54586,24576,119.2806822611019,0.8048243703859677,206.03503881880772,0.08477059891447425,87.35486326320097,10.863248099107295,14.172970231156796,0.0,7.178457736968994,7.19140625,69.82732057571411,69.96484375,1,0
generate,0.1,7,9,96,96,58386,24576,121.1972944336012,0.7920968900225267,202.77680384576684,0.10278185084462166,90.54615928279236,9.786863878369331,13.960471156984568,0.0,7.177490711212158,7.19140625,40.428221225738525,41.16015625,2,1
generate,0.1,7,10,96,96,62110,24503,122.72182857850567,0.7822569229286573,199.66293106792594,0.10445741098374128,93.09208368975669,8.618779580108821,14.005990938749164,0.0,7.17751932144165,7.19140625,41.30429553985596,42.078125,2,1
generate,0.1,7,11,96,96,65723,24576,126.47287399275228,0.7590560486946902,194.3183484658407,0.10860455548390746,95.2771589262411,10.569268584717065,13.611989026889205,0.0,7.177542209625244,7.19140625,42.00536060333252,42.78125,2,1
generate,0.1,7,12,96,96,69585,24576,123.78534826729447,0.775536049651882,198.5372287108818,0.11293395143002272,92.87395930290222,10.694823479279876,13.273654126096517,0.0,7.177565097808838,7.19140625,42.70660924911499,43.50390625,2,1
generate,0.1,7,13,96,96,73298,24576,129.7843085937202,0.7396888039872418,189.3603338207339,0.11862825090065598,97.34411084838212,11.336220602504909,14.041904772166163,0.0,7.177582263946533,7.19140625,43.23266553878784,44.03125,2,1
generate,0.1,7,14,96,96,77204,24576,137.16120955487713,0.6999063387640304,179.17602272359179,0.12235586484894156,104.38604606734589,11.98953091725707,13.56845963653177,0.0,7.177610874176025,7.19140625,44.10965538024902,44.91015625,2,1
hidden_state_write,0.1,7,0,96,96,0,0,0.012575013097375631,,,0.0,0.0,0.0,0.0,0.012575013097375631,7.176397800445557,7.19140625,44.10965538024902,44.91015625,0,0
generate,0.1,7,1,96,96,23683,24576,88.91989217931405,1.0796234413600991,276.3836009881854,0.049413197208195925,62.00844446429983,6.226515958085656,14.346200606785715,0.0,7.17766809463501,7.19140625,45.72348403930664,46.650390625,1,0
generate,0.1,7,2,96,96,29600,24576,90.44554264005274,1.0614121735335527,271.7215164245895,0.05372059112414718,62.56911377701908,7.186681938357651,14.271153050940484,0.0,7.1777024269104,7.19140625,46.769211292266846,47.685546875,1,0
generate,0.1,7,3,96,96,34911,24576,92.98292834311724,1.032447586999513,264.3065822718753,0.058856003917753696,64.28902211273089,7.479839183855802,14.769605292007327,0.0,7.177771091461182,7.19140625,48.86128282546997,49.814453125,1,0
generate,0.1,7,4,96,96,39172,24576,96.41144826402888,0.9957323712957604,254.90748705171467,0.06480477610602975,67.91925041377544,7.848581725731492,14.276651050895452,0.0,7.177839756011963,7.19140625,50.95417881011963,51.923828125,1,0
generate,0.1,7,5,96,96,43232,24576,101.01878900965676,0.950318261990084,243.2814750694615,0.06845240108668804,71.41646407591179,8.319622262846678,14.41032823221758,0.0,7.177919864654541,7.19140625,53.39693212509155,54.423828125,1,0
generate,0.1,7,6,96,96,47279,24576,102.6929562073201,0.9348255571316096,239.31534262569207,0.09736783895641565,73.88967505702749,7.557413475122303,14.514519221149385,0.0,7.177988529205322,7.19140625,55.49161338806152,57.177734375,1,0
generate,0.1,7,7,96,96,50852,24576,107.02636032504961,0.8969752844854159,229.62567282826646,0.07777928421273828,76.96675644768402,9.384919972158968,14.075627474114299,0.0,7.178102970123291,7.19140625,58.98457956314087,60.205078125,1,0
generate,0.1,7,8,96,96,54562,24576,109.73614084115252,0.8748257343855737,223.95538800270685,0.08349756896495819,79.26622846210375,10.090199230238795,13.676096693146974,0.0,7.178274631500244,7.19140625,64.2283205986023,65.59765625,1,0
generate,0.1,7,9,96,96,58251,24576,116.1999482465908,0.8261621579751138,211.49751244162914,0.08972746413201094,84.65784009499475,10.616639703977853,13.86590881505981,0.0,7.178343296051025,7.19140625,66.3272590637207,67.58984375,1,0
generate,0.1,7,10,96,96,62014,24576,125.08040130836889,0.7675063318938746,196.4816209648319,0.1102672042325139,94.04794820817187,10.459389360621572,13.57527099084109,0.0,7.177404880523682,7.19140625,37.80171537399292,38.5234375,2,1
generate,0.1,7,11,96,96,65553,24576,127.30599026568234,0.75408863164767,193.04668970180353,0.11013656994327903,95.7723108860664,10.804319239687175,13.705968151334673,0.0,7.177422046661377,7.19140625,38.32681083679199,39.40234375,2,1
generate,0.1,7,12,96,96,69317,24576,131.33074052724987,0.7309788981208167,187.13059791892908,0.11879523005336523,100.77807433158159,11.325432593934238,12.1082584974356,0.0,7.177450656890869,7.19140625,39.20219802856445,39.890625,2,1
generate,0.1,7,13,96,96,73176,24556,134.42609239788726,0.7141470698698135,182.67286924711604,0.12178434571251273,102.23979326849803,11.458373803645372,13.668676302302629,0.0,7.177479267120361,7.19140625,40.077871799468994,40.80859375,2,1
generate,0.1,7,14,96,96,76881,24576,135.41437062993646,0.7089350971644733,181.48738487410517,0.12640424398705363,103.76933050667867,10.471304683946073,14.096891508903354,0.0,7.1775078773498535,7.19140625,40.95383167266846,41.70703125,2,1
hidden_state_write,0.1,7,0,96,96,0,0,0.01303079817444086,,,0.0,0.0,0.0,0.0,0.01303079817444086,7.176397800445557,7.19140625,40.95383167266846,41.70703125,0,0
generate,0.1,7,1,96,96,24462,24576,91.36847466602921,1.0506906277126764,268.97680069444516,0.051857848186045885,64.48248522309586,7.455903227906674,13.070949282031506,0.0,7.177736759185791,7.19140625,47.815144062042236,48.740234375,1,0
generate,0.1,7,2,96,96,31536,24576,97.44469216093421,0.9851742344411306,252.20460401692944,0.07972815493121743,69.90828510792926,8.213921011891216,12.707651083823293,0.0,7.17788553237915,7.19140625,52.34990072250366,53.349609375,1,0
generate,0.1,7,3,96,96,36478,24576,101.35027475189418,0.947210061689604,242.48577579253862,0.06939761899411678,73.71131504978985,7.52501031011343,13.690145769156516,0.0,7.177931308746338,7.19140625,53.74598836898804,54.775390625,1,0
generate,0.1,7,4,96,96,41125,24550,110.16414251271635,0.8714269254074085,222.84928144533208,0.07190339686349034,81.27482366515324,9.6531637548469,12.558341433759779,0.0,7.178171634674072,7.19140625,61.08145809173584,62.373046875,1,0
generate,0.1,7,5,96,96,45389,24576,108.4883929733187,0.8848872894965819,226.53114611112497,0.07449619797989726,78.652767829597,9.605316753033549,13.499415770173073,0.0,7.178205966949463,7.19140625,62.13020610809326,63.44921875,1,0
generate,0.1,7,6,96,96,49681,24576,113.78711548866704,0.8436807593524189,215.98227439421925,0.08044745866209269,82.61974306358024,9.589537267107517,14.949340786784887,0.0,7.178263187408447,7.19140625,63.878577709198,65.24609375,1,0
generate,0.1,7,7,96,96,53872,24576,125.60720081394538,0.7642873925850732,195.65757250177873,0.0995266567915678,93.94242315040901,10.953577252104878,13.721971527207643,0.0,7.177404880523682,7.19140625,37.80171537399292,38.5234375,2,1
generate,0.1,7,8,96,96,57524,24576,135.11672512907535,0.7104967938520741,181.88717922613097,0.1054606675170362,101.57694305479527,11.637470890302211,14.816751918755472,0.0,7.17751932144165,7.19140625,41.30429553985596,42.078125,2,1
generate,0.1,7,9,96,96,61831,24576,139.1009227349423,0.690146392363828,176.67747644513997,0.15283277072012424,106.39618791593239,12.152791013941169,13.250771154649556,0.0,7.177633762359619,7.19140625,44.811452865600586,45.65234375,2,1
generate,0.1,7,10,96,96,66049,24576,142.33947525313124,0.6744439645381379,172.6576549217633,0.12923525413498282,108.29172482574359,13.06234340975061,13.684070046059787,0.0,7.177748203277588,7.19140625,48.32318830490112,49.24609375,2,1
generate,0.1,7,11,96,96,69703,24576,149.53680663974956,0.6419824132748431,164.34749779835983,0.12255702400580049,116.80714845657349,12.048519877716899,13.408791125752032,0.0,7.177862644195557,7.19140625,51.83950090408325,52.958984375,2,1
generate,0.1,7,12,96,96,73528,24576,155.0788534055464,0.6190399135138728,158.47421785955143,0.14802543073892593,119.53207845799625,14.688729199115187,13.520237495191395,0.0,7.177977085113525,7.19140625,55.36039161682129,56.630859375,2,1
generate,0.1,7,13,96,96,77096,24576,167.19967779284343,0.5741637858832587,146.98592918611422,0.1294788378290832,129.77826171461493,15.860574346035719,13.847667523659766,0.0,7.178085803985596,7.19140625,58.70947742462158,60.107421875,2,1
generate,0.1,7,14,96,96,80798,24576,168.58890640269965,0.5694324854963454,145.77471628706442,0.15258513670414686,131.20058349333704,16.01212727697566,13.992305832449347,0.0,7.1782002449035645,7.19140625,62.23929452896118,63.544921875,2,1
hidden_state_write,0.1,7,0,96,96,0,0,0.013667609542608261,,,0.0,0.0,0.0,0.0,0.013667609542608261,7.176397800445557,7.19140625,41.830077171325684,42.60546875,0,0
generate,0.1,7,1,96,96,23777,24576,63.401017242111266,1.5141712889779366,387.6278499783518,0.042193710803985596,39.32354238210246,4.425088617019355,13.510538097005337,0.0,7.17711877822876,7.19140625,35.07029581069946,36.6875,1,0
generate,0.1,7,2,96,96,30583,24576,69.601158156991,1.3792873932279157,353.0975726663464,0.05103947315365076,44.66008251020685,5.169235539156944,13.569341036956757,0.0,7.1772332191467285,7.19140625,35.1144700050354,36.416015625,1,0
generate,0.1,7,3,96,96,35814,24576,89.23704342916608,1.0757864258042364,275.40132500588453,0.05927754007279873,62.022021264303476,7.04498003423214,13.880707844160497,0.0,7.177679538726807,7.19140625,46.07203674316406,46.943359375,1,0
generate,0.1,7,4,96,96,40242,24576,93.3830202720128,1.028024149576275,263.1741822915264,0.06510748900473118,65.20335892308503,7.486628293991089,14.2417355007492,0.0,7.177748203277588,7.19140625,48.16383409500122,49.111328125,1,0
generate,0.1,7,5,96,96,44823,24576,95.47537170397118,1.0054949070809116,257.40669621271337,0.07055543502792716,67.5462653990835,7.776154099963605,13.623289714101702,0.0,7.177805423736572,7.19140625,49.90762805938721,50.888671875,1,0
generate,0.1,7,6,96,96,48712,24576,98.61516784504056,0.9734810790045004,249.2111562251521,0.06997631816193461,70.24815671378747,8.184948928188533,13.69130755122751,0.0,7.1778740882873535,7.19140625,52.00093603134155,52.998046875,1,0
generate,0.1,7,7,96,96,52731,24576,99.35840598028153,0.9661990754868991,247.34696332464617,0.07569545088335872,71.3593127722852,8.365860947873443,13.101508155930787,0.0,7.177931308746338,7.19140625,53.74598836898804,54.775390625,1,0
generate,0.1,7,8,96,96,56613,24576,107.33079054113477,0.8944311275077004,228.9743686419713,0.08248354820534587,77.71257034596056,9.172728932928294,13.78012383542955,0.0,7.178080081939697,7.19140625,58.28580331802368,59.482421875,1,0
generate,0.1,7,9,96,96,60793,24576,113.61302836192772,0.8449735156621357,216.31322000950675,0.11850648373365402,83.01543367607519,9.813933849800378,14.058530575130135,0.0,7.17821741104126,7.19140625,62.47983455657959,63.80078125,1,0
generate,0.1,7,10,96,96,64737,24576,123.20558711653575,0.7791854431828407,199.4714734548072,0.10865859175100923,92.78406649082899,10.038483744021505,13.37207540916279,0.0,7.177381992340088,7.19140625,37.10174894332886,37.76171875,2,1
generate,0.1,7,11,96,96,68665,24576,127.98400110704824,0.7500937552319823,192.02400133938747,0.11266762996092439,95.28537344699726,10.761035688687116,14.536185336764902,0.0,7.177450656890869,7.19140625,39.20219802856445,39.890625,2,1
generate,0.1,7,12,96,96,72756,24568,131.5665252050385,0.7296688869025749,186.73442930648397,0.11972029507160187,99.59633481688797,11.327617473434657,13.591325914952904,0.0,7.177525043487549,7.19140625,41.4795446395874,42.25390625,2,1
generate,0.1,7,13,96,96,77267,24576,144.36149389995262,0.6649972745954765,170.239302296442,0.1278564240783453,113.99296951619908,9.608131757937372,13.413916786201298,0.0,7.177656650543213,7.19140625,45.51343393325806,46.35546875,2,1
