run_id,brier,auc,n,scope
phi_4_mini_instruct__math_test_00000_5a6bb412__temp0.10__seed7,0.15653003369769045,,14,per_run_oof
phi_4_mini_instruct__math_test_00000_5a6bb412__temp0.60__seed7,0.14972151992748156,0.0,14,per_run_oof
phi_4_mini_instruct__math_test_00000_5a6bb412__temp1.00__seed7,0.10549895108565274,,14,per_run_oof
phi_4_mini_instruct__math_test_00001_28176864__temp0.10__seed7,0.2665176182525982,,14,per_run_oof
phi_4_mini_instruct__math_test_00001_28176864__temp0.60__seed7,0.3232021423215931,,14,per_run_oof
phi_4_mini_instruct__math_test_00001_28176864__temp1.00__seed7,0.14788238725194952,0.6923076923076923,14,per_run_oof
phi_4_mini_instruct__math_test_00002_12859ab8__temp0.10__seed7,0.22704095998553542,,14,per_run_oof
phi_4_mini_instruct__math_test_00002_12859ab8__temp0.60__seed7,0.14900599172677004,0.9333333333333333,14,per_run_oof
phi_4_mini_instruct__math_test_00002_12859ab8__temp1.00__seed7,0.16053775220903937,0.6923076923076923,14,per_run_oof
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.10__seed7,0.13051372713856454,,14,per_run_oof
phi_4_mini_instruct__math_test_00003_b88cddac__temp0.60__seed7,0.27457479948131025,,14,per_run_oof
phi_4_mini_instruct__math_test_00003_b88cddac__temp1.00__seed7,0.3286446361323598,,14,per_run_oof
phi_4_mini_instruct__math_test_00004_d6afb929__temp0.10__seed7,0.33700478478679863,,14,per_run_oof
phi_4_mini_instruct__math_test_00004_d6afb929__temp0.60__seed7,0.18286709718788716,,14,per_run_oof
phi_4_mini_instruct__math_test_00004_d6afb929__temp1.00__seed7,0.23592502252028322,,14,per_run_oof
phi_4_mini_instruct__math_test_00005_82ab404f__temp0.10__seed7,0.1730590957160508,,14,per_run_oof
phi_4_mini_instruct__math_test_00005_82ab404f__temp0.60__seed7,0.14697656731259232,,14,per_run_oof
phi_4_mini_instruct__math_test_00005_82ab404f__temp1.00__seed7,0.2003808171216361,,14,per_run_oof
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.10__seed7,0.16373803401198156,,14,per_run_oof
phi_4_mini_instruct__math_test_00006_27e7448e__temp0.60__seed7,0.26033863158698256,,14,per_run_oof
phi_4_mini_instruct__math_test_00006_27e7448e__temp1.00__seed7,0.26260331527053243,,14,per_run_oof
phi_4_mini_instruct__math_test_00007_8a27500a__temp0.10__seed7,0.10839012890665287,,14,per_run_oof
phi_4_mini_instruct__math_test_00007_8a27500a__temp0.60__seed7,0.12326636265153497,,14,per_run_oof
phi_4_mini_instruct__math_test_00007_8a27500a__temp1.00__seed7,0.3363111691045476,,14,per_run_oof
phi_4_mini_instruct__math_test_00008_e894d48c__temp0.10__seed7,0.15076304134354407,,14,per_run_oof
phi_4_mini_instruct__math_test_00008_e894d48c__temp0.60__seed7,0.1363749951660353,0.9230769230769231,14,per_run_oof
phi_4_mini_instruct__math_test_00008_e894d48c__temp1.00__seed7,0.13552132612378753,0.9230769230769231,14,per_run_oof
phi_4_mini_instruct__math_test_00009_99c62e67__temp0.10__seed7,0.15683859542493597,,14,per_run_oof
phi_4_mini_instruct__math_test_00009_99c62e67__temp0.60__seed7,0.14204064689945237,,14,per_run_oof
phi_4_mini_instruct__math_test_00009_99c62e67__temp1.00__seed7,0.10372131985939193,,14,per_run_oof
phi_4_mini_instruct__math_test_00010_88e977e0__temp0.10__seed7,0.21933514723357367,,14,per_run_oof
phi_4_mini_instruct__math_test_00010_88e977e0__temp0.60__seed7,0.10452555095289874,,14,per_run_oof
phi_4_mini_instruct__math_test_00010_88e977e0__temp1.00__seed7,0.15285337323888232,,14,per_run_oof
phi_4_mini_instruct__math_test_00011_3e051151__temp0.10__seed7,0.21868075856301125,0.8444444444444444,14,per_run_oof
phi_4_mini_instruct__math_test_00011_3e051151__temp0.60__seed7,0.17477352289018364,0.7708333333333333,14,per_run_oof
phi_4_mini_instruct__math_test_00011_3e051151__temp1.00__seed7,0.18101669889792515,0.7111111111111111,14,per_run_oof
phi_4_mini_instruct__math_test_00012_2ce46331__temp0.10__seed7,0.21054407834785177,,14,per_run_oof
phi_4_mini_instruct__math_test_00012_2ce46331__temp0.60__seed7,0.1212459725808787,,14,per_run_oof
phi_4_mini_instruct__math_test_00012_2ce46331__temp1.00__seed7,0.16603211250116032,,14,per_run_oof
phi_4_mini_instruct__math_test_00013_3fae6c79__temp0.10__seed7,0.5366615294865403,,14,per_run_oof
phi_4_mini_instruct__math_test_00013_3fae6c79__temp0.60__seed7,0.17770392570847446,0.8444444444444444,14,per_run_oof
phi_4_mini_instruct__math_test_00013_3fae6c79__temp1.00__seed7,0.11438527612332938,0.979591836734694,14,per_run_oof
phi_4_mini_instruct__math_test_00014_4bed628b__temp0.10__seed7,0.4307153082705915,,14,per_run_oof
phi_4_mini_instruct__math_test_00014_4bed628b__temp0.60__seed7,0.4024498512935738,,14,per_run_oof
phi_4_mini_instruct__math_test_00014_4bed628b__temp1.00__seed7,0.2345332328951206,0.6122448979591837,14,per_run_oof
phi_4_mini_instruct__math_test_00015_04ca2ad3__temp0.10__seed7,0.1670376846923409,,14,per_run_oof
phi_4_mini_instruct__math_test_00015_04ca2ad3__temp0.60__seed7,0.09420102500286735,,14,per_run_oof
phi_4_mini_instruct__math_test_00015_04ca2ad3__temp1.00__seed7,0.18027450123896374,,14,per_run_oof
phi_4_mini_instruct__math_test_00016_da610902__temp0.10__seed7,0.10484713172281132,,14,per_run_oof
phi_4_mini_instruct__math_test_00016_da610902__temp0.60__seed7,0.10380751877295281,1.0,14,per_run_oof
phi_4_mini_instruct__math_test_00016_da610902__temp1.00__seed7,0.10300513470629742,1.0,14,per_run_oof
phi_4_mini_instruct__math_test_00017_c6ed297b__temp0.10__seed7,0.22304872052512076,0.4666666666666667,14,per_run_oof
phi_4_mini_instruct__math_test_00017_c6ed297b__temp0.60__seed7,0.15623636894281806,,14,per_run_oof
phi_4_mini_instruct__math_test_00017_c6ed297b__temp1.00__seed7,0.14357977122982132,0.8461538461538461,14,per_run_oof
phi_4_mini_instruct__math_test_00018_407dceb0__temp0.10__seed7,0.11243064338945284,1.0,14,per_run_oof
phi_4_mini_instruct__math_test_00018_407dceb0__temp0.60__seed7,0.3297222814147524,0.7692307692307692,14,per_run_oof
phi_4_mini_instruct__math_test_00018_407dceb0__temp1.00__seed7,0.16971935252130313,0.9,14,per_run_oof
phi_4_mini_instruct__math_test_00019_646b1b85__temp0.10__seed7,0.34439648022826985,0.35,14,per_run_oof
phi_4_mini_instruct__math_test_00019_646b1b85__temp0.60__seed7,0.2556165404122449,0.7692307692307692,14,per_run_oof
phi_4_mini_instruct__math_test_00019_646b1b85__temp1.00__seed7,0.3300405858611676,0.6923076923076923,14,per_run_oof
phi_4_mini_instruct__math_test_00020_f9bb4c02__temp0.10__seed7,0.11972421814976153,,14,per_run_oof
phi_4_mini_instruct__math_test_00020_f9bb4c02__temp0.60__seed7,0.14801501645740206,,14,per_run_oof
phi_4_mini_instruct__math_test_00020_f9bb4c02__temp1.00__seed7,0.1157640525321985,,14,per_run_oof
phi_4_mini_instruct__math_test_00021_b40f659d__temp0.10__seed7,0.1656561218317746,0.75,14,per_run_oof
phi_4_mini_instruct__math_test_00021_b40f659d__temp0.60__seed7,0.13292330722480253,0.15384615384615385,14,per_run_oof
phi_4_mini_instruct__math_test_00021_b40f659d__temp1.00__seed7,0.12275710358979908,1.0,14,per_run_oof
phi_4_mini_instruct__math_test_00022_8fba220b__temp0.10__seed7,0.3120853927892136,0.8461538461538461,14,per_run_oof
phi_4_mini_instruct__math_test_00022_8fba220b__temp0.60__seed7,0.2581186619550463,0.25,14,per_run_oof
phi_4_mini_instruct__math_test_00022_8fba220b__temp1.00__seed7,0.2723625059060454,0.6000000000000001,14,per_run_oof
phi_4_mini_instruct__math_test_00023_998c2d9c__temp0.10__seed7,0.1178192112962587,,14,per_run_oof
phi_4_mini_instruct__math_test_00023_998c2d9c__temp0.60__seed7,0.12160627173241467,,14,per_run_oof
phi_4_mini_instruct__math_test_00023_998c2d9c__temp1.00__seed7,0.13770241059660568,,14,per_run_oof
phi_4_mini_instruct__math_test_00024_f928c750__temp0.10__seed7,0.20454330343168178,0.15384615384615385,14,per_run_oof
phi_4_mini_instruct__math_test_00024_f928c750__temp0.60__seed7,0.1284245685103732,,14,per_run_oof
phi_4_mini_instruct__math_test_00024_f928c750__temp1.00__seed7,0.32344285185547045,,14,per_run_oof
phi_4_mini_instruct__math_test_00025_4388bd76__temp0.10__seed7,0.1350507212265326,,14,per_run_oof
phi_4_mini_instruct__math_test_00025_4388bd76__temp0.60__seed7,0.3221125715465424,,14,per_run_oof
phi_4_mini_instruct__math_test_00025_4388bd76__temp1.00__seed7,0.16695945781873506,,14,per_run_oof
phi_4_mini_instruct__math_test_00026_4945051e__temp0.10__seed7,0.3365684830593074,0.3877551020408163,14,per_run_oof
phi_4_mini_instruct__math_test_00026_4945051e__temp0.60__seed7,0.28380008587246697,0.15384615384615385,14,per_run_oof
phi_4_mini_instruct__math_test_00026_4945051e__temp1.00__seed7,0.25806823309314486,0.07692307692307687,14,per_run_oof
phi_4_mini_instruct__math_test_00027_9d852676__temp0.10__seed7,0.31905474812019274,,14,per_run_oof
phi_4_mini_instruct__math_test_00027_9d852676__temp0.60__seed7,0.2655666942640234,,14,per_run_oof
phi_4_mini_instruct__math_test_00027_9d852676__temp1.00__seed7,0.16959391087153003,,14,per_run_oof
phi_4_mini_instruct__math_test_00028_a585adcc__temp0.10__seed7,0.4300215259743774,,14,per_run_oof
phi_4_mini_instruct__math_test_00028_a585adcc__temp0.60__seed7,0.4705845489465503,,14,per_run_oof
phi_4_mini_instruct__math_test_00028_a585adcc__temp1.00__seed7,0.4019570860419047,,14,per_run_oof
phi_4_mini_instruct__math_test_00029_1b84e405__temp0.10__seed7,0.23652793809077782,,14,per_run_oof
phi_4_mini_instruct__math_test_00029_1b84e405__temp0.60__seed7,0.355887928702766,0.375,14,per_run_oof
phi_4_mini_instruct__math_test_00029_1b84e405__temp1.00__seed7,0.15335662912644307,0.8461538461538461,14,per_run_oof
phi_4_mini_instruct__math_test_00030_a477f137__temp0.10__seed7,0.13664626955441422,,14,per_run_oof
phi_4_mini_instruct__math_test_00030_a477f137__temp0.60__seed7,0.1147074639383693,,14,per_run_oof
phi_4_mini_instruct__math_test_00030_a477f137__temp1.00__seed7,0.07437929783662309,,14,per_run_oof
phi_4_mini_instruct__math_test_00031_1bbccbd2__temp0.10__seed7,0.23824709454776286,,14,per_run_oof
phi_4_mini_instruct__math_test_00031_1bbccbd2__temp0.60__seed7,0.16178384885639616,,14,per_run_oof
phi_4_mini_instruct__math_test_00031_1bbccbd2__temp1.00__seed7,0.11610954467302591,,14,per_run_oof
phi_4_mini_instruct__math_test_00032_f08fb3bb__temp0.10__seed7,0.22369796133492786,0.6875,14,per_run_oof
phi_4_mini_instruct__math_test_00032_f08fb3bb__temp0.60__seed7,0.1599143935397578,0.6666666666666666,14,per_run_oof
phi_4_mini_instruct__math_test_00032_f08fb3bb__temp1.00__seed7,0.29248863322382046,0.6153846153846154,14,per_run_oof
phi_4_mini_instruct__math_test_00033_0f789c1f__temp0.10__seed7,0.26227827484099747,0.07692307692307687,14,per_run_oof
phi_4_mini_instruct__math_test_00033_0f789c1f__temp0.60__seed7,0.21130242906406987,,14,per_run_oof
phi_4_mini_instruct__math_test_00033_0f789c1f__temp1.00__seed7,0.1389376228798068,1.0,14,per_run_oof
phi_4_mini_instruct__math_test_00034_dae3e9e5__temp0.10__seed7,0.08342334659599736,,14,per_run_oof
phi_4_mini_instruct__math_test_00034_dae3e9e5__temp0.60__seed7,0.10096819275125701,,14,per_run_oof
phi_4_mini_instruct__math_test_00034_dae3e9e5__temp1.00__seed7,0.21364771101712782,,14,per_run_oof
phi_4_mini_instruct__math_test_00035_f144cd5e__temp0.10__seed7,0.2821007810446297,,14,per_run_oof
phi_4_mini_instruct__math_test_00035_f144cd5e__temp0.60__seed7,0.1900926935294481,,14,per_run_oof
phi_4_mini_instruct__math_test_00035_f144cd5e__temp1.00__seed7,0.3394003930149297,,14,per_run_oof
phi_4_mini_instruct__math_test_00036_ccf4238b__temp0.10__seed7,0.12907586541133506,0.8666666666666667,14,per_run_oof
phi_4_mini_instruct__math_test_00036_ccf4238b__temp0.60__seed7,0.12671479129135785,0.9583333333333333,14,per_run_oof
phi_4_mini_instruct__math_test_00036_ccf4238b__temp1.00__seed7,0.20750225999501098,0.15384615384615385,14,per_run_oof
phi_4_mini_instruct__math_test_00037_2426e280__temp0.10__seed7,0.4137718359327072,,14,per_run_oof
phi_4_mini_instruct__math_test_00037_2426e280__temp0.60__seed7,0.2151980671964135,0.6938775510204082,14,per_run_oof
phi_4_mini_instruct__math_test_00037_2426e280__temp1.00__seed7,0.15012437029319356,,14,per_run_oof
phi_4_mini_instruct__math_test_00038_0e7cb690__temp0.10__seed7,0.12929896330590865,,14,per_run_oof
phi_4_mini_instruct__math_test_00038_0e7cb690__temp0.60__seed7,0.308315246892387,,14,per_run_oof
phi_4_mini_instruct__math_test_00038_0e7cb690__temp1.00__seed7,0.3316892858332633,,14,per_run_oof
phi_4_mini_instruct__math_test_00039_8ba6a72a__temp0.10__seed7,0.17974655719628374,0.8444444444444444,14,per_run_oof
phi_4_mini_instruct__math_test_00039_8ba6a72a__temp0.60__seed7,0.1433540613661113,0.8500000000000001,14,per_run_oof
phi_4_mini_instruct__math_test_00039_8ba6a72a__temp1.00__seed7,0.24497097322991676,,14,per_run_oof
phi_4_mini_instruct__math_test_00040_814d16a0__temp0.10__seed7,0.22057856843738471,,14,per_run_oof
phi_4_mini_instruct__math_test_00040_814d16a0__temp0.60__seed7,0.10313046190828866,,14,per_run_oof
phi_4_mini_instruct__math_test_00040_814d16a0__temp1.00__seed7,0.16426017064723694,,14,per_run_oof
phi_4_mini_instruct__math_test_00041_7ad395c5__temp0.10__seed7,0.23766441319331055,,14,per_run_oof
phi_4_mini_instruct__math_test_00041_7ad395c5__temp0.60__seed7,0.33553129813719035,,14,per_run_oof
phi_4_mini_instruct__math_test_00041_7ad395c5__temp1.00__seed7,0.21235469092311834,,14,per_run_oof
phi_4_mini_instruct__math_test_00042_39c9185d__temp0.10__seed7,0.20303896468140364,,14,per_run_oof
phi_4_mini_instruct__math_test_00042_39c9185d__temp0.60__seed7,0.16479665977271443,,14,per_run_oof
phi_4_mini_instruct__math_test_00042_39c9185d__temp1.00__seed7,0.2063391365786318,,14,per_run_oof
phi_4_mini_instruct__math_test_00043_62275531__temp0.10__seed7,0.2668029698962103,,14,per_run_oof
phi_4_mini_instruct__math_test_00043_62275531__temp0.60__seed7,0.3031126167408571,,14,per_run_oof
phi_4_mini_instruct__math_test_00043_62275531__temp1.00__seed7,0.47580533376355955,,14,per_run_oof
phi_4_mini_instruct__math_test_00044_810e3649__temp0.10__seed7,0.1927832177684881,,14,per_run_oof
phi_4_mini_instruct__math_test_00044_810e3649__temp0.60__seed7,0.12608099907487508,,14,per_run_oof
phi_4_mini_instruct__math_test_00044_810e3649__temp1.00__seed7,0.23449978827824486,,14,per_run_oof
phi_4_mini_instruct__math_test_00045_152ae8e8__temp0.10__seed7,0.10377094790746388,,14,per_run_oof
phi_4_mini_instruct__math_test_00045_152ae8e8__temp0.60__seed7,0.10750623489253533,,14,per_run_oof
phi_4_mini_instruct__math_test_00045_152ae8e8__temp1.00__seed7,0.12676721286326584,,14,per_run_oof
phi_4_mini_instruct__math_test_00046_3e08e6df__temp0.10__seed7,0.11790224627014419,1.0,14,per_run_oof
phi_4_mini_instruct__math_test_00046_3e08e6df__temp0.60__seed7,0.12617653862475872,1.0,14,per_run_oof
phi_4_mini_instruct__math_test_00046_3e08e6df__temp1.00__seed7,0.22691409739219215,0.775,14,per_run_oof
phi_4_mini_instruct__math_test_00047_3a39ed4a__temp0.10__seed7,0.14505849005400623,0.8333333333333334,14,per_run_oof
phi_4_mini_instruct__math_test_00047_3a39ed4a__temp0.60__seed7,0.18597211238165703,0.48484848484848486,14,per_run_oof
phi_4_mini_instruct__math_test_00047_3a39ed4a__temp1.00__seed7,0.14704899336323637,,14,per_run_oof
phi_4_mini_instruct__math_test_00048_6a611c4a__temp0.10__seed7,0.11006241727879625,1.0,14,per_run_oof
phi_4_mini_instruct__math_test_00048_6a611c4a__temp0.60__seed7,0.23270724589811462,,14,per_run_oof
phi_4_mini_instruct__math_test_00048_6a611c4a__temp1.00__seed7,0.14079525709598376,0.9393939393939393,14,per_run_oof
phi_4_mini_instruct__math_test_00049_e45e9b10__temp0.10__seed7,0.15464731728485176,,14,per_run_oof
phi_4_mini_instruct__math_test_00049_e45e9b10__temp0.60__seed7,0.10226942683979809,,14,per_run_oof
phi_4_mini_instruct__math_test_00049_e45e9b10__temp1.00__seed7,0.11662298380036239,,14,per_run_oof
phi_4_mini_instruct__math_test_00050_f4090aaa__temp0.10__seed7,0.18613454685368896,0.9583333333333334,14,per_run_oof
