model,feature,coefficient
correctness_probe,step,0.0037032198629633724
correctness_probe,entropy_mean,-0.04073119841214677
correctness_probe,entropy_std,0.1076721000179579
correctness_probe,confidence,0.09093193175966958
correctness_probe,answer_changed,-0.08155768729895134
correctness_probe,thought_token_count,0.08615441476327344
correctness_probe,hidden_l2_shift,-0.09212496785267614
correctness_probe,hidden_cosine_shift,0.06654075714790694
correctness_probe,lexical_echo,0.10266251225137428
correctness_probe,verbose_confidence_proxy,-0.16540779451162466
repair_hazard,step,-0.018256406206143074
repair_hazard,entropy_mean,0.6939819587764511
repair_hazard,entropy_std,-0.672443269561819
repair_hazard,confidence,0.10957400711694042
repair_hazard,answer_changed,0.6695654768746858
repair_hazard,thought_token_count,-0.23346975565166106
repair_hazard,hidden_l2_shift,0.8963554608908947
repair_hazard,hidden_cosine_shift,-0.6876434657633668
repair_hazard,lexical_echo,0.02727115182678096
repair_hazard,verbose_confidence_proxy,-0.3033318432595666
corruption_hazard,step,0.08044608185820941
corruption_hazard,entropy_mean,0.5616874203585579
corruption_hazard,entropy_std,-0.49367342833703987
corruption_hazard,confidence,0.10992552983288416
corruption_hazard,answer_changed,0.7747893533627573
corruption_hazard,thought_token_count,-0.34239981873237657
corruption_hazard,hidden_l2_shift,0.8480926612551276
corruption_hazard,hidden_cosine_shift,-0.607723707901368
corruption_hazard,lexical_echo,-0.01090739381459001
corruption_hazard,verbose_confidence_proxy,-0.16073573546983938
