run_id,brier,auc,n,scope
qwen2p5_0p5b__gpqa_main_00000_e61ff7fc__temp0.10__seed7,0.22675041585773123,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00000_e61ff7fc__temp0.60__seed7,0.23304537505316172,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00000_e61ff7fc__temp1.00__seed7,0.22293121641809038,1.0,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00001_eadb944e__temp0.10__seed7,0.18408139880917967,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00001_eadb944e__temp0.60__seed7,0.2398030946621462,0.5833333333333334,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00001_eadb944e__temp1.00__seed7,0.2445344401421669,0.4444444444444444,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00002_1250771f__temp0.10__seed7,0.2566602024257043,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00002_1250771f__temp0.60__seed7,0.24983495522104765,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00002_1250771f__temp1.00__seed7,0.2498888319894515,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00003_6e947a5f__temp0.10__seed7,0.26375212963118,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00003_6e947a5f__temp0.60__seed7,0.24130836272380204,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00003_6e947a5f__temp1.00__seed7,0.24385036819745434,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00004_265cc24d__temp0.10__seed7,0.21086945194852563,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00004_265cc24d__temp0.60__seed7,0.19243867547839932,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00004_265cc24d__temp1.00__seed7,0.2174529678771632,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00005_f53e97d9__temp0.10__seed7,0.23635114915335778,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00005_f53e97d9__temp0.60__seed7,0.20005418977848755,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00005_f53e97d9__temp1.00__seed7,0.241692719605953,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00006_3739a204__temp0.10__seed7,0.26568331446587123,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00006_3739a204__temp0.60__seed7,0.2608671990910684,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00006_3739a204__temp1.00__seed7,0.19223975658735748,1.0,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00007_6c27f522__temp0.10__seed7,0.2320328288811025,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00007_6c27f522__temp0.60__seed7,0.29419078235925356,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00007_6c27f522__temp1.00__seed7,0.3025245925758651,0.6666666666666667,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00008_726ae877__temp0.10__seed7,0.2643236922787686,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00008_726ae877__temp0.60__seed7,0.276882118481269,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00008_726ae877__temp1.00__seed7,0.3232659645879161,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00009_a047a4da__temp0.10__seed7,0.24439588752742086,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00009_a047a4da__temp0.60__seed7,0.21810037600666515,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00009_a047a4da__temp1.00__seed7,0.2460022442149637,0.0,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00010_fa834623__temp0.10__seed7,0.21281133346259784,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00010_fa834623__temp0.60__seed7,0.25170256729704327,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00010_fa834623__temp1.00__seed7,0.2266736301883167,0.6666666666666667,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00011_159b66c2__temp0.10__seed7,0.21998771373956022,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00011_159b66c2__temp0.60__seed7,0.25823653881913494,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00011_159b66c2__temp1.00__seed7,0.24373031165012654,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00012_33e3f184__temp0.10__seed7,0.21367417375233852,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00012_33e3f184__temp0.60__seed7,0.23918110525648034,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00012_33e3f184__temp1.00__seed7,0.24383885627679777,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00013_c6091900__temp0.10__seed7,0.21573342179948388,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00013_c6091900__temp0.60__seed7,0.269669252017113,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00013_c6091900__temp1.00__seed7,0.2690813140652513,0.7142857142857142,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00014_cc7b0408__temp0.10__seed7,0.23644895065819022,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00014_cc7b0408__temp0.60__seed7,0.2542037615825972,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00014_cc7b0408__temp1.00__seed7,0.25241306259266727,0.125,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00015_c0c657da__temp0.10__seed7,0.24328421695237976,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00015_c0c657da__temp0.60__seed7,0.2958204341344647,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00015_c0c657da__temp1.00__seed7,0.253071187336469,0.1111111111111111,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00016_fc851e3b__temp0.10__seed7,0.23642249657888362,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00016_fc851e3b__temp0.60__seed7,0.27955081850607166,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00016_fc851e3b__temp1.00__seed7,0.21515654680034446,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00017_2e9ec04d__temp0.10__seed7,0.25002078449003273,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00017_2e9ec04d__temp0.60__seed7,0.2651553623567665,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00017_2e9ec04d__temp1.00__seed7,0.25845337517773426,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00018_e6715add__temp0.10__seed7,0.26043596630516413,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00018_e6715add__temp0.60__seed7,0.26204001179432596,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00018_e6715add__temp1.00__seed7,0.20385143932341157,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00019_9002350e__temp0.10__seed7,0.26137214533633335,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00019_9002350e__temp0.60__seed7,0.27647090562413246,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00019_9002350e__temp1.00__seed7,0.2594485077216916,0.1111111111111111,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00020_2e5b70ec__temp0.10__seed7,0.26759890183579343,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00020_2e5b70ec__temp0.60__seed7,0.292424445038754,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00020_2e5b70ec__temp1.00__seed7,0.2369009604767852,0.9375,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00021_766a20c4__temp0.10__seed7,0.1758023357883956,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00021_766a20c4__temp0.60__seed7,0.23077005902753892,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00021_766a20c4__temp1.00__seed7,0.22837525971859166,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00022_f1830e1a__temp0.10__seed7,0.26752345428760593,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00022_f1830e1a__temp0.60__seed7,0.26711866507634013,0.1111111111111111,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00022_f1830e1a__temp1.00__seed7,0.24413766688658295,0.8888888888888888,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00023_17e6f25c__temp0.10__seed7,0.2738316414423817,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00023_17e6f25c__temp0.60__seed7,0.2696190182951656,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00023_17e6f25c__temp1.00__seed7,0.26216965810964404,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00024_09d249e2__temp0.10__seed7,0.25765775730360363,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00024_09d249e2__temp0.60__seed7,0.26153994515468054,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00024_09d249e2__temp1.00__seed7,0.2469954913588941,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00025_3a4dd8d0__temp0.10__seed7,0.24018724597273663,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00025_3a4dd8d0__temp0.60__seed7,0.27642771986847936,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00025_3a4dd8d0__temp1.00__seed7,0.30696239328161284,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00026_c9f73204__temp0.10__seed7,0.24996708742216747,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00026_c9f73204__temp0.60__seed7,0.2673355790327404,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00026_c9f73204__temp1.00__seed7,0.2259598199194856,0.8095238095238095,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00027_c27e0667__temp0.10__seed7,0.26620649610927755,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00027_c27e0667__temp0.60__seed7,0.26135366526834136,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00027_c27e0667__temp1.00__seed7,0.21317848114836419,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00028_31c650a3__temp0.10__seed7,0.2874565007233007,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00028_31c650a3__temp0.60__seed7,0.22656839384408628,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00028_31c650a3__temp1.00__seed7,0.21439565828982815,1.0,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00029_dd14b86f__temp0.10__seed7,0.23704592688693876,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00029_dd14b86f__temp0.60__seed7,0.2507516574915353,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00029_dd14b86f__temp1.00__seed7,0.22862135796708621,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00030_36ae2620__temp0.10__seed7,0.21786181661585946,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00030_36ae2620__temp0.60__seed7,0.21410303645318757,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00030_36ae2620__temp1.00__seed7,0.24438489598684776,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00031_1a959528__temp0.10__seed7,0.24366771419919947,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00031_1a959528__temp0.60__seed7,0.25881177842023245,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00031_1a959528__temp1.00__seed7,0.2734120827969046,0.5416666666666667,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00032_2c712926__temp0.10__seed7,0.2386357472302718,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00032_2c712926__temp0.60__seed7,0.2306172020219297,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00032_2c712926__temp1.00__seed7,0.2503455044505421,0.2222222222222222,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00033_d3ee1999__temp0.10__seed7,0.23382371807292598,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00033_d3ee1999__temp0.60__seed7,0.264593465681569,0.875,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00033_d3ee1999__temp1.00__seed7,0.2622093784220388,,10,per_run_oof
qwen2p5_0p5b__gpqa_main_00034_5ed642db__temp0.10__seed7,0.22677640244201883,,10,per_run_oof
