run_id,task_id,detector,stop_step,stop_utility,oracle_step,oracle_utility,oracle_gap,false_early,false_late,false_late_severity
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,oracle,1,0.0,1,0.0,0.0,0,0,0
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,first_answer,1,0.0,1,0.0,0.0,0,0,0
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,verifier_first_correct,10,-0.45,1,0.0,0.45,0,1,9
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,answer_stability,2,-0.05,1,0.0,0.05,0,1,1
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,entropy_plateau,2,-0.05,1,0.0,0.05,0,1,1
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,hazard_drift,2,-0.05,1,0.0,0.05,0,1,1
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,empirical_bernstein,2,-0.05,1,0.0,0.05,0,1,1
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,e_process,2,-0.05,1,0.0,0.05,0,1,1
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gsm8k_train_00000_b5828bc4,never_stop,10,-0.45,1,0.0,0.45,0,1,9
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,oracle,1,0.0,1,0.0,0.0,0,0,0
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,first_answer,1,0.0,1,0.0,0.0,0,0,0
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,verifier_first_correct,10,-0.45,1,0.0,0.45,0,1,9
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,answer_stability,2,-0.05,1,0.0,0.05,0,1,1
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,entropy_plateau,2,-0.05,1,0.0,0.05,0,1,1
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,hazard_drift,2,-0.05,1,0.0,0.05,0,1,1
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,empirical_bernstein,2,-0.05,1,0.0,0.05,0,1,1
qwen2p5_0p5b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,gsm8k_train_00000_b5828bc4,e_process,2,-0.05,1,0.0,0.05,0,1,1
