model,feature,coefficient
correctness_probe,step,0.02194405606078152
correctness_probe,entropy_mean,-0.4812876172676023
correctness_probe,entropy_std,0.38053371192637886
correctness_probe,confidence,0.5298976981323128
correctness_probe,answer_changed,-0.10903474206872069
correctness_probe,thought_token_count,-0.05438755549668721
correctness_probe,hidden_l2_shift,-0.10584576474565675
correctness_probe,hidden_cosine_shift,0.09243642270330728
correctness_probe,lexical_echo,-0.2047343720683188
correctness_probe,verbose_confidence_proxy,-0.59113058115092
repair_hazard,step,-0.6645079633748714
repair_hazard,entropy_mean,0.28285079525695295
repair_hazard,entropy_std,-0.1115399750856363
repair_hazard,confidence,-0.15445221972796688
repair_hazard,answer_changed,1.064843951118539
repair_hazard,thought_token_count,-0.5599985319067166
repair_hazard,hidden_l2_shift,-0.29061969763264917
repair_hazard,hidden_cosine_shift,0.29868732450062396
repair_hazard,lexical_echo,-0.3973480346892467
repair_hazard,verbose_confidence_proxy,-0.14547086538289405
corruption_hazard,step,-0.27871875570615934
corruption_hazard,entropy_mean,0.6117646980661114
corruption_hazard,entropy_std,-0.67498673748564
corruption_hazard,confidence,0.021960383887942803
corruption_hazard,answer_changed,0.04403175881458545
corruption_hazard,thought_token_count,-0.7954469206985659
corruption_hazard,hidden_l2_shift,1.8523786218211635
corruption_hazard,hidden_cosine_shift,-0.9082554486873126
corruption_hazard,lexical_echo,0.690900809475026
corruption_hazard,verbose_confidence_proxy,-0.3615271275820978
