step,q_t,n_repairs,n_corruptions,repair_rate,corruption_rate,hazard_mu,entropy_mean,confidence_mean,answer_changed_rate,hidden_shift_mean,n_transitions
1,0.051333333333333335,11,9,0.007730147575544624,0.11688311688311688,-0.04866666666666667,0.5911756907304128,78.56466666666667,0.0,0.0,1500
2,0.05266666666666667,6,2,0.00422237860661506,0.02531645569620253,-0.04733333333333334,0.3774806325087945,79.55533333333334,0.4686666666666667,55.309834952672325,1500
3,0.05533333333333333,5,2,0.0035285815102328866,0.024096385542168676,-0.048,0.23976947371910015,81.108,0.252,34.76393321355184,1500
4,0.05733333333333333,2,4,0.0014144271570014145,0.046511627906976744,-0.051333333333333335,0.1974856888068219,81.43933333333334,0.156,25.435437905947367,1500
5,0.056,3,2,0.00211864406779661,0.023809523809523808,-0.04933333333333333,0.1784325197165211,81.53,0.13466666666666666,22.53502127456665,1500
6,0.056666666666666664,0,5,0.0,0.058823529411764705,-0.05333333333333334,0.1694948168192059,81.45866666666667,0.13333333333333333,21.074627363999685,1500
7,0.05333333333333334,5,1,0.0035211267605633804,0.0125,-0.04733333333333334,0.1676580396114538,81.92466666666667,0.12666666666666668,20.654197202682496,1500
8,0.056,3,3,0.00211864406779661,0.03571428571428571,-0.05,0.15533080601133406,82.226,0.12333333333333334,19.573843902428944,1500
9,0.056,2,2,0.0014124293785310734,0.023809523809523808,-0.05,0.15241678740518788,82.242,0.11933333333333333,19.364431660890578,1500
10,0.056,2,1,0.0014124293785310734,0.011904761904761904,-0.04933333333333333,0.1484675509762019,82.27066666666667,0.12866666666666668,19.670608703931173,1500
11,0.056666666666666664,0,2,0.0,0.023529411764705882,,0.14863091862884661,82.712,0.13266666666666665,19.235061567783355,1500
12,0.05533333333333333,2,0,0.0014114326040931546,0.0,,0.136610291822503,82.994,0.116,18.351803457657496,1500
13,0.056666666666666664,0,2,0.0,0.023529411764705882,,0.14231707323280474,83.17133333333334,0.10733333333333334,17.948869025389353,1500
