step,q_t,n_transitions,n_correct_states,n_incorrect_states,n_repairs,n_corruptions,pooled_repair_frequency,pooled_corruption_frequency,pooled_proxy_drift,repair_rate,corruption_rate,empirical_utility_drift,conditional_hazard_drift,hazard_mu,empirical_mu,empirical_variance,conditional_empirical_gap,fitted_q_t,fitted_repair_hazard,fitted_corruption_hazard,fitted_hazard_drift,entropy_mean,answer_changed_rate,hidden_shift_mean,confidence_mean,n_examples,e_process_value,delta_t,eb_upper_bound,eb_stop_signal,e_process_threshold,e_process_stop_signal
1,0.051333333333333335,1500,77,1423,11,9,0.007333333333333333,0.006,-0.04866666666666667,0.007730147575544624,0.11688311688311688,-0.048666666666666664,-0.04866666666666667,-0.04866666666666667,-0.048666666666666664,0.013331555555555553,-6.938893903907228e-18,0.45410727122137,0.6497458389199765,0.12411128846516256,0.2553258331502425,0.5911756907304128,0.0,0.0,78.56466666666667,1500,4.438560353268509e+20,0.03039635509270134,-0.021263805791098763,1,32.89868133696452,1
2,0.05266666666666667,1500,79,1421,6,2,0.004,0.0013333333333333333,-0.04733333333333334,0.00422237860661506,0.02531645569620253,-0.04733333333333333,-0.04733333333333334,-0.04733333333333334,-0.04733333333333333,0.005326222222222496,-6.938893903907228e-18,0.45399021853576854,0.5969059838138453,0.538430157126126,0.023696497055207412,0.3774806325087945,0.4686666666666667,55.309834952672325,79.55533333333334,1500,8.544249700284967e+22,0.007599088773175335,-0.016904153306177703,1,131.5947253478581,1
3,0.05533333333333333,1500,83,1417,5,2,0.0033333333333333335,0.0013333333333333333,-0.048,0.0035285815102328866,0.024096385542168676,-0.04799999999999999,-0.048,-0.048,-0.04799999999999999,0.004662666666666476,-1.3877787807814457e-17,0.46724527175606134,0.41623683537471384,0.4889326049194057,-0.05365168037255656,0.23976947371910015,0.252,34.76393321355184,81.108,1500,6.090081388246163e+23,0.0033773727880779263,-0.014346143510253938,1,296.08813203268073,1
4,0.05733333333333333,1500,86,1414,2,4,0.0013333333333333333,0.0026666666666666666,-0.051333333333333335,0.0014144271570014145,0.046511627906976744,-0.05133333333333335,-0.051333333333333335,-0.051333333333333335,-0.05133333333333335,0.00399822222222201,1.3877787807814457e-17,0.4731293640106972,0.323135825966246,0.4223305047641902,-0.07589217467635268,0.1974856888068219,0.156,25.435437905947367,81.43933333333334,1500,8.077357880924987e+26,0.0018997721932938337,-0.015608971914279467,1,526.3789013914324,1
5,0.056,1500,84,1416,3,2,0.002,0.0013333333333333333,-0.04933333333333333,0.00211864406779661,0.023809523809523808,-0.049333333333333326,-0.04933333333333333,-0.04933333333333333,-0.049333333333333326,0.0033328888888888735,-6.938893903907228e-18,0.4741953068958198,0.27850100967758484,0.39665376479120446,-0.0885716858709397,0.1784325197165211,0.13466666666666666,22.53502127456665,81.53,1500,3.1853039290561333e+25,0.0012158542037080534,-0.012198082501055404,1,822.4670334241131,1
6,0.056666666666666664,1500,85,1415,0,5,0.0,0.0033333333333333335,-0.05333333333333334,0.0,0.058823529411764705,-0.05333333333333332,-0.05333333333333334,-0.05333333333333334,-0.05333333333333332,0.0033222222222222897,-1.3877787807814457e-17,0.47019901558585997,0.24871590668897406,0.37639635905293933,-0.09146453087432557,0.16949481681920586,0.13333333333333333,21.074627363999685,81.45866666666667,1500,8.146676444860253e+28,0.0008443431970194816,-0.014613211417215659,1,1184.352528130723,1
7,0.05333333333333334,1500,80,1420,5,1,0.0033333333333333335,0.0006666666666666666,-0.04733333333333334,0.0035211267605633804,0.0125,-0.04733333333333332,-0.04733333333333334,-0.04733333333333334,-0.04733333333333332,0.003992888888889023,-2.0816681711721685e-17,0.47390179692358386,0.22226261383559726,0.3602482052981806,-0.10149662109072267,0.1676580396114538,0.12666666666666668,20.654197202682496,81.92466666666667,1500,3.2750274504206266e+23,0.0006203337774020681,-0.006677244641686439,1,1612.0353855112617,1
8,0.056,1500,84,1416,3,3,0.002,0.002,-0.05,0.00211864406779661,0.03571428571428571,-0.05000000000000004,-0.05,-0.05,-0.05000000000000004,0.004,3.469446951953614e-17,0.47602036519869323,0.19703024960848328,0.3479277353083232,-0.11075004596114092,0.15533080601133403,0.12333333333333334,19.573843902428944,82.226,1500,5.931926092810703e+25,0.00047494304832345843,-0.008164625472924701,1,2105.5156055657294,1
9,0.056,1500,84,1416,2,2,0.0013333333333333333,0.0013333333333333333,-0.05,0.0014124293785310734,0.023809523809523808,-0.04999999999999998,-0.05,-0.05,-0.04999999999999998,0.0026666666666666666,-2.0816681711721685e-17,0.4714672046040455,0.17193760034577535,0.32194240863909757,-0.10842114045155855,0.15241678740518785,0.11933333333333333,19.364431660890578,82.242,1500,2.3269028190043303e+26,0.0003752636431197696,-0.008401415786861911,1,2664.793188294126,1
10,0.056,1500,84,1416,2,1,0.0013333333333333333,0.0006666666666666666,-0.04933333333333333,0.0014124293785310734,0.011904761904761904,-0.049333333333333326,-0.04933333333333333,-0.04933333333333333,-0.049333333333333326,0.001999555555555517,-6.938893903907228e-18,0.47464551974137126,0.1628126661049326,0.3086812880471591,-0.10743061371666544,0.14846755097620187,0.12866666666666668,19.670608703931173,82.27066666666667,1500,1.2489769082261663e+26,0.00030396355092701335,-0.007592659664786797,1,3289.8681336964523,1
11,0.056666666666666664,1500,85,1415,0,2,0.0,0.0013333333333333333,-0.051333333333333335,0.0,0.023529411764705882,-0.05133333333333337,-0.051333333333333335,-0.051333333333333335,-0.05133333333333337,0.001331555555555625,3.469446951953614e-17,0.47405728660728846,0.14645992145529302,0.2936523660726555,-0.10824624796337526,0.14863091862884661,0.13266666666666665,19.235061567783355,82.712,1500,1.2574201196685823e+28,0.0002512095462206722,-0.009699439484676567,1,3980.740441772707,1
12,0.05533333333333333,1500,83,1417,2,0,0.0013333333333333333,0.0,-0.04866666666666667,0.0014114326040931546,0.0,-0.048666666666666705,-0.04866666666666667,-0.04866666666666667,-0.048666666666666705,0.0013315555555556172,3.469446951953614e-17,0.4728470987338581,0.12418925285223524,0.27744447911508874,-0.1141555596161267,0.13661029182250298,0.116,18.351803457657496,82.994,1500,6.704178211298347e+25,0.0002110857992548704,-0.006299016319538685,1,4737.410112522892,1
13,0.056666666666666664,1500,85,1415,0,2,0.0,0.0013333333333333333,-0.051333333333333335,0.0,0.023529411764705882,-0.051333333333333266,-0.051333333333333335,-0.051333333333333335,-0.051333333333333266,0.0013315555555555715,-6.938893903907228e-17,0.47481595593530057,0.1051263588543322,0.2598794335939665,-0.1195673413825318,0.1423170732328047,0.10733333333333334,17.948869025389353,83.17133333333334,1500,1.257420119668154e+28,0.00017986008930592507,-0.008290993977991816,1,5559.8771459470045,1
