run_id,brier,auc,n,scope
qwen2p5_14b__math_test_00000_5a6bb412__temp0.10__seed7,0.4004887743334929,,14,per_run_oof
qwen2p5_14b__math_test_00000_5a6bb412__temp0.60__seed7,0.28017568906545254,,14,per_run_oof
qwen2p5_14b__math_test_00000_5a6bb412__temp1.00__seed7,0.181204850315481,,14,per_run_oof
qwen2p5_14b__math_test_00001_28176864__temp0.10__seed7,0.023991322860922693,,14,per_run_oof
qwen2p5_14b__math_test_00001_28176864__temp0.60__seed7,0.002311980930987879,,14,per_run_oof
qwen2p5_14b__math_test_00001_28176864__temp1.00__seed7,0.22359066008059195,,14,per_run_oof
qwen2p5_14b__math_test_00002_12859ab8__temp0.10__seed7,0.06501826868323217,,14,per_run_oof
qwen2p5_14b__math_test_00002_12859ab8__temp0.60__seed7,0.06107272081994088,,14,per_run_oof
qwen2p5_14b__math_test_00002_12859ab8__temp1.00__seed7,0.009387391751778466,,14,per_run_oof
qwen2p5_14b__math_test_00003_b88cddac__temp0.10__seed7,0.44260273902495084,,14,per_run_oof
qwen2p5_14b__math_test_00003_b88cddac__temp0.60__seed7,0.07298117783424807,1.0,14,per_run_oof
qwen2p5_14b__math_test_00003_b88cddac__temp1.00__seed7,0.042024338474854296,,14,per_run_oof
qwen2p5_14b__math_test_00004_d6afb929__temp0.10__seed7,0.38196081033016893,,14,per_run_oof
qwen2p5_14b__math_test_00004_d6afb929__temp0.60__seed7,0.000932213777133018,,14,per_run_oof
qwen2p5_14b__math_test_00004_d6afb929__temp1.00__seed7,0.29183009517374436,,14,per_run_oof
qwen2p5_14b__math_test_00005_82ab404f__temp0.10__seed7,0.17550066077523052,,14,per_run_oof
qwen2p5_14b__math_test_00005_82ab404f__temp0.60__seed7,0.09575721357758796,0.46153846153846156,14,per_run_oof
qwen2p5_14b__math_test_00005_82ab404f__temp1.00__seed7,0.31944597834659433,,14,per_run_oof
qwen2p5_14b__math_test_00006_27e7448e__temp0.10__seed7,0.05552784185422364,1.0,14,per_run_oof
qwen2p5_14b__math_test_00006_27e7448e__temp0.60__seed7,0.02870110050647203,1.0,14,per_run_oof
qwen2p5_14b__math_test_00006_27e7448e__temp1.00__seed7,0.42326031539494935,,14,per_run_oof
qwen2p5_14b__math_test_00007_8a27500a__temp0.10__seed7,0.0055282013010473415,,14,per_run_oof
qwen2p5_14b__math_test_00007_8a27500a__temp0.60__seed7,0.37404716813127614,,14,per_run_oof
qwen2p5_14b__math_test_00007_8a27500a__temp1.00__seed7,0.01283834796784884,,14,per_run_oof
qwen2p5_14b__math_test_00008_e894d48c__temp0.10__seed7,0.026042780294822234,,14,per_run_oof
qwen2p5_14b__math_test_00008_e894d48c__temp0.60__seed7,0.01872564490946541,,14,per_run_oof
qwen2p5_14b__math_test_00008_e894d48c__temp1.00__seed7,0.06801713092300281,0.9791666666666667,14,per_run_oof
qwen2p5_14b__math_test_00009_99c62e67__temp0.10__seed7,0.026583312979322527,,14,per_run_oof
qwen2p5_14b__math_test_00009_99c62e67__temp0.60__seed7,0.23288123083375994,,14,per_run_oof
qwen2p5_14b__math_test_00009_99c62e67__temp1.00__seed7,0.29270312741889437,,14,per_run_oof
qwen2p5_14b__math_test_00010_88e977e0__temp0.10__seed7,0.005389868370844556,,14,per_run_oof
qwen2p5_14b__math_test_00010_88e977e0__temp0.60__seed7,0.0049267246238399185,,14,per_run_oof
