run_id,brier,auc,n,scope
qwen2p5_32b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.11031624747560742,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.09626305168253314,0.9375,10,per_run_oof
qwen2p5_32b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.1262704335475796,0.9375,10,per_run_oof
qwen2p5_32b__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.05746742795640945,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.04750507603281835,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.43215250525059645,,10,per_run_oof
qwen2p5_32b__gsm8k_train_00002_ae407466__temp0.10__seed7,0.05894903938266925,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00002_ae407466__temp0.60__seed7,0.1703281272040908,0.88,10,per_run_oof
qwen2p5_32b__gsm8k_train_00002_ae407466__temp1.00__seed7,0.062283280091018044,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.11765061454207235,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.09620064773378229,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.15818890574288214,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.07680317809345617,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.0740311346250028,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.06244216594515697,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00005_d0817615__temp0.10__seed7,0.29069053443285453,0.5238095238095237,10,per_run_oof
qwen2p5_32b__gsm8k_train_00005_d0817615__temp0.60__seed7,0.3556539381311339,,10,per_run_oof
qwen2p5_32b__gsm8k_train_00005_d0817615__temp1.00__seed7,0.23837304531311515,0.6799999999999999,10,per_run_oof
qwen2p5_32b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.1351609213693021,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.1684567036781165,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.11272442050108744,0.9375,10,per_run_oof
qwen2p5_32b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.0967132441545518,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.10005037616894678,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.08845847471653437,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.3691474967973541,,10,per_run_oof
qwen2p5_32b__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.42457179499990155,,10,per_run_oof
qwen2p5_32b__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.40181621820774344,,10,per_run_oof
qwen2p5_32b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.1253367439891398,1.0,10,per_run_oof
qwen2p5_32b__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.1475955851453123,0.9166666666666667,10,per_run_oof
qwen2p5_32b__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.11051923088365426,0.9523809523809524,10,per_run_oof
