run_id,brier,auc,n,scope
qwen2p5_3b__gpqa_main_00000_e61ff7fc__temp0.10__seed7,0.2308078735081486,,10,per_run_oof
qwen2p5_3b__gpqa_main_00000_e61ff7fc__temp0.60__seed7,0.26539178274228853,,10,per_run_oof
qwen2p5_3b__gpqa_main_00000_e61ff7fc__temp1.00__seed7,0.24983917029939012,0.3333333333333333,10,per_run_oof
qwen2p5_3b__gpqa_main_00001_eadb944e__temp0.10__seed7,0.2471525647449197,,10,per_run_oof
qwen2p5_3b__gpqa_main_00001_eadb944e__temp0.60__seed7,0.1971509992491908,0.6875,10,per_run_oof
qwen2p5_3b__gpqa_main_00001_eadb944e__temp1.00__seed7,0.2014333396975015,0.2222222222222222,10,per_run_oof
qwen2p5_3b__gpqa_main_00002_1250771f__temp0.10__seed7,0.25969736702695206,0.5555555555555556,10,per_run_oof
qwen2p5_3b__gpqa_main_00002_1250771f__temp0.60__seed7,0.2361527631983206,,10,per_run_oof
qwen2p5_3b__gpqa_main_00002_1250771f__temp1.00__seed7,0.2818251272055511,,10,per_run_oof
qwen2p5_3b__gpqa_main_00003_6e947a5f__temp0.10__seed7,0.2609576225635045,0.125,10,per_run_oof
qwen2p5_3b__gpqa_main_00003_6e947a5f__temp0.60__seed7,0.23298273687919266,0.7777777777777778,10,per_run_oof
qwen2p5_3b__gpqa_main_00003_6e947a5f__temp1.00__seed7,0.22893654034268143,,10,per_run_oof
qwen2p5_3b__gpqa_main_00004_265cc24d__temp0.10__seed7,0.13344678890717765,,10,per_run_oof
qwen2p5_3b__gpqa_main_00004_265cc24d__temp0.60__seed7,0.12903977333688654,,10,per_run_oof
qwen2p5_3b__gpqa_main_00004_265cc24d__temp1.00__seed7,0.21203667933955456,,10,per_run_oof
qwen2p5_3b__gpqa_main_00005_f53e97d9__temp0.10__seed7,0.2639977060285189,0.2857142857142857,10,per_run_oof
qwen2p5_3b__gpqa_main_00005_f53e97d9__temp0.60__seed7,0.26673500617494506,,10,per_run_oof
qwen2p5_3b__gpqa_main_00005_f53e97d9__temp1.00__seed7,0.2974774964126634,,10,per_run_oof
qwen2p5_3b__gpqa_main_00006_3739a204__temp0.10__seed7,0.18782672236319678,,10,per_run_oof
qwen2p5_3b__gpqa_main_00006_3739a204__temp0.60__seed7,0.21297861977541901,,10,per_run_oof
qwen2p5_3b__gpqa_main_00006_3739a204__temp1.00__seed7,0.21718322220367597,,10,per_run_oof
