model,feature,coefficient
correctness_probe,step,-0.0583864195283498
correctness_probe,entropy_mean,0.006600902498198914
correctness_probe,entropy_std,-0.34846207523564604
correctness_probe,confidence,0.7384020586482131
correctness_probe,answer_changed,-0.23793046108356405
correctness_probe,thought_token_count,0.14723502024850169
correctness_probe,hidden_l2_shift,0.6960443511099775
correctness_probe,hidden_cosine_shift,-0.10023135879006395
correctness_probe,lexical_echo,0.2961888543162117
correctness_probe,verbose_confidence_proxy,-0.29787643204216896
repair_hazard,step,-1.153247095684208
repair_hazard,entropy_mean,-0.19766279258336183
repair_hazard,entropy_std,-0.171893717735603
repair_hazard,confidence,0.05733762398138309
repair_hazard,answer_changed,0.20338324715779793
repair_hazard,thought_token_count,0.14411673451824245
repair_hazard,hidden_l2_shift,0.23264824179141297
repair_hazard,hidden_cosine_shift,-0.0843363218783676
repair_hazard,lexical_echo,-0.43407839773478724
repair_hazard,verbose_confidence_proxy,-0.03275750926106013
corruption_hazard,step,-0.7417256310996598
corruption_hazard,entropy_mean,0.2217223724697181
corruption_hazard,entropy_std,-0.11661251558370331
corruption_hazard,confidence,-0.19495767442757894
corruption_hazard,answer_changed,0.41368349872934856
corruption_hazard,thought_token_count,0.12900622892705263
corruption_hazard,hidden_l2_shift,-0.44713220224064465
corruption_hazard,hidden_cosine_shift,0.18188448932369636
corruption_hazard,lexical_echo,-0.7237903193169418
corruption_hazard,verbose_confidence_proxy,-0.11249961644562918
