step,q_t,n_transitions,n_correct_states,n_incorrect_states,n_repairs,n_corruptions,pooled_repair_frequency,pooled_corruption_frequency,pooled_proxy_drift,repair_rate,corruption_rate,empirical_utility_drift,conditional_hazard_drift,hazard_mu,empirical_mu,empirical_variance,conditional_empirical_gap,fitted_q_t,fitted_repair_hazard,fitted_corruption_hazard,fitted_hazard_drift,entropy_mean,answer_changed_rate,hidden_shift_mean,confidence_mean,n_examples,e_process_value,delta_t,eb_upper_bound,eb_stop_signal,e_process_threshold,e_process_stop_signal
1,0.044,1500,66,1434,63,29,0.042,0.019333333333333334,-0.027333333333333334,0.043933054393305436,0.4393939393939394,-0.02733333333333334,-0.027333333333333338,-0.027333333333333338,-0.02733333333333334,0.06081955555555751,3.469446951953614e-18,0.2811545502524313,0.6015675605007826,0.5767466421448311,0.22277800434203285,0.33989853846281765,0.0,0.0,67.466,1500,701.3278788579511,0.03039635509270134,0.010332035135301596,0,32.89868133696452,1
2,0.06666666666666667,1500,100,1400,82,19,0.05466666666666667,0.012666666666666666,-0.008,0.05857142857142857,0.19,-0.007999999999999995,-0.008,-0.008,-0.007999999999999995,0.06556933333333262,-5.204170427930421e-18,0.3162209787623644,0.7104856050172459,0.8455239652232764,0.17468008812068653,0.35586082345247266,0.8946666666666667,31.176170736312866,66.67,1500,0.42792261980110097,0.007599088773175335,0.03877513628798106,0,131.5947253478581,0
3,0.10866666666666666,1500,163,1337,54,21,0.036,0.014,-0.028000000000000004,0.04038893044128646,0.12883435582822086,-0.028,-0.028000000000000004,-0.028000000000000004,-0.028,0.04951600000000018,-3.469446951953614e-18,0.34497207655589,0.6362377163333187,0.7681411258759805,0.12335976894906654,0.32417227638761204,0.77,25.74361974875132,70.15333333333334,1500,4062.6154194871588,0.0033773727880779263,0.02032867716263571,0,296.08813203268073,1
4,0.13066666666666665,1500,196,1304,34,11,0.02266666666666667,0.007333333333333333,-0.034666666666666665,0.02607361963190184,0.05612244897959184,-0.034666666666666686,-0.03466666666666667,-0.03466666666666667,-0.034666666666666686,0.029764888888888074,1.3877787807814457e-17,0.38073511676143257,0.5516256273278745,0.6652530274943207,0.07702088363950242,0.2948779489137232,0.57,21.747983383655548,72.286,1500,73750065.7788927,0.0018997721932938337,0.01188796861753168,0,526.3789013914324,1
5,0.146,1500,219,1281,18,15,0.012,0.01,-0.048,0.01405152224824356,0.0684931506849315,-0.048,-0.048,-0.048,-0.048,0.021996000000000255,0.0,0.41123998899789893,0.4745286807753799,0.5784105573332908,0.03702191727242723,0.2679937127046287,0.41933333333333334,19.03859755849838,74.21266666666666,1500,1.03565342549003e+17,0.0012158542037080534,-0.0016209717886963085,1,822.4670334241131,1
6,0.148,1500,222,1278,30,16,0.02,0.010666666666666666,-0.04066666666666667,0.023474178403755867,0.07207207207207207,-0.04066666666666667,-0.04066666666666667,-0.04066666666666667,-0.04066666666666667,0.030579555555556512,0.0,0.4360279277758648,0.4163129970772484,0.5131578710123361,0.010288137861343813,0.24174781212645272,0.3253333333333333,17.708633041381837,75.598,1500,39422562670.36653,0.0008443431970194816,0.010293193628611468,0,1184.352528130723,1
7,0.15733333333333333,1500,236,1264,13,8,0.008666666666666666,0.005333333333333333,-0.04666666666666667,0.010284810126582278,0.03389830508474576,-0.04666666666666667,-0.04666666666666667,-0.04666666666666667,-0.04666666666666667,0.01398888888888829,0.0,0.45678310740085315,0.36691003336026634,0.45893967324117696,-0.011970838043162641,0.2127659996598959,0.2713333333333333,16.07522580575943,76.82866666666666,1500,6.490051080780648e+18,0.0006203337774020681,-0.00015186596330017677,1,1612.0353855112617,1
8,0.16066666666666668,1500,241,1259,11,12,0.007333333333333333,0.008,-0.05066666666666667,0.008737092930897538,0.04979253112033195,-0.050666666666666686,-0.05066666666666667,-0.05066666666666667,-0.050666666666666686,0.015332888888889118,1.3877787807814457e-17,0.47484176564367725,0.3245396022720909,0.41391474140298884,-0.0250568289626362,0.18683980537733683,0.22333333333333333,15.02241071399053,77.748,1500,2.768241069755204e+21,0.00047494304832345843,-0.0022875044320895196,1,2105.5156055657294,1
9,0.16,1500,240,1260,13,8,0.008666666666666666,0.005333333333333333,-0.04666666666666667,0.010317460317460317,0.03333333333333333,-0.04666666666666665,-0.04666666666666667,-0.04666666666666667,-0.04666666666666665,0.013988888888888251,-2.0816681711721685e-17,0.48736196285994077,0.29253011565246523,0.3773621726917125,-0.03701458898809686,0.16848235345631837,0.19066666666666668,13.676041368484498,78.016,1500,6.490051080780289e+18,0.0003752636431197696,0.0022259211342048404,0,2664.793188294126,1
10,0.16333333333333333,1500,245,1255,9,11,0.006,0.007333333333333333,-0.051333333333333335,0.007171314741035857,0.044897959183673466,-0.051333333333333335,-0.051333333333333335,-0.051333333333333335,-0.051333333333333335,0.013331555555555473,0.0,0.4949839578963337,0.26180477687139464,0.3518586951951869,-0.045166736652163066,0.15836082058617224,0.18266666666666667,13.218100439389547,78.53133333333334,1500,6.593985784398443e+22,0.00030396355092701335,-0.001758377380170685,1,3289.8681336964523,1
