phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,64,64,26965,7956,121.51117765204981,0.5267005162542786,65.47545792686002,0.04803653294220567,97.25461642397568,18.443678930867463,1.947524073999375,0.0,14.217570781707764,14.259765625,28.75605344772339,30.615234375,1,0
generate,0.1,7,2,64,64,32584,6803,120.67949861101806,0.5303303438994963,56.37245827419178,0.061715390998870134,97.37739838380367,18.086270180065185,1.523581925779581,0.0,14.217639446258545,14.259765625,29.29993772506714,30.712890625,1,0
generate,0.1,7,3,64,64,38824,5237,120.91585844894871,0.5292936825736644,43.31110961934814,0.055834739934653044,98.207529312931,17.63461358193308,1.4241344309411943,0.0,14.21766996383667,14.259765625,29.686687469482422,30.751953125,1,0
generate,0.1,7,4,64,64,43399,5429,114.58305639401078,0.5585468045111882,47.38047815142564,0.059551565907895565,92.52279641898349,17.04608679143712,1.6683828951790929,0.0,14.217715740203857,14.259765625,30.267040252685547,31.337890625,1,0
generate,0.1,7,5,64,64,48100,4405,90.2376377149485,0.7092384244606389,48.81555093357991,0.06383510213345289,67.33275430370122,18.836566182784736,1.6143540851771832,0.0,14.217753887176514,14.259765625,30.750877857208252,31.845703125,1,0
generate,0.1,7,6,64,64,51657,4131,87.31118687428534,0.7330103081996828,47.313524737076406,0.06751971505582333,63.548357107210904,20.152842394076288,1.2910041119903326,0.0,14.217822551727295,14.26171875,31.622265815734863,32.783203125,1,0
generate,0.1,7,7,64,64,54803,3995,80.10655802395195,0.7989358371990459,49.8710729626592,0.08132577361539006,60.80585679039359,15.779656612314284,1.1728736250661314,0.0,14.217071056365967,14.259765625,22.14500617980957,22.681640625,4,3
generate,0.1,7,8,64,64,58039,4168,97.47212741617113,0.6565979598120689,42.760942132760995,0.08886060630902648,73.586710751988,20.316690278239548,1.0701693636365235,0.0,14.217219829559326,14.259765625,24.034204959869385,24.6953125,2,1
generate,0.1,7,9,64,64,61191,4176,92.79604240506887,0.6896845850454509,45.00191917421568,0.08408926194533706,68.14314272906631,21.181098303291947,0.994346777908504,0.0,14.217265605926514,14.259765625,24.616663932800293,25.3203125,2,1
generate,0.1,7,10,64,64,64369,4002,87.84664179896936,0.7285423630246372,45.556664637884346,0.08572652330622077,62.95541701419279,21.695525811053813,1.0061565013602376,0.0,14.217307567596436,14.259765625,25.15106773376465,25.92578125,2,1
hidden_state_write,0.1,7,0,64,64,0,0,0.011102198623120785,,,0.0,0.0,0.0,0.0,0.011102198623120785,14.216441631317139,14.259765625,22.677269458770752,23.25,0,0
generate,0.1,7,1,64,64,26100,9139,80.85665478603914,0.7915242124393496,113.02718402317525,0.03922193497419357,66.07961815409362,9.23201149981469,2.068484744988382,0.0,14.21705961227417,14.259765625,28.5260272026062,28.59765625,1,0
generate,0.1,7,2,64,64,31661,6744,102.43933307752013,0.6247600221251784,65.83408733144067,0.04707715706899762,84.99218534911051,12.174918925855309,1.6278948746621609,0.0,14.216796398162842,14.259765625,21.391833782196045,21.919921875,2,1
generate,0.1,7,3,64,64,38055,5358,105.34274902148172,0.6075406289895565,50.86254203321944,0.05327717587351799,87.21689539169893,13.608318284153938,1.1538803591392934,0.0,14.21690320968628,14.259765625,20.425904750823975,21.236328125,2,1
generate,0.1,7,4,64,64,43331,4731,102.25301723787561,0.6258984011309323,46.267583371100635,0.05634355591610074,81.8208815138787,15.80623940192163,1.1158724217675626,0.0,14.217402935028076,14.259765625,28.680522441864014,29.94921875,1,0
generate,0.1,7,5,64,64,47490,4599,94.3412425192073,0.6783883515946909,48.748562952874735,0.059943004976958036,74.62987437099218,15.663842525333166,0.897795335855335,0.0,14.217418193817139,14.259765625,26.82383108139038,28.07421875,1,0
generate,0.1,7,6,64,64,51182,4376,74.51201881794259,0.858921835903723,58.72878052991705,0.06416248390451074,55.874537338037044,15.286340621765703,0.8902360149659216,0.0,14.217494487762451,14.259765625,27.464544773101807,28.34765625,1,0
generate,0.1,7,7,64,64,54733,4107,70.30671928916126,0.9102970618893104,58.41546926842808,0.0687054069712758,51.895873866043985,15.718659025151283,0.6664172159507871,0.0,14.217601299285889,14.259765625,28.816672325134277,30.185546875,1,0
generate,0.1,7,8,64,64,58072,3989,73.73409024206921,0.8679838564480531,54.09980630267631,0.07233608327805996,55.56190752889961,15.438641136977822,0.6039310609921813,0.0,14.217700481414795,14.259765625,30.073558807373047,31.123046875,1,0
generate,0.1,7,9,64,64,61306,4118,97.83149591414258,0.6541860512504759,42.092783735147805,0.07657130528241396,74.35603427467868,20.321370000950992,0.613039649091661,0.0,14.217807292938232,14.26171875,31.42857074737549,32.568359375,1,0
generate,0.1,7,10,64,64,64784,4138,106.63912997301668,0.6001549338989748,38.80376744490558,0.08162763807922602,81.31990914233029,21.784741973970085,0.7297509671188891,0.0,14.217906475067139,14.26171875,32.68813467025757,33.916015625,1,0
hidden_state_write,0.1,7,0,64,64,0,0,0.011738244909793139,,,0.0,0.0,0.0,0.0,0.011738244909793139,14.216441631317139,14.26171875,32.68813467025757,33.916015625,0,0
