model,feature,coefficient
correctness_probe,step,-0.016884034166596007
correctness_probe,entropy_mean,-0.1537148678042104
correctness_probe,entropy_std,0.22055193215814087
correctness_probe,confidence,0.06072935169087666
correctness_probe,answer_changed,-0.03682041060705111
correctness_probe,thought_token_count,-0.011192849144369084
correctness_probe,hidden_l2_shift,-0.008054690860014384
correctness_probe,hidden_cosine_shift,-0.051453690689957234
correctness_probe,lexical_echo,0.014398654232229928
correctness_probe,verbose_confidence_proxy,-0.08180973798578393
repair_hazard,step,-0.3271968006170081
repair_hazard,entropy_mean,0.6788805598769888
repair_hazard,entropy_std,-0.5177813963072851
repair_hazard,confidence,-0.8015639236663813
repair_hazard,answer_changed,0.4508201505206317
repair_hazard,thought_token_count,-0.1993824341180202
repair_hazard,hidden_l2_shift,0.48851144783433237
repair_hazard,hidden_cosine_shift,0.0076665659863782275
repair_hazard,lexical_echo,0.09118392005594823
repair_hazard,verbose_confidence_proxy,0.35832986404233197
corruption_hazard,step,-0.32717080702444956
corruption_hazard,entropy_mean,0.3490851426538723
corruption_hazard,entropy_std,-0.2595498743946562
corruption_hazard,confidence,-0.6193054211134962
corruption_hazard,answer_changed,0.32277155792098594
corruption_hazard,thought_token_count,0.11963865021727947
corruption_hazard,hidden_l2_shift,0.9223626292312026
corruption_hazard,hidden_cosine_shift,-0.5539718613911275
corruption_hazard,lexical_echo,-0.18830744947327074
corruption_hazard,verbose_confidence_proxy,0.269951538308038
