run_id,brier,auc
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.16933211559104572,
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.14740130472219087,
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.1520838783291643,
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.12764905947658725,1.0
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.12540422806724688,1.0
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.1935578909792666,
qwen2p5_7b__gsm8k_train_00002_ae407466__temp0.10__seed7,0.1501853745604374,0.92
qwen2p5_7b__gsm8k_train_00002_ae407466__temp0.60__seed7,0.20808303157195315,1.0
qwen2p5_7b__gsm8k_train_00002_ae407466__temp1.00__seed7,0.2574580490341019,
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.15193288398964716,
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.27324529958801314,
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.12394206219823636,1.0
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.26796266190407037,0.33333333333333337
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.20981958372176193,
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.19404873541283507,
qwen2p5_7b__gsm8k_train_00005_d0817615__temp0.10__seed7,0.1379969466121616,0.875
qwen2p5_7b__gsm8k_train_00005_d0817615__temp0.60__seed7,0.24114386380764713,1.0
qwen2p5_7b__gsm8k_train_00005_d0817615__temp1.00__seed7,0.18054191689000665,
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.06271407320261813,1.0
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.1004673874305975,1.0
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.17235952564420448,1.0
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.10463308649976358,
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.14772571381176142,0.8888888888888888
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.1647475704250543,0.875
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.5764261956999467,
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.2078547371768647,0.7777777777777778
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.15873041312491742,
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.059039131113243284,1.0
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.07218734061111685,1.0
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.2276129479036036,0.875
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.0774397917668286,1.0
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.06781069074271404,1.0
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.10499919126956517,1.0
qwen2p5_7b__gsm8k_train_00011_127045f3__temp0.10__seed7,0.20176869721764631,
qwen2p5_7b__gsm8k_train_00011_127045f3__temp0.60__seed7,0.21681122281025375,
qwen2p5_7b__gsm8k_train_00011_127045f3__temp1.00__seed7,0.15724122984220945,
qwen2p5_7b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.1572263900251123,0.6666666666666667
qwen2p5_7b__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.2534883759102643,
qwen2p5_7b__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.3256560639149939,
qwen2p5_7b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.1376026270598167,
qwen2p5_7b__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.1299860098900536,
qwen2p5_7b__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.36933899786671714,0.14285714285714285
qwen2p5_7b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.1313131341743426,1.0
qwen2p5_7b__gsm8k_train_00014_f0103a9f__temp0.60__seed7,0.12280149454352621,1.0
qwen2p5_7b__gsm8k_train_00014_f0103a9f__temp1.00__seed7,0.29777599316369446,
qwen2p5_7b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,0.1988952275966578,
