run_id,task_id,detector,stop_step,stop_utility,oracle_step,oracle_utility,oracle_gap,false_early,false_late,false_late_severity,out_of_sample
qwen2p5_7b__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,oracle,2,-0.05,2,-0.05,0.0,0,0,0,1
qwen2p5_7b__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,first_answer,1,0.0,2,-0.05,-0.05,1,0,0,1
qwen2p5_7b__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,verifier_first_correct,14,-0.65,2,-0.05,0.6,0,1,12,1
qwen2p5_7b__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,answer_stability,5,-0.2,2,-0.05,0.15000000000000002,0,1,3,1
qwen2p5_7b__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,entropy_plateau,7,-0.3,2,-0.05,0.25,0,1,5,1
qwen2p5_7b__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,hazard_drift,4,-0.15,2,-0.05,0.09999999999999999,0,1,2,1
qwen2p5_7b__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,empirical_bernstein,13,-0.6000000000000001,2,-0.05,0.55,0,1,11,1
qwen2p5_7b__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,e_process,13,-0.6000000000000001,2,-0.05,0.55,0,1,11,1
qwen2p5_7b__math_test_00001_28176864__temp0.60__seed7,math_test_00001_28176864,never_stop,14,-0.65,2,-0.05,0.6,0,1,12,1
qwen2p5_7b__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,oracle,2,-0.05,2,-0.05,0.0,0,0,0,1
qwen2p5_7b__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,first_answer,1,0.0,2,-0.05,-0.05,1,0,0,1
qwen2p5_7b__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,verifier_first_correct,14,-0.65,2,-0.05,0.6,0,1,12,1
qwen2p5_7b__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,answer_stability,14,-0.65,2,-0.05,0.6,0,1,12,1
qwen2p5_7b__math_test_00003_b88cddac__temp0.10__seed7,math_test_00003_b88cddac,entropy_plateau,14,-0.65,2,-0.05,0.6,0,1,12,1
