model,feature,coefficient
correctness_probe,step,-0.10918601302075144
correctness_probe,entropy_mean,-0.09441892026444071
correctness_probe,entropy_std,0.008154162515160341
correctness_probe,confidence,1.352773814169739
correctness_probe,answer_changed,-0.054648765188090795
correctness_probe,thought_token_count,-0.22159901018689443
correctness_probe,hidden_l2_shift,-0.39801312095497343
correctness_probe,hidden_cosine_shift,0.32005722872699605
correctness_probe,lexical_echo,-0.18693102497207748
correctness_probe,verbose_confidence_proxy,-0.32307723229389385
repair_hazard,step,-0.6940608206386493
repair_hazard,entropy_mean,0.2512606657214778
repair_hazard,entropy_std,-0.47818807783294176
repair_hazard,confidence,-0.28113906930402477
repair_hazard,answer_changed,0.7052835358050024
repair_hazard,thought_token_count,0.3379060242449449
repair_hazard,hidden_l2_shift,-0.6433231432152209
repair_hazard,hidden_cosine_shift,0.4449453886681639
repair_hazard,lexical_echo,-0.2333382578160819
repair_hazard,verbose_confidence_proxy,-0.31376241905194474
corruption_hazard,step,-0.15467880279719776
corruption_hazard,entropy_mean,0.0008320476920296031
corruption_hazard,entropy_std,-0.230924302436145
corruption_hazard,confidence,-0.40798637824321005
corruption_hazard,answer_changed,0.7613079289269294
corruption_hazard,thought_token_count,0.029803959425741287
corruption_hazard,hidden_l2_shift,0.5587549552370202
corruption_hazard,hidden_cosine_shift,-0.5231141735670594
corruption_hazard,lexical_echo,-0.5948688818668371
corruption_hazard,verbose_confidence_proxy,0.09707275949974761
