step,q_t,n_repairs,n_corruptions,repair_rate,corruption_rate,hazard_mu,entropy_mean,confidence_mean,answer_changed_rate,hidden_shift_mean,n_transitions
1,0.10933333333333334,64,106,0.04790419161676647,0.6463414634146342,-0.078,0.2742184491753578,50.3,0.0,0.0,1500
2,0.08133333333333333,222,24,0.16110304789550073,0.19672131147540983,0.082,0.2384629265467326,52.70666666666666,0.8933333333333333,70.43690152613321,1500
3,0.21333333333333335,124,24,0.10508474576271186,0.075,0.01666666666666665,0.21894035255660613,63.33,0.8526666666666667,69.7651562124888,1500
4,0.28,71,14,0.06574074074074074,0.03333333333333333,-0.012000000000000004,0.20842050743972262,70.79,0.544,57.12847553189596,1500
5,0.318,47,15,0.04594330400782014,0.031446540880503145,-0.028666666666666674,0.20356575664691626,75.316,0.3453333333333333,47.59250311851501,1500
6,0.3393333333333333,36,9,0.03632694248234107,0.01768172888015717,-0.032,0.19575378371899327,77.99,0.25133333333333335,40.216389102776844,1500
7,0.35733333333333334,29,9,0.03008298755186722,0.016791044776119403,-0.03666666666666667,0.1877382221467172,80.16,0.202,36.1139395887057,1500
8,0.37066666666666664,15,10,0.015889830508474576,0.017985611510791366,-0.04666666666666667,0.17948211940874656,81.52266666666667,0.15666666666666668,32.16668066040675,1500
9,0.374,12,1,0.012779552715654952,0.0017825311942959,-0.04266666666666667,0.1707793860870103,82.68933333333334,0.12,29.913195840358735,1500
10,0.38133333333333336,5,3,0.005387931034482759,0.005244755244755245,-0.04866666666666667,0.15774594460614025,83.42533333333333,0.09933333333333333,27.641714553674063,1500
11,0.38266666666666665,8,4,0.008639308855291577,0.006968641114982578,-0.04733333333333334,0.15141979410871864,84.12266666666666,0.07866666666666666,25.61259782187144,1500
12,0.38533333333333336,10,4,0.010845986984815618,0.006920415224913495,-0.046,0.13954764538522188,84.54333333333334,0.064,23.629216375827788,1500
13,0.3893333333333333,6,6,0.006550218340611353,0.010273972602739725,-0.05,0.13531497982004656,84.88666666666667,0.054,22.98749064620336,1500
