step,q_t,n_transitions,n_correct_states,n_incorrect_states,n_repairs,n_corruptions,pooled_repair_frequency,pooled_corruption_frequency,pooled_proxy_drift,repair_rate,corruption_rate,empirical_utility_drift,conditional_hazard_drift,hazard_mu,empirical_mu,empirical_variance,conditional_empirical_gap,fitted_q_t,fitted_repair_hazard,fitted_corruption_hazard,fitted_hazard_drift,entropy_mean,answer_changed_rate,hidden_shift_mean,confidence_mean,n_examples,e_process_value,delta_t,eb_upper_bound,eb_stop_signal,e_process_threshold,e_process_stop_signal
1,0.10933333333333334,1500,164,1336,64,106,0.042666666666666665,0.07066666666666667,-0.07800000000000001,0.04790419161676647,0.6463414634146342,-0.07800000000000001,-0.078,-0.078,-0.07800000000000001,0.11254933333333611,1.3877787807814457e-17,0.21644644491232987,0.7871773289434016,0.5728072607720996,0.44926699323267,0.2742184491753578,0.0,0.0,50.3,1500,2167820412354109.8,0.03039635509270134,-0.033380938952021016,1,32.89868133696452,1
2,0.08133333333333333,1500,122,1378,222,24,0.148,0.016,0.082,0.16110304789550073,0.19672131147540983,0.082,0.082,0.082,0.082,0.1465760000000026,0.0,0.15148593262674773,0.74867929663819,0.8771362368844153,0.4621615851424413,0.2384629265467326,0.8933333333333333,70.43690152613321,52.70666666666666,1500,0.0001153928270230329,0.007599088773175335,0.14009485385433534,0,131.5947253478581,0
3,0.21333333333333335,1500,320,1180,124,24,0.08266666666666667,0.016,0.016666666666666663,0.10508474576271186,0.075,0.016666666666666656,0.01666666666666665,0.01666666666666665,0.016666666666666656,0.09422222222222174,-6.938893903907228e-18,0.28837438870547,0.6503369397548562,0.8259691763417337,0.22306203384778034,0.21894035255660613,0.8526666666666667,69.7651562124888,63.33,1500,0.016429065567189167,0.0033773727880779263,0.07302876806870366,0,296.08813203268073,0
4,0.28,1500,420,1080,71,14,0.04733333333333333,0.009333333333333334,-0.012000000000000004,0.06574074074074074,0.03333333333333333,-0.012000000000000002,-0.012000000000000004,-0.012000000000000004,-0.012000000000000002,0.05522266666666769,-1.734723475976807e-18,0.39619721692438997,0.4821566862339271,0.6576782007519141,0.06597656618586249,0.20842050743972262,0.544,57.12847553189596,70.79,1500,1.5030970029750852,0.0018997721932938337,0.04074500268432249,0,526.3789013914324,0
5,0.318,1500,477,1023,47,15,0.03133333333333333,0.01,-0.028666666666666674,0.04594330400782014,0.031446540880503145,-0.028666666666666677,-0.028666666666666674,-0.028666666666666674,-0.028666666666666677,0.04087822222222114,3.469446951953614e-18,0.46101943734153156,0.3673147070601967,0.5335419983874236,-0.013595192922540205,0.20356575664691626,0.3453333333333333,47.59250311851501,75.316,1500,25162.262604326377,0.0012158542037080534,0.02321021108437237,0,822.4670334241131,1
6,0.3393333333333333,1500,509,991,36,9,0.024,0.006,-0.032,0.03632694248234107,0.01768172888015717,-0.03200000000000001,-0.032,-0.032,-0.03200000000000001,0.02967599999999944,6.938893903907228e-18,0.49394566960871716,0.2986854410625671,0.4546358357173443,-0.04462416002506695,0.19575378371899327,0.25133333333333335,40.216389102776844,77.99,1500,5396129.949998091,0.0008443431970194816,0.018688102664495092,0,1184.352528130723,1
7,0.35733333333333334,1500,536,964,29,9,0.019333333333333334,0.006,-0.03666666666666667,0.03008298755186722,0.016791044776119403,-0.036666666666666674,-0.03666666666666667,-0.03666666666666667,-0.036666666666666674,0.02515555555555607,6.938893903907228e-18,0.5200550661001594,0.24643004051256182,0.4033759033485073,-0.0680609042521272,0.1877382221467172,0.202,36.1139395887057,80.16,1500,3497251091.151624,0.0006203337774020681,0.014137555702735047,0,1612.0353855112617,1
8,0.37066666666666664,1500,556,944,15,10,0.01,0.006666666666666667,-0.04666666666666667,0.015889830508474576,0.017985611510791366,-0.04666666666666667,-0.04666666666666667,-0.04666666666666667,-0.04666666666666667,0.01665555555555504,0.0,0.5312229782335471,0.20149508834871577,0.35164771290405616,-0.07287871597027575,0.17948211940874656,0.15666666666666668,32.16668066040675,81.52266666666667,1500,6.892813359388383e+17,0.00047494304832345843,0.002277469155509776,0,2105.5156055657294,1
9,0.374,1500,561,939,12,1,0.008,0.0006666666666666666,-0.04266666666666667,0.012779552715654952,0.0017825311942959,-0.04266666666666663,-0.04266666666666667,-0.04266666666666667,-0.04266666666666663,0.008612888888888736,-4.163336342344337e-17,0.539655292328665,0.16466131580903012,0.3139433077211306,-0.08335072371155576,0.1707793860870103,0.12,29.913195840358735,82.68933333333334,1500,5.652871454537604e+17,0.0003752636431197696,0.003438028128523715,0,2664.793188294126,1
10,0.38133333333333336,1500,572,928,5,3,0.0033333333333333335,0.002,-0.04866666666666667,0.005387931034482759,0.005244755244755245,-0.048666666666666684,-0.04866666666666667,-0.04866666666666667,-0.048666666666666684,0.005331555555555335,1.3877787807814457e-17,0.5454648604933681,0.14064888206005435,0.28762444343198124,-0.08744122295092525,0.15774594460614022,0.09933333333333333,27.641714553674063,83.42533333333333,1500,1.1325737806463834e+24,0.00030396355092701335,-0.0037919782854489853,1,3289.8681336964523,1
