phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,40,40,11617,2288,17.20226317923516,2.325275435169715,133.00575489170768,0.012297532055526972,13.237970508169383,3.323052192106843,0.08709928533062339,0.0,16.4775128364563,16.505859375,19.073895931243896,19.322265625,1,0
generate,0.1,7,2,40,40,13019,2473,19.94507641205564,2.0055074833316917,123.99050015698185,0.012362159322947264,15.452898261137307,3.7790505033917725,0.08587037492543459,0.0,16.477546215057373,16.505859375,19.48784112930298,19.7734375,1,0
generate,0.1,7,3,40,40,14794,2637,17.545036430936307,2.2798470756931546,150.2989184650712,0.014091320801526308,13.915839307010174,2.956755575723946,0.06659499602392316,0.0,16.47758913040161,16.505859375,20.020399570465088,20.33984375,1,0
generate,0.1,7,4,40,40,16756,2587,29.37527072476223,1.3616895781076674,88.0672734641134,0.01580815389752388,23.37102264771238,5.054911786690354,0.0862495768815279,0.0,16.477468013763428,16.505859375,18.51532793045044,18.71484375,2,1
generate,0.1,7,5,40,40,18734,2704,29.736646513920277,1.3451415909078805,90.93157154537272,0.01690666191279888,23.160787392873317,5.800659768283367,0.08403610298410058,0.0,16.477674961090088,16.505859375,21.08667516708374,21.51171875,1,0
generate,0.1,7,6,40,40,20868,2867,33.9892480741255,1.1768427448811443,84.35020373935602,0.019108972046524286,28.332840873859823,4.660679848864675,0.09566246205940843,0.0,16.47772741317749,16.505859375,21.739048957824707,22.234375,1,0
generate,0.1,7,7,40,40,23174,2804,36.83876359416172,1.0858127715865926,76.11547528822014,0.020894489251077175,28.67021829728037,7.28744692215696,0.09552521910518408,0.0,16.47777509689331,16.505859375,22.332616329193115,22.91796875,1,0
generate,0.1,7,8,40,40,25469,2894,36.86688763368875,1.0849844553584782,78.4986253451859,0.02245120331645012,28.017708159051836,7.99717904580757,0.0722093409858644,0.0,16.477813243865967,16.505859375,22.80781364440918,23.38671875,1,0
hidden_state_write,0.1,7,0,40,40,0,0,0.008114056196063757,,,0.0,0.0,0.0,0.0,0.008114056196063757,16.47730302810669,16.505859375,22.80781364440918,23.38671875,0,0
generate,0.1,7,1,40,40,11861,2561,37.96091071004048,1.053715499755389,67.46413487183878,0.01749842008575797,31.88391059683636,5.023477926850319,0.07197516178712249,0.0,16.47754144668579,16.505859375,19.580471515655518,20.02734375,1,0
generate,0.1,7,2,40,40,13406,2648,20.983581314329058,1.906252293200551,126.19390180987648,0.012901319190859795,17.388640191871673,2.8702632570639253,0.07343744486570358,0.0,16.47756052017212,16.505859375,19.66531753540039,19.98828125,1,0
generate,0.1,7,3,40,40,15372,2700,26.25911883218214,1.5232803604581575,102.82142433092562,0.015254506841301918,20.591230797115713,4.912710880860686,0.06019059894606471,0.0,16.47760820388794,16.505859375,20.257215976715088,20.61328125,1,0
generate,0.1,7,4,40,40,17413,2705,25.02230331581086,1.5985738600940536,108.10355728886037,0.01551769208163023,19.12159719131887,5.240952244028449,0.055204364005476236,0.0,16.47763681411743,16.505859375,20.612584114074707,21.0234375,1,0
generate,0.1,7,5,40,40,19567,2736,23.04580307705328,1.7356739474975391,118.72009800883168,0.018132802098989487,19.83045092318207,2.502109022345394,0.06279674731194973,0.0,16.477674961090088,16.505859375,21.08667516708374,21.51171875,1,0
generate,0.1,7,6,40,40,21749,2899,29.86454737232998,1.3393807547560788,97.07162020094681,0.019489366095513105,22.515794054139405,6.529330750927329,0.06899204477667809,0.0,16.477722644805908,16.505859375,21.679718017578125,21.9375,1,0
generate,0.1,7,7,40,40,24117,2992,39.02093520201743,1.0250907568697112,76.6767886138544,0.02170242415741086,30.818229460623115,7.33940937789157,0.08516302797943354,0.0,16.47777032852173,16.505859375,22.27323818206787,22.83984375,1,0
generate,0.1,7,8,40,40,26652,2866,33.842653799336404,1.1819404068360717,84.68603014980455,0.02273830771446228,27.586265493184328,5.389840393792838,0.08019171701744199,0.0,16.47782278060913,16.505859375,22.926660537719727,23.50390625,1,0
hidden_state_write,0.1,7,0,40,40,0,0,0.005517919082194567,,,0.0,0.0,0.0,0.0,0.005517919082194567,16.47730302810669,16.505859375,22.926660537719727,23.50390625,0,0
generate,0.1,7,1,40,40,12027,2433,19.668799499981105,2.0336777544576843,123.69844941488866,0.012414580676704645,15.518846729770303,3.515181834809482,0.0547082950361073,0.0,16.47751760482788,16.505859375,19.13301658630371,19.380859375,1,0
generate,0.1,7,2,40,40,13600,2546,19.528029778972268,2.048337720330184,130.3766958990162,0.012399618979543447,15.0201808498241,3.854588931892067,0.05419473582878709,0.0,16.477546215057373,16.505859375,19.48784112930298,19.7734375,1,0
generate,0.1,7,3,40,40,15464,2672,22.321017044130713,1.7920330386790309,119.70780698375926,0.014200808946043253,16.90516242198646,4.743085741996765,0.06004690891131759,0.0,16.47758436203003,16.505859375,19.961207389831543,20.28125,1,0
generate,0.1,7,4,40,40,17488,2720,20.58118624612689,1.943522570645192,132.15953480387304,0.016055630054324865,14.85967494500801,5.034768708050251,0.06130378320813179,0.0,16.477627277374268,16.505859375,20.49410915374756,20.90625,1,0
generate,0.1,7,5,40,40,19632,2765,29.203577154316008,1.3696952187957694,94.68018199925757,0.01933791022747755,22.733836153056473,5.71952282031998,0.060651947278529406,0.0,16.477670192718506,16.505859375,21.02739715576172,21.453125,1,0
generate,0.1,7,6,40,40,21860,2810,30.92602026788518,1.2934092280065408,90.86199826745948,0.019889717921614647,23.914023162797093,6.2562334523536265,0.07244192296639085,0.0,16.477717876434326,16.505859375,21.620392322540283,22.1171875,1,0
