model,feature,coefficient
correctness_probe,step,0.025034934189017047
correctness_probe,entropy_mean,0.0231132152679507
correctness_probe,entropy_std,-0.01670486531594814
correctness_probe,confidence,0.2147944121179
correctness_probe,answer_changed,-0.04803831633493138
correctness_probe,thought_token_count,-0.04322126597156943
correctness_probe,hidden_l2_shift,-0.054200493411090886
correctness_probe,hidden_cosine_shift,0.0754501403165826
correctness_probe,lexical_echo,-0.04232916509353504
correctness_probe,verbose_confidence_proxy,-0.022570087462515452
repair_hazard,step,-0.030715340284721903
repair_hazard,entropy_mean,-0.06777241266308741
repair_hazard,entropy_std,-0.05261744222616247
repair_hazard,confidence,-0.23398756733820475
repair_hazard,answer_changed,0.6774404923059073
repair_hazard,thought_token_count,-0.06343134203234876
repair_hazard,hidden_l2_shift,0.03270149997682874
repair_hazard,hidden_cosine_shift,-0.03539791061278197
repair_hazard,lexical_echo,-0.26268471104381147
repair_hazard,verbose_confidence_proxy,-0.11299444395362096
corruption_hazard,step,-0.21433158481998657
corruption_hazard,entropy_mean,0.48476356098006157
corruption_hazard,entropy_std,-0.44629479104952113
corruption_hazard,confidence,-0.09852798140702977
corruption_hazard,answer_changed,0.864061817752936
corruption_hazard,thought_token_count,-0.2594760264309527
corruption_hazard,hidden_l2_shift,0.26267550237318504
corruption_hazard,hidden_cosine_shift,-0.09737356876073963
corruption_hazard,lexical_echo,-0.002567769293558617
corruption_hazard,verbose_confidence_proxy,-0.15903550184134108
