phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,40,40,11624,3639,39.698047045618296,1.0076062420409426,91.66697786967477,0.011677160859107971,34.1024836669676,4.225144647993147,0.19131864979863167,0.0,16.47760820388794,16.505859375,20.374550342559814,21.0234375,1,0
generate,0.1,7,2,40,40,13849,3134,35.16457068407908,1.137508555396929,89.1237953153494,0.01439557783305645,31.11957662506029,2.7961770077235997,0.10714950691908598,0.0,16.477660655975342,16.505859375,20.908855438232422,21.31640625,1,0
generate,0.1,7,3,40,40,16420,3188,36.071168492082506,1.108918886527889,88.38083525627275,0.01638320880010724,30.094304222613573,4.717468638904393,0.13638159492984414,0.0,16.477694034576416,16.505859375,21.323835372924805,21.78515625,1,0
generate,0.1,7,4,40,40,18962,3279,41.64029303379357,0.960608033366567,78.74584353522432,0.025084297638386488,36.597814484033734,3.7228684620931745,0.13130151806399226,0.0,16.47774648666382,16.505859375,21.976418495178223,22.46875,1,0
generate,0.1,7,5,40,40,21728,3158,37.99656361527741,1.0527267782688923,83.11277914432904,0.021562667097896338,30.476900773122907,6.473342332057655,0.11701845889911056,0.0,16.47788953781128,16.505859375,23.75912380218506,24.421875,1,0
generate,0.1,7,6,40,40,24316,2985,35.640221748966724,1.1223274726442933,83.7536876460804,0.02377409301698208,27.302189230918884,7.389775014016777,0.07491310499608517,0.0,16.477970600128174,16.505859375,24.771228313446045,25.515625,1,0
generate,0.1,7,7,40,40,26724,3216,43.4249285380356,0.9211298981174896,74.05884380864616,0.02588534913957119,34.23446531267837,8.07828056300059,0.09171663504093885,0.0,16.47803258895874,16.505859375,25.546120643615723,26.35546875,1,0
generate,0.1,7,8,40,40,29411,3191,53.79632113687694,0.7435452676815167,59.316323729292996,0.026643196120858192,43.52327215205878,9.08340154401958,0.08140672370791435,0.0,16.47809934616089,16.505859375,26.381520748138428,27.29296875,1,0
generate,0.1,7,9,40,40,32104,3044,45.15204764716327,0.8858955924341794,67.41665458424104,0.029177056159824133,36.733169151004404,7.239500001072884,0.07118311198428273,0.0,16.478142261505127,16.505859375,26.919057369232178,27.859375,1,0
generate,0.1,7,10,40,40,34710,2984,51.52855523722246,0.7762686109837865,57.90963837939047,0.030442372895777225,40.02196182915941,10.254419368226081,0.07242589583620429,0.0,16.478204250335693,16.505859375,27.696181297302246,28.69921875,1,0
