step,q_t,n_transitions,n_correct_states,n_incorrect_states,n_repairs,n_corruptions,pooled_repair_frequency,pooled_corruption_frequency,pooled_proxy_drift,repair_rate,corruption_rate,empirical_utility_drift,conditional_hazard_drift,hazard_mu,empirical_mu,empirical_variance,conditional_empirical_gap,fitted_q_t,fitted_repair_hazard,fitted_corruption_hazard,fitted_hazard_drift,entropy_mean,answer_changed_rate,hidden_shift_mean,confidence_mean,n_examples,e_process_value,delta_t,eb_upper_bound,eb_stop_signal,e_process_threshold,e_process_stop_signal
1,0.11674449633088725,1499,175,1324,59,54,0.03935957304869913,0.03602401601067378,-0.04666444296197465,0.0445619335347432,0.30857142857142855,-0.04666444296197466,-0.04666444296197465,-0.04666444296197465,-0.04666444296197466,0.07537246311862084,6.938893903907228e-18,0.42507331672698434,0.2117686044780126,0.40941523777103844,-0.09239257220545272,0.26084855593507333,0.0,0.0,84.18278852568379,1499,33687467.785948545,0.03039635509270134,-0.006794644181740604,1,32.89868133696452,1
2,0.12008005336891261,1499,180,1319,55,37,0.03669112741827885,0.024683122081387593,-0.03799199466310874,0.04169825625473844,0.20555555555555555,-0.03799199466310874,-0.037991994663108736,-0.037991994663108736,-0.03799199466310874,0.06123005730749548,6.938893903907228e-18,0.4114066800191628,0.5902328632983213,0.6855967878646917,0.040255339855332285,0.22590643105366137,0.5863909272848565,42.71369616614731,86.0393595730487,1499,660034.1904187043,0.007599088773175335,0.00803703614429535,0,131.5947253478581,1
3,0.13208805870580387,1499,198,1301,38,30,0.025350233488992662,0.0200133422281521,-0.04466310873915944,0.029208301306687164,0.15151515151515152,-0.04466310873915944,-0.04466310873915944,-0.04466310873915944,-0.04466310873915944,0.04533509330881537,0.0,0.4202793126212971,0.542501503324136,0.6471641638501261,0.0198926542373363,0.2177449686289967,0.4836557705136758,36.0713835825039,86.75183455637091,1499,12648308450.947912,0.0033773727880779263,0.002776915631892779,0,296.08813203268073,1
4,0.13742494996664442,1499,206,1293,38,30,0.025350233488992662,0.0200133422281521,-0.04466310873915944,0.029389017788089715,0.14563106796116504,-0.04466310873915945,-0.044663108739159435,-0.044663108739159435,-0.04466310873915945,0.04533509330881514,1.3877787807814457e-17,0.4294051064371657,0.5100085611722978,0.6134164864230622,0.010779233362481898,0.22525410525552964,0.4609739826551034,35.239994374492156,87.41627751834557,1499,12648308450.949007,0.0018997721932938337,0.005921130058264071,0,526.3789013914324,1
5,0.142761841227485,1499,214,1285,31,32,0.02068045363575717,0.02134756504336224,-0.050667111407605075,0.024124513618677044,0.14953271028037382,-0.05066711140760507,-0.050667111407605075,-0.050667111407605075,-0.05066711140760507,0.0420275736414886,-6.938893903907228e-18,0.4340750784586493,0.4800852210106881,0.5860134991663128,0.00160027584015619,0.232825428504047,0.4549699799866578,34.123921354267104,88.06737825216811,1499,41397646140454.83,0.0012158542037080534,0.0015256421904949226,0,822.4670334241131,1
6,0.14209472981987992,1499,213,1286,40,22,0.0266844563042028,0.01467645096731154,-0.03799199466310874,0.03110419906687403,0.10328638497652583,-0.03799199466310875,-0.03799199466310874,-0.03799199466310874,-0.03799199466310875,0.041216715079344775,6.938893903907228e-18,0.44297134859376547,0.4472904791488257,0.555465767390139,-0.01203195169369706,0.23776661805694227,0.4242828552368246,33.447485222666955,88.73582388258839,1499,60015175.14818146,0.0008443431970194816,0.015935682590344894,0,1184.352528130723,1
7,0.15410273515677117,1499,231,1268,20,26,0.0133422281521014,0.01734489659773182,-0.054002668445630425,0.015772870662460567,0.11255411255411256,-0.054002668445630425,-0.054002668445630425,-0.054002668445630425,-0.054002668445630425,0.03067110339514822,0.0,0.4485334587593084,0.418066420448734,0.5258445842772681,-0.018811159020570598,0.23867571299238313,0.40360240160106736,32.57184030693161,88.70246831220814,1499,2.6195639886919025e+18,0.0006203337774020681,-0.0014118704081981515,1,1612.0353855112617,1
8,0.15010006671114076,1499,225,1274,24,20,0.016010673782521682,0.0133422281521014,-0.04733155436957972,0.018838304552590265,0.08888888888888889,-0.047331554369579754,-0.047331554369579726,-0.047331554369579726,-0.047331554369579754,0.029345781332540656,2.7755575615628914e-17,0.45491781660211367,0.3923718242200292,0.49841544311640407,-0.024025978582906463,0.2310565599539206,0.3815877251501001,31.60537496067986,89.66711140760508,1499,341242974935064.8,0.00047494304832345843,0.006205835073239574,0,2105.5156055657294,1
9,0.15276851234156105,1499,229,1270,20,20,0.0133422281521014,0.0133422281521014,-0.05,0.015748031496062992,0.08733624454148471,-0.049999999999999996,-0.05,-0.05,-0.049999999999999996,0.026684456304202794,-6.938893903907228e-18,0.4572843373863428,0.36835876631426284,0.47496447094665545,-0.028760111074050698,0.23088262562923945,0.35957304869913276,31.471260606328038,89.59573048699133,1499,8.55925148821686e+16,0.0003752636431197696,0.003856997171379245,0,2664.793188294126,1
10,0.15276851234156105,1499,229,1270,15,15,0.01000667111407605,0.01000667111407605,-0.05,0.011811023622047244,0.06550218340611354,-0.05,-0.05,-0.05,-0.05,0.020013342228152105,0.0,0.46293342594885406,0.3476276896408872,0.45420359035570734,-0.034788991627593226,0.22328564403994908,0.361574382921948,30.29986383375762,90.8272181454303,1499,1.2808402593409356e+19,0.00030396355092701335,0.0024845992157621344,0,3289.8681336964523,1
11,0.15276851234156105,1499,229,1270,21,19,0.014009339559706471,0.012675116744496331,-0.048665777184789864,0.01653543307086614,0.08296943231441048,-0.048665777184789906,-0.048665777184789864,-0.048665777184789864,-0.048665777184789906,0.02668267615368142,4.163336342344337e-17,0.46713682712745674,0.32533551614043993,0.4263831242121117,-0.036960613822495526,0.21669254578734495,0.33755837224816543,29.806892210201394,91.1714476317545,1499,1.1477966610835486e+16,0.0002512095462206722,0.007192106151427818,0,3980.740441772707,1
12,0.15410273515677117,1499,231,1268,15,16,0.01000667111407605,0.01067378252168112,-0.050667111407605075,0.011829652996845425,0.06926406926406926,-0.0506671114076051,-0.050667111407605075,-0.050667111407605075,-0.0506671114076051,0.020680008598127676,2.7755575615628914e-17,0.47195922636363097,0.30587999793545584,0.40718974821501897,-0.043301421126888034,0.21150909975951437,0.33022014676450967,29.029350951642016,91.91594396264176,1499,2.3210569069328368e+19,0.0002110857992548704,0.00384862872186692,0,4737.410112522892,1
13,0.1534356237491661,1499,230,1269,15,12,0.01000667111407605,0.008005336891260841,-0.04799866577718479,0.01182033096926714,0.05217391304347826,-0.047998665777184715,-0.04799866577718479,-0.04799866577718479,-0.047998665777184715,0.01800800266666549,-7.632783294297951e-17,0.47765481757473643,0.2815650747746528,0.3825756571930823,-0.047326522139536295,0.21313613065437048,0.30887258172114745,28.563468394874334,92.36357571714477,1499,2.1601929821607112e+18,0.00017986008930592507,0.0061985750001947865,0,5559.8771459470045,1
