phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,64,64,26581,32768,21.06664032302797,3.0379784825035214,1555.444983041803,0.0452291639521718,11.612953966483474,1.3079004939645529,4.895523449406028,0.0,10.948169708251953,12.923828125,24.859691619873047,34.26171875,1,0
generate,0.6,7,2,64,64,31092,32768,20.63756779488176,3.1011406303349554,1587.7840027314971,0.037161532789468765,11.030795723199844,1.3750938968732953,4.884870951063931,0.0,11.330562591552734,14.607421875,25.24215316772461,34.759765625,1,0
generate,0.6,7,3,64,64,36511,32768,20.700389086268842,3.0917293261146006,1582.9654149706755,0.041177837178111076,11.661219974979758,1.4786782544106245,4.2713588681072,0.0,11.84041976928711,15.880859375,25.75210189819336,35.95703125,1,0
generate,0.6,7,4,64,64,42182,32768,21.87957569770515,2.9251024281386164,1497.6524432069716,0.04480848181992769,12.30073084961623,1.5960813937708735,4.61392093077302,0.0,12.350276947021484,16.7109375,26.26205062866211,37.185546875,1,0
generate,0.6,7,5,64,64,47514,32767,22.295875866897404,2.870486020915668,1469.6439913647453,0.049576304852962494,12.876371261663735,1.6797090480104089,4.437511945143342,0.0,12.86013412475586,15.61328125,26.77199935913086,36.46875,1,0
hidden_state_write,0.6,7,0,64,64,0,0,0.01777915470302105,,,0.0,0.0,0.0,0.0,0.01777915470302105,3.3430442810058594,3.53515625,17.58449935913086,31.4453125,0,0
generate,0.6,7,1,64,64,25716,32768,15.708284665830433,4.0742831799589485,2086.0329881389816,0.024922474287450314,7.175896426662803,0.7726856172084808,4.5059173265472054,0.0,8.10146713256836,9.841796875,22.01247787475586,27.08984375,1,0
generate,0.6,7,2,64,64,30323,32768,16.194380625151098,3.95198812979628,2023.4179224556954,0.03019250277429819,7.871659709140658,0.880683995783329,4.171704242937267,0.0,8.696300506591797,10.8125,22.607418060302734,28.515625,1,0
generate,0.6,7,3,64,64,36110,32768,17.469873677939177,3.663449500543253,1875.6861442781455,0.034323928877711296,8.895410259254277,1.0422813957557082,4.288178295828402,0.0,9.546062469482422,12.177734375,23.457332611083984,30.5234375,1,0
generate,0.6,7,4,64,64,41867,32768,18.67268045246601,3.4274672114119444,1754.8632122429156,0.038354785181581974,9.35525585245341,1.1048000138252974,4.720404704101384,0.0,9.928455352783203,12.4453125,23.839794158935547,31.443359375,1,0
generate,0.6,7,5,64,64,47465,32768,18.53687881398946,3.4525769220490514,1767.7193840891143,0.04030412342399359,9.95777970738709,1.200222528539598,4.131693755276501,0.0,10.395824432373047,13.166015625,24.307247161865234,32.546875,1,0
hidden_state_write,0.6,7,0,64,64,0,0,0.009421824477612972,,,0.0,0.0,0.0,0.0,0.009421824477612972,3.3430442810058594,3.53515625,17.498653411865234,27.08203125,0,0
generate,0.6,7,1,64,64,24984,32768,16.030990698374808,3.9922673030112983,2044.0408591417847,0.030445842072367668,7.434618955478072,0.8054870869964361,4.607960402034223,0.0,8.271419525146484,10.123046875,22.18246078491211,27.505859375,1,0
generate,0.6,7,2,64,64,29528,32768,16.149212112650275,3.963041636555534,2029.0773179164335,0.02684937883168459,7.833405000157654,0.8612360954284668,4.248031773604453,0.0,8.611324310302734,10.671875,22.52242660522461,28.30859375,1,0
generate,0.6,7,3,64,64,35179,32768,16.383258446119726,3.906426808224954,2000.0905258111763,0.03165667224675417,8.229007441550493,0.9255499625578523,4.0311772637069225,0.0,8.951229095458984,11.220703125,22.86239242553711,29.115234375,1,0
generate,0.6,7,4,64,64,40604,32709,17.7589766504243,3.6038112589370908,1841.829101071458,0.03461715951561928,8.838656984269619,1.0152260232716799,4.647022625431418,0.0,9.46108627319336,12.037109375,23.37234115600586,30.306640625,1,0
generate,0.6,7,5,64,64,46351,32768,18.255771663971245,3.50574060510997,1794.9391898163046,0.03872695378959179,9.42884808126837,1.1096840593963861,4.510916245169938,0.0,9.970943450927734,12.50390625,23.88228988647461,31.529296875,1,0
hidden_state_write,0.6,7,0,64,64,0,0,0.007687303237617016,,,0.0,0.0,0.0,0.0,0.007687303237617016,3.3430442810058594,3.533203125,17.48385238647461,26.41796875,0,0
generate,0.6,7,1,64,64,29760,32768,33.60615260899067,1.9044131812600902,975.0595488051662,0.06561934761703014,21.914432030171156,3.52932102791965,4.6236261716112494,0.0,20.46609115600586,26.337890625,34.37966537475586,53.7265625,1,0
