phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,64,64,16027,32651,14.827122475020587,4.316414065360388,2202.113057001282,0.01857246458530426,6.716557303443551,0.49543922673910856,4.457118269056082,0.0,6.35945463180542,7.0,20.27015256881714,23.779296875,1,0
generate,0.6,7,2,64,64,20161,32502,14.566228020004928,4.393724985775579,2231.325773244967,0.014906791038811207,6.409245184622705,0.5844870069995522,4.45820664986968,0.0,6.954288005828857,7.916015625,20.865092754364014,25.197265625,1,0
generate,0.6,7,3,64,64,25430,32524,15.576829006895423,4.108666787808289,2087.973103229325,0.016957529820501804,7.333326422609389,0.7278546886518598,4.392138835974038,0.0,7.761561870574951,8.693359375,21.6725115776062,26.599609375,1,0
generate,0.6,7,4,64,64,30373,32298,16.695028265938163,3.8334765883910036,1934.5879195601974,0.021536963991820812,7.921206231229007,0.8100900566205382,4.857322130352259,0.0,8.228930950164795,9.400390625,22.13996458053589,27.78515625,1,0
generate,0.6,7,5,64,64,35899,32458,16.990180384367704,3.766881725333829,1910.3976100138348,0.02454795502126217,8.455184895545244,0.8900467725470662,4.450875825248659,0.0,8.696300029754639,10.087890625,22.607417583465576,28.9375,1,0
hidden_state_write,0.6,7,0,64,64,0,0,0.013301102444529533,,,0.0,0.0,0.0,0.0,0.013301102444529533,3.343043804168701,3.611328125,17.439448833465576,25.078125,0,0
generate,0.6,7,1,64,64,16225,32550,13.883263064548373,4.609867269851516,2344.5496817760445,0.01143558882176876,5.5979741383343935,0.47556941118091345,4.762912644073367,0.0,6.316966533660889,6.9375,20.227656841278076,23.51171875,1,0
generate,0.6,7,2,64,64,20513,32539,14.368995622731745,4.4540343445266295,2264.528492758625,0.01409840676933527,6.163046572357416,0.5680425120517612,4.503734799101949,0.0,6.826823711395264,7.865234375,20.737605571746826,25.01171875,1,0
generate,0.6,7,3,64,64,25278,32406,15.224289980717003,4.203808524473852,2128.5721725640574,0.016249116510152817,6.851475076749921,0.6449378626421094,4.594614096917212,0.0,7.336680889129639,8.876953125,21.247554302215576,25.5703125,1,0
generate,0.6,7,4,64,64,30444,32661,15.712597512640059,4.073164856957289,2078.6505842669067,0.019825263880193233,7.502527398057282,0.7516391910612583,4.331444452516735,0.0,7.931514263153076,8.951171875,21.84249448776245,27.04296875,1,0
generate,0.6,7,5,64,64,35926,32239,16.311986146494746,3.9234952399559786,1976.3994225146998,0.02223501168191433,8.017289377748966,0.8331407764926553,4.345416200347245,0.0,8.356395244598389,9.583984375,22.267451763153076,28.0859375,1,0
hidden_state_write,0.6,7,0,64,64,0,0,0.008924580179154873,,,0.0,0.0,0.0,0.0,0.008924580179154873,3.343043804168701,3.611328125,17.427608013153076,24.505859375,0,0
generate,0.6,7,1,64,64,16559,32573,13.763585018925369,4.649951296264597,2366.607243331667,0.013193678110837936,5.72451869957149,0.4966405211016536,4.422836685553193,0.0,6.401942729949951,7.17578125,20.3126482963562,23.87109375,1,0
generate,0.6,7,2,64,64,20911,32308,14.514329751953483,4.4094354402680045,2225.938128190292,0.014261972159147263,6.319376941770315,0.5844336813315749,4.547460711561143,0.0,6.954288005828857,7.916015625,20.865092754364014,25.197265625,1,0
generate,0.6,7,3,64,64,26689,32543,15.480242097750306,4.1343022671009075,2102.228104347888,0.0174556951969862,7.420422837138176,0.7424889970570803,4.198708776384592,0.0,7.846538066864014,8.822265625,21.757503032684326,26.8359375,1,0
generate,0.6,7,4,64,64,31762,32310,16.858789757825434,3.796239286410982,1916.5076772490443,0.021001088432967663,8.208729015663266,0.8557657934725285,4.613562160171568,0.0,8.483859539031982,10.548828125,22.394938945770264,28.16015625,1,0
generate,0.6,7,5,64,64,36545,32118,16.99960287939757,3.764793828070178,1889.3382526555934,0.022793879732489586,8.464736333116889,0.8967378493398428,4.520799913443625,0.0,8.73878812789917,10.150390625,22.64991331100464,29.0390625,1,0
