phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,64,64,16274,32768,15.523269291035831,4.12284286255073,2110.8955456259737,0.029629276134073734,7.565680184401572,0.6067400965839624,4.241968080401421,0.0,7.03926420211792,8.09765625,20.95008420944214,25.64453125,1,0
generate,0.6,7,2,64,64,22810,32677,16.09211248252541,3.977103694092262,2030.6221470602006,0.022725352086126804,7.429674286395311,0.7436661468818784,4.711022563278675,0.0,7.846538066864014,8.869140625,21.757503032684326,26.83203125,1,0
generate,0.6,7,3,64,64,29699,32630,16.85437121987343,3.7972345075997813,1935.9962809840758,0.023333384655416012,8.108398158103228,0.8390995152294636,4.780633643269539,0.0,8.39888334274292,9.693359375,22.30994749069214,28.189453125,1,0
generate,0.6,7,4,64,64,36689,32638,17.387739840894938,3.6807544042886917,1877.0697226120988,0.026123112998902798,8.954881158657372,0.9653113046661019,4.280700037255883,0.0,9.121181011199951,10.755859375,23.0323748588562,29.955078125,1,0
generate,0.6,7,5,64,64,43967,32711,18.098747799172997,3.536156241865772,1807.3626066823635,0.03456856030970812,9.456885275430977,1.0533445542678237,4.33404709212482,0.0,9.546061992645264,11.388671875,23.457332134246826,31.02734375,1,0
hidden_state_write,0.6,7,0,64,64,0,0,0.0121974041685462,,,0.0,0.0,0.0,0.0,0.0121974041685462,3.343043804168701,3.658203125,17.469050884246826,26.552734375,0,0
generate,0.6,7,1,64,64,16537,32768,16.30265148449689,3.9257417764749003,2009.979789555149,0.01808383595198393,7.862348824739456,0.8122079325839877,4.447718947194517,0.0,8.186442852020264,9.373046875,22.097468852996826,27.66015625,1,0
generate,0.6,7,2,64,64,22996,32768,17.15630135498941,3.7304077770461563,1909.968781847632,0.021535457111895084,8.753753640688956,0.9410737054422498,4.261226874776185,0.0,8.993716716766357,11.412109375,22.904887676239014,29.357421875,1,0
generate,0.6,7,3,64,64,29622,32618,17.611276863142848,3.634035197864624,1852.1087513116925,0.025661359541118145,9.246071733534336,1.0148674631491303,4.2068046713247895,0.0,9.376109600067139,11.142578125,23.287349224090576,30.62109375,1,0
generate,0.6,7,4,64,64,36233,32674,18.174214613623917,3.521472666666088,1797.8218423538713,0.02923889085650444,9.63320779800415,1.0828626258298755,4.296178730204701,0.0,9.716014385223389,11.30078125,23.627315044403076,31.44921875,1,0
generate,0.6,7,5,64,64,43031,32698,18.98076118901372,3.371835268495129,1722.6917126445894,0.03154676500707865,10.084005077369511,1.1468016095459461,4.526214468292892,0.0,10.09840726852417,11.83984375,24.00977659225464,32.41015625,1,0
hidden_state_write,0.6,7,0,64,64,0,0,0.009163319133222103,,,0.0,0.0,0.0,0.0,0.009163319133222103,3.343043804168701,3.658203125,17.48829221725464,27.115234375,0,0
generate,0.6,7,1,64,64,15849,32768,15.366212158463895,4.1649821920978765,2132.4708823541127,0.016049793921411037,7.038499455899,0.6908916002139449,4.563637662678957,0.0,7.549121379852295,9.287109375,21.46003293991089,26.111328125,1,0
generate,0.6,7,2,64,64,21624,32750,15.48749821074307,4.132365287739353,2114.6087995853723,0.01880316622555256,7.345229526981711,0.7360974010080099,4.263308574445546,0.0,7.804049968719482,9.498046875,21.715007305145264,26.525390625,1,0
generate,0.6,7,3,64,64,28943,32764,16.72360612079501,3.8269258159828956,1959.1468349197437,0.02229361515492201,8.261731972917914,0.8656233381479979,4.417692478746176,0.0,8.568835735321045,9.951171875,22.47993040084839,28.63671875,1,0
generate,0.6,7,4,64,64,35950,32768,17.731213136576116,3.609454102606222,1848.0405005343857,0.027026350609958172,8.916907699778676,0.9651048751547933,4.628976626321673,0.0,9.121181011199951,10.755859375,23.0323748588562,29.955078125,1,0
generate,0.6,7,5,64,64,43439,32744,19.082986978814006,3.35377265996424,1715.8739371542042,0.03173662070184946,10.411041625775397,1.2058836491778493,4.2674735663458705,0.0,10.353335857391357,13.21875,24.264750957489014,32.634765625,1,0
hidden_state_write,0.6,7,0,64,64,0,0,0.01045343466103077,,,0.0,0.0,0.0,0.0,0.01045343466103077,3.343043804168701,3.66015625,17.497172832489014,27.1328125,0,0
generate,0.6,7,1,64,64,16157,32735,17.896733599714935,3.5760715576064346,1829.1047255976036,0.021076878532767296,9.292397893965244,1.0206570215523243,4.369514394551516,0.0,9.41859769821167,11.205078125,23.32984495162964,30.72265625,1,0
generate,0.6,7,2,64,64,22495,32755,18.754039810039103,3.4125980667770888,1746.5570262075553,0.01985791977494955,9.844177634455264,1.110189906321466,4.631503927521408,0.0,9.885966777801514,11.53515625,23.797297954559326,31.88671875,1,0
generate,0.6,7,3,64,64,29988,32766,19.79683790076524,3.232839523201132,1655.1128096438797,0.02644391544163227,10.993335803970695,1.3063086001202464,4.314649138599634,0.0,10.863193035125732,14.013671875,24.774699687957764,33.8984375,1,0
