phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,8046,15821,13.312030443921685,2.4038406563749484,1188.4738445158769,0.014134283177554607,8.994866842404008,0.8671321924775839,1.7124659763649106,0.0,17.777381420135498,18.876953125,24.738589763641357,28.12890625,1,0
generate,0.6,7,2,32,32,10141,15167,14.218655838631094,2.2505643545473712,1066.6971739193743,0.011515839956700802,9.329026440158486,1.1056308886036277,2.0148797873407602,0.0,18.917361736297607,19.91796875,25.878657817840576,30.6015625,1,0
generate,0.6,7,3,32,32,12412,14271,16.273847027681768,1.9663451392635123,876.9284838259244,0.014531940221786499,10.382916890084743,1.3496658466756344,2.4018676169216633,0.0,19.859084606170654,21.314453125,26.82045316696167,32.91796875,1,0
generate,0.6,7,4,32,32,15124,14319,17.681524084880948,1.809798739428941,809.828379683844,0.01653102319687605,12.04635128006339,1.730621637776494,2.1039440482854843,0.0,21.346015453338623,22.61328125,28.307498455047607,35.515625,1,0
generate,0.6,7,5,32,32,17309,14031,18.140172886662185,1.7640405193452398,773.4766414666582,0.016512705013155937,12.500826295465231,1.8367231683805585,1.99733682628721,0.0,21.742530345916748,23.15625,28.704043865203857,36.607421875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0067899273708462715,,,0.0,0.0,0.0,0.0,0.0067899273708462715,14.258433818817139,14.48828125,21.478457927703857,31.486328125,0,0
generate,0.6,7,1,32,32,8181,15700,13.007178043946624,2.4601800553420112,1207.0258396521742,0.00784118939191103,8.182500123046339,0.8983755521476269,2.1955061303451657,0.0,18.025203227996826,18.74609375,24.986430644989014,28.6875,1,0
generate,0.6,7,2,32,32,9903,14812,13.396278906613588,2.3887230344392103,1105.6801745660496,0.009008671157062054,8.752881368622184,1.0073923049494624,1.885081633925438,0.0,18.471282482147217,19.263671875,25.432544231414795,29.01171875,1,0
generate,0.6,7,3,32,32,11672,14007,14.406238918192685,2.221259843163459,972.2870819747053,0.01148756593465805,9.406420411542058,1.1350488662719727,2.124742394313216,0.0,18.966926097869873,19.998046875,25.928225994110107,30.7265625,1,0
generate,0.6,7,4,32,32,13673,14703,16.021953620947897,1.9972595575461916,917.6783523313018,0.014935986138880253,10.401894989423454,1.360600396990776,2.446343567222357,0.0,19.90864896774292,21.39453125,26.8700213432312,33.044921875,1,0
generate,0.6,7,5,32,32,15746,14042,16.31097311899066,1.9618694584655287,860.8928417429048,0.015265109948813915,10.867566439323127,1.4779708217829466,2.191484132781625,0.0,20.35472822189331,22.048828125,27.316134929656982,34.08203125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004592335782945156,,,0.0,0.0,0.0,0.0,0.004592335782945156,14.258433818817139,14.48828125,21.430392742156982,29.01171875,0,0
generate,0.6,7,1,32,32,8320,16009,12.515638642013073,2.5568012080966387,1279.1197043880966,0.009235743433237076,7.8688276605680585,0.8514480441808701,2.0819653663784266,0.0,17.826945781707764,18.9453125,24.78815793991089,27.99609375,1,0
generate,0.6,7,2,32,32,10423,15148,14.344655206426978,2.230796037932144,1056.0030744561286,0.010504629462957382,9.385385535657406,1.1630592960864305,2.0898282937705517,0.0,19.066054821014404,20.50390625,26.02736234664917,30.431640625,1,0
generate,0.6,7,3,32,32,12964,14286,15.706714959815145,2.037345178916815,909.5472883126756,0.013878325931727886,10.628674124367535,1.420227994211018,1.8877290124073625,0.0,20.156470775604248,22.060546875,27.117862224578857,32.85546875,1,0
generate,0.6,7,4,32,32,15077,14043,17.037274333648384,1.8782347089874838,824.2515630722261,0.014514511451125145,11.689047726802528,1.6564779169857502,1.9156943764537573,0.0,21.04862928390503,23.078125,28.01008939743042,34.4765625,1,0
generate,0.6,7,5,32,32,17265,14909,19.437243194319308,1.6463240018189544,767.0326419724622,0.0188127588480711,13.42612849548459,2.025194955058396,2.172911297529936,0.0,22.436431407928467,24.10546875,29.397998332977295,38.181640625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.002957184799015522,,,0.0,0.0,0.0,0.0,0.002957184799015522,14.258433818817139,14.48828125,21.502490520477295,32.5625,0,0
