phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,13129,16384,20.73119984101504,1.5435671955990955,790.3064041467369,0.022354422137141228,14.800156500190496,2.1984194247052073,1.8388234050944448,0.0,23.130332946777344,26.029296875,30.09195327758789,38.9765625,1,0
generate,0.6,7,2,32,32,15553,16318,20.70921907108277,1.5452055381790355,787.958249125172,0.025860740803182125,14.404197985306382,2.3497072104364634,2.0309631135314703,0.0,23.675540924072266,27.052734375,30.637203216552734,39.712890625,1,0
generate,0.6,7,3,32,32,18192,16384,21.455012567341328,1.4914929506361687,763.6443907257184,0.022831962443888187,14.894059920683503,2.468942550010979,2.191177673637867,0.0,24.121620178222656,26.783203125,31.083316802978516,39.720703125,1,0
generate,0.6,7,4,32,32,21437,16345,22.314684567973018,1.4340332664136224,732.477304360333,0.024124101735651493,15.571389017626643,2.6505945827811956,2.154332485049963,0.0,24.716392517089844,27.982421875,31.67813491821289,41.28125,1,0
generate,0.6,7,5,32,32,24708,16328,23.448277533985674,1.3647057850462385,696.3411268198432,0.026469266042113304,16.489474824629724,2.8679843870922923,2.158030401915312,0.0,25.509422302246094,28.009765625,32.47122573852539,44.232421875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.006331505253911018,,,0.0,0.0,0.0,0.0,0.006331505253911018,14.258434295654297,14.857421875,23.64043426513672,37.02734375,0,0
generate,0.6,7,1,32,32,13452,16379,18.76594672817737,1.7052163934767803,872.8043533986308,0.01876749936491251,12.83979946281761,2.0053717643022537,2.1042700223624706,0.0,22.38686752319336,25.142578125,29.348430633544922,36.78125,1,0
generate,0.6,7,2,32,32,15808,16241,19.624726228415966,1.6305959954572533,827.5784238194141,0.023350773379206657,13.3803555611521,2.108442117460072,2.2886942429468036,0.0,22.83294677734375,24.53515625,29.794544219970703,38.244140625,1,0
generate,0.6,7,3,32,32,18230,16171,20.34966963622719,1.5725071007065632,794.6566351726823,0.02159474603831768,14.232497072778642,2.30287526268512,1.9291472509503365,0.0,23.52684783935547,26.30078125,30.48849868774414,38.8671875,1,0
generate,0.6,7,4,32,32,20974,15996,21.68976396974176,1.475350310157432,737.4907362899463,0.025790960527956486,15.179519400000572,2.564130522310734,2.056347966194153,0.0,24.369441986083984,26.52734375,31.331157684326172,41.458984375,1,0
generate,0.6,7,5,32,32,23725,16142,23.15365658327937,1.3820711162792791,697.1684987181288,0.02653332520276308,16.154496805742383,2.7692402666434646,2.332321895286441,0.0,25.2120361328125,28.275390625,32.1738166809082,42.232421875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004675128497183323,,,0.0,0.0,0.0,0.0,0.004675128497183323,14.258434295654297,14.857421875,23.351613998413086,37.240234375,0,0
generate,0.6,7,1,32,32,13095,16384,15.043069137260318,2.127225482248094,1089.1394469110242,0.01298423483967781,9.772396187298,1.3270278628915548,2.141307756304741,0.0,19.809520721435547,21.330078125,26.770885467529297,31.603515625,1,0
generate,0.6,7,2,32,32,15507,16334,15.735873208381236,2.033570020312325,1038.0103972431723,0.016560125164687634,10.297698030248284,1.4548155972734094,2.185697466135025,0.0,20.255599975585938,22.576171875,27.216999053955078,32.974609375,1,0
generate,0.6,7,3,32,32,18620,16215,16.8829730944708,1.895400757967212,960.4351028261982,0.01878405548632145,10.858251884579659,1.5735929980874062,2.59295142814517,0.0,20.751243591308594,23.005859375,27.71268081665039,33.69140625,1,0
generate,0.6,7,4,32,32,21438,16281,16.858792316168547,1.8981193551634281,965.727538169243,0.019093450158834457,11.32791908737272,1.66805739980191,2.0132229421287775,0.0,21.14775848388672,22.337890625,28.10922622680664,34.509765625,1,0
generate,0.6,7,5,32,32,24457,15897,19.36091295350343,1.6528146207180525,821.08731329859,0.022611554712057114,13.211792611517012,2.0837427591905,2.22475160472095,0.0,22.684253692626953,25.1171875,29.64583969116211,37.166015625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.002731199376285076,,,0.0,0.0,0.0,0.0,0.002731199376285076,14.258434295654297,14.857421875,21.51107406616211,33.619140625,0,0
generate,0.6,7,1,32,32,12621,16384,14.719436432234943,2.1739962767814505,1113.0860937121026,0.014286249876022339,9.497778252698481,1.2660043518990278,2.2084984993562102,0.0,19.56169891357422,21.662109375,26.52304458618164,31.78515625,1,0
generate,0.6,7,2,32,32,14931,16384,15.263878746889532,2.0964527123566774,1073.3837887266188,0.019259649328887463,9.940345469862223,1.3781434996053576,2.1800533263012767,0.0,19.958213806152344,22.294921875,26.91958999633789,32.662109375,1,0
generate,0.6,7,3,32,32,17884,16138,16.684279290027916,1.9179731676588625,967.2578431149601,0.01947131846100092,11.096912096254528,1.6225884445011616,2.1484976494684815,0.0,20.949501037597656,22.439453125,27.910953521728516,33.244140625,1,0
generate,0.6,7,4,32,32,21186,16384,17.981158757582307,1.7796405910996265,911.1759826430088,0.021506937220692635,11.897896991111338,1.8034048900008202,2.469030416570604,0.0,21.59383773803711,22.91796875,28.555339813232422,35.43359375,1,0
generate,0.6,7,5,32,32,23968,16177,19.018692394718528,1.6825552112555524,850.5842391400334,0.023072238080203533,12.672943092882633,1.964157390408218,2.5462893303483725,0.0,22.238174438476562,24.48046875,29.199726104736328,36.03125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0034490562975406647,,,0.0,0.0,0.0,0.0,0.0034490562975406647,14.258434295654297,14.857421875,21.495624542236328,32.900390625,0,0
generate,0.6,7,1,32,32,12007,16384,14.590633884072304,2.1931877843177485,1122.9121455706872,0.013622453436255455,9.43634576536715,1.2551095401868224,2.140192919410765,0.0,19.512134552001953,21.591796875,26.47347640991211,31.560546875,1,0
generate,0.6,7,2,32,32,14405,16281,15.30457641556859,2.090877861046058,1063.7994517403397,0.015716428868472576,9.95878653228283,1.3780079614371061,2.1667396472766995,0.0,19.958213806152344,22.294921875,26.91958999633789,32.662109375,1,0
generate,0.6,7,3,32,32,17107,16254,15.76987696904689,2.029185139669104,1030.6992268806755,0.01655736193060875,10.511883413419127,1.4903568169102073,1.9651377657428384,0.0,20.453857421875,22.890625,27.415271759033203,33.408203125,1,0
generate,0.6,7,4,32,32,19683,16100,16.463721070438623,1.9436675258947071,977.9077239657746,0.017654240131378174,11.096207558177412,1.6244559176266193,1.937816915102303,0.0,20.949501037597656,22.439453125,27.910953521728516,33.244140625,1,0
generate,0.6,7,5,32,32,22690,16170,17.783736404962838,1.7993968911431844,909.2577415557903,0.02338490914553404,12.10531239118427,1.8378138886764646,1.9871523650363088,0.0,21.792095184326172,23.169921875,28.753612518310547,35.83203125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.003606191836297512,,,0.0,0.0,0.0,0.0,0.003606191836297512,14.258434295654297,14.857421875,21.480175018310547,31.5078125,0,0
generate,0.6,7,1,32,32,12977,16384,15.593978413380682,2.0520741501438686,1050.6619648736607,0.012895242311060429,10.024566470645368,1.3869266556575894,2.377074643969536,0.0,20.00777816772461,21.6171875,26.969158172607422,32.162109375,1,0
generate,0.6,7,2,32,32,15262,16366,16.210815446451306,1.9739907659614426,1009.5729023664053,0.016633637249469757,10.561770997941494,1.499216353520751,2.365822429768741,0.0,20.503421783447266,22.9609375,27.464839935302734,33.50390625,1,0
generate,0.6,7,3,32,32,18026,16384,16.67103637289256,1.9194967417882098,982.7823317955634,0.018561983481049538,11.043629337102175,1.5991499302908778,2.2019689166918397,0.0,20.89993667602539,22.365234375,27.861385345458984,33.138671875,1,0
generate,0.6,7,4,32,32,20925,16378,17.43642052076757,1.8352390596387913,939.2982912113789,0.019080492667853832,11.690012129954994,1.7620560145005584,2.1715321438387036,0.0,21.445144653320312,23.359375,28.406635284423828,34.44921875,1,0
generate,0.6,7,5,32,32,23534,16130,18.913839370012283,1.6918828257966334,852.8146868781156,0.025275878608226776,12.350920957513154,1.8979926770552993,2.580827098339796,0.0,21.990352630615234,23.43359375,28.951885223388672,36.251953125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0030968524515628815,,,0.0,0.0,0.0,0.0,0.0030968524515628815,14.258434295654297,14.857421875,21.487041473388672,31.80859375,0,0
generate,0.6,7,1,32,32,12435,16384,14.782819456420839,2.1646750198319555,1108.3136101539612,0.013574030250310898,9.544809949584305,1.2895724447444081,2.15212628711015,0.0,19.611263275146484,21.056640625,26.572612762451172,31.212890625,1,0
generate,0.6,7,2,32,32,14837,16359,16.507855114527047,1.9384710962140526,990.9827707176777,0.016588209196925163,10.862033961340785,1.5722906924784184,2.236897436901927,0.0,20.751243591308594,23.005859375,27.71268081665039,33.69140625,1,0
generate,0.6,7,3,32,32,17773,16311,18.89673050865531,1.69341463515834,863.165191064615,0.019263717345893383,12.847364737652242,2.004551477730274,2.1811845107004046,0.0,22.38686752319336,25.142578125,29.348430633544922,36.78125,1,0
generate,0.6,7,4,32,32,21123,16381,21.42557308357209,1.4935423139059827,764.5536451279345,0.024232561700046062,14.81313104648143,2.453875418752432,2.2511641019955277,0.0,24.022491455078125,26.646484375,30.984180450439453,39.5234375,1,0
generate,0.6,7,5,32,32,24210,16279,21.714507434517145,1.4736691631850303,749.6831346090346,0.030170372687280178,15.132538603618741,2.533327382057905,2.1509809121489525,0.0,24.31987762451172,27.421875,31.28158950805664,40.4765625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0030733924359083176,,,0.0,0.0,0.0,0.0,0.0030733924359083176,14.258434295654297,14.857421875,22.478233337402344,36.22265625,0,0
generate,0.6,7,1,32,32,17325,16384,36.56388195976615,0.8751805958462475,448.09246507327873,0.03466470446437597,26.799924103543162,5.648700759746134,2.015245364047587,0.0,34.232749938964844,42.99609375,46.15621519088745,61.15234375,1,0
generate,0.6,7,2,32,32,19823,16236,37.258907926268876,0.8588550169888056,435.76156424469525,0.04786601569503546,27.39077879022807,5.810528335161507,1.9358077282086015,0.0,34.7283935546875,41.30859375,46.95485305786133,63.54296875,1,0
generate,0.6,7,3,32,32,22636,16196,38.81023662164807,0.8245247333058162,417.31258064440624,0.04824642837047577,28.316300318576396,6.0971747087314725,2.2047762498259544,0.0,35.42229461669922,44.759765625,48.075345039367676,64.376953125,1,0
generate,0.6,7,4,32,32,25421,16174,38.96397760976106,0.8212713886783346,415.10135751510575,0.040785228833556175,28.537065306678414,6.157385420054197,2.0889480048790574,0.0,35.67011642456055,42.5859375,48.47470760345459,66.287109375,1,0
generate,0.6,7,5,32,32,28192,16133,39.88887351099402,0.802228721530085,404.44862388890186,0.04085361212491989,29.216904715634882,6.3290890185162425,2.143336876295507,0.0,36.21532440185547,45.935546875,49.35598564147949,66.1484375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.003636537119746208,,,0.0,0.0,0.0,0.0,0.003636537119746208,14.258434295654297,14.859375,34.201316833496094,50.583984375,0,0
generate,0.6,7,1,32,32,13473,16384,20.476151638664305,1.562793661850778,800.1503548675984,0.018936271779239178,13.943853499367833,2.2641475796699524,2.356124857440591,0.0,23.27902603149414,26.46484375,30.240657806396484,38.880859375,1,0
generate,0.6,7,2,32,32,15942,16384,20.885837635956705,1.5321386940646011,784.4550113610758,0.01980963535606861,14.497224207036197,2.3686228785663843,2.114034481346607,0.0,23.774669647216797,26.294921875,30.736339569091797,39.01171875,1,0
generate,0.6,7,3,32,32,18759,16384,21.562725517898798,1.4840424497096818,759.8297342513571,0.027776907198131084,15.019771601073444,2.500026548281312,2.1421709740534425,0.0,24.220748901367188,26.333984375,31.182453155517578,41.14453125,1,0
generate,0.6,7,4,32,32,22223,16269,23.139889755286276,1.3828933645930461,703.0716296426334,0.024815689772367477,15.643526871688664,2.6545954886823893,2.35214355122298,0.0,24.716392517089844,27.982421875,31.67813491821289,41.28125,1,0
generate,0.6,7,5,32,32,24894,16134,22.71063158940524,1.4090317071995635,710.4161738736799,0.024770046584308147,16.138811647892,2.772381780669093,1.8551208656281233,0.0,25.2120361328125,28.275390625,32.1738166809082,42.232421875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0028726523742079735,,,0.0,0.0,0.0,0.0,0.0028726523742079735,14.258434295654297,14.857421875,23.351613998413086,37.240234375,0,0
generate,0.6,7,1,32,32,12010,16384,14.46205148473382,2.212687462340961,1132.895980718572,0.01407874096184969,9.233882607892156,1.2184549793601036,2.20886773429811,0.0,19.31387710571289,21.267578125,26.275203704833984,31.119140625,1,0
generate,0.6,7,2,32,32,14816,16335,15.477662377990782,2.0674956733456056,1055.3919320031396,0.0149116525426507,9.759495323523879,1.3260176060721278,2.5745303397998214,0.0,19.809520721435547,21.330078125,26.770885467529297,31.603515625,1,0
generate,0.6,7,3,32,32,18226,16191,16.681830554269254,1.918254708072819,970.5769368252191,0.021652868017554283,11.049982067197561,1.6016142424196005,2.158840512856841,0.0,20.89993667602539,22.365234375,27.861385345458984,33.138671875,1,0
generate,0.6,7,4,32,32,21116,16132,18.09627035073936,1.7683201775714283,891.4544095181964,0.02004534751176834,12.234555130824447,1.8628118066117167,2.13519527297467,0.0,21.891223907470703,23.99609375,28.85274887084961,35.34765625,1,0
generate,0.6,7,5,32,32,24999,15836,20.569105327129364,1.5557312528218716,769.8925037402238,0.02445380575954914,14.237018294632435,2.304350928403437,2.140590495429933,0.0,23.52684783935547,26.30078125,30.48849868774414,38.8671875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.002543257549405098,,,0.0,0.0,0.0,0.0,0.002543257549405098,14.258434295654297,14.857421875,21.704490661621094,34.95703125,0,0
generate,0.6,7,1,32,32,11232,16384,14.46373660955578,2.212429669028853,1132.7639905427727,0.013077255338430405,9.371440005488694,1.2458624430000782,2.0993329687044024,0.0,19.462570190429688,21.505859375,26.423908233642578,31.443359375,1,0
