phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,8076,15206,13.070519867353141,2.4482576305115393,1163.381422798702,0.013442015275359154,8.917749295942485,0.8302992787212133,1.623738463036716,0.0,17.727817058563232,18.783203125,24.689021587371826,27.99609375,1,0
generate,0.6,7,2,32,32,9830,14351,13.289939919486642,2.407836317836122,1079.8393436645683,0.008972322568297386,8.629193437285721,0.9764613751322031,1.972452213987708,0.0,18.32258939743042,18.8671875,25.2838397026062,29.333984375,1,0
generate,0.6,7,3,32,32,11681,14448,14.974726963788271,2.1369337869987257,964.8256048299247,0.010452105663716793,9.983087345957756,1.2601818414404988,1.9628740213811398,0.0,19.512134075164795,21.21875,26.47347593307495,31.4609375,1,0
generate,0.6,7,4,32,32,13547,14838,15.79939754679799,2.025393683855074,939.1497337825496,0.011932548135519028,10.412261812016368,1.359288228675723,2.2474260311573744,0.0,19.90864896774292,21.390625,26.8700213432312,33.041015625,1,0
generate,0.6,7,5,32,32,15453,14720,17.928231332451105,1.7848944163319782,821.05143151271,0.014160995371639729,12.14413630310446,1.740380479954183,2.2857757434248924,0.0,21.39557981491089,22.6640625,28.35706663131714,35.59765625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.006819151341915131,,,0.0,0.0,0.0,0.0,0.006819151341915131,14.258433818817139,14.484375,21.46644163131714,30.9296875,0,0
generate,0.6,7,1,32,32,7951,15000,12.344063392840326,2.592339246942,1215.1590220040625,0.008130189031362534,7.904158015735447,0.8394713886082172,1.9158965488895774,0.0,17.777381420135498,19.0078125,24.738589763641357,28.103515625,1,0
generate,0.6,7,2,32,32,9784,13765,13.331331848166883,2.400360321418309,1032.5299945100946,0.009736809879541397,8.881227809935808,1.0236055590212345,1.6999475043267012,0.0,18.570411205291748,19.40625,25.531680583953857,29.24609375,1,0
generate,0.6,7,3,32,32,11604,14310,14.723818207159638,2.1733493004171707,971.8946402803035,0.010849492624402046,9.837200468406081,1.2368777599185705,1.8975626099854708,0.0,19.413005352020264,20.642578125,26.37433958053589,31.75390625,1,0
generate,0.6,7,4,32,32,13553,14157,16.815430090762675,1.9030140666802664,841.9053169372667,0.013046270236372948,11.755620297975838,1.6636925088241696,1.6296651726588607,0.0,21.098193645477295,23.154296875,28.05965757369995,34.58984375,1,0
generate,0.6,7,5,32,32,15524,14248,19.73870149999857,1.6211806029896303,721.8306634811329,0.013486119918525219,13.872079310007393,2.1209030020982027,1.9191313246265054,0.0,22.832946300506592,24.64453125,29.794543743133545,39.095703125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.005150020122528076,,,0.0,0.0,0.0,0.0,0.005150020122528076,14.258433818817139,14.484375,21.516223430633545,33.173828125,0,0
generate,0.6,7,1,32,32,8102,15310,12.17508259601891,2.628318924954445,1257.4863356578924,0.008567184209823608,7.775685020722449,0.8300535744056106,1.8489511897787452,0.0,17.727817058563232,18.783203125,24.689021587371826,27.77734375,1,0
generate,0.6,7,2,32,32,9756,14015,12.65639690682292,2.528365713843026,1107.3451712346878,0.008719553239643574,8.43751390837133,0.920563206076622,1.6272619497030973,0.0,18.124331951141357,18.896484375,25.085566997528076,29.0,1,0
generate,0.6,7,3,32,32,11377,14468,13.33581192418933,2.399553936566577,1084.8983235701635,0.010939977131783962,8.93026674259454,1.0472357971593738,1.6593272490426898,0.0,18.619975566864014,19.466796875,25.58124876022339,29.427734375,1,0
generate,0.6,7,4,32,32,13350,14399,14.906660369597375,2.1466914256170386,965.9440574206168,0.014585711061954498,9.998514239676297,1.2664309358224273,1.8811278957873583,0.0,19.512134075164795,21.21875,26.47347593307495,31.4609375,1,0
generate,0.6,7,5,32,32,15250,14934,16.040798391215503,1.9949131719979916,931.0010409568127,0.014354314655065536,10.45192483253777,1.3596258647739887,2.0987564148381352,0.0,19.859084606170654,21.310546875,26.82045316696167,32.9140625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.00504055991768837,,,0.0,0.0,0.0,0.0,0.00504055991768837,14.258433818817139,14.484375,21.41322660446167,28.2734375,0,0
generate,0.6,7,1,32,32,8123,15131,13.95871154870838,2.292475196463316,1083.982568677701,0.008936668746173382,7.944941357709467,0.8344087405130267,2.98313676007092,0.0,17.727817058563232,18.783203125,24.689021587371826,27.77734375,1,0
generate,0.6,7,2,32,32,9766,13989,13.226945772767067,2.41930378711348,1057.6137711853273,0.010297662578523159,8.402353225275874,0.9420653088018298,2.0878062434494495,0.0,18.22346067428589,19.04296875,25.18470335006714,29.224609375,1,0
generate,0.6,7,3,32,32,11723,13918,13.905557546764612,2.3012381842571568,1000.8947827653471,0.009740986861288548,8.946074097417295,1.0645437203347683,2.126609869301319,0.0,18.66953992843628,19.3515625,25.63081693649292,30.060546875,1,0
generate,0.6,7,4,32,32,13530,14241,14.83392575290054,2.157217214987267,960.0290737073021,0.011129731312394142,9.744895486161113,1.234452328644693,2.07850403804332,0.0,19.363440990447998,20.58203125,26.324771404266357,31.66015625,1,0
generate,0.6,7,5,32,32,15315,14062,15.412577112205327,2.0762264329343716,912.3717531225979,0.012329382821917534,10.380393221974373,1.3625156348571181,1.9083038484677672,0.0,19.90864896774292,21.390625,26.8700213432312,33.041015625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004291018471121788,,,0.0,0.0,0.0,0.0,0.004291018471121788,14.258433818817139,14.484375,21.4149432182312,28.353515625,0,0
generate,0.6,7,1,32,32,8266,15643,12.512170893140137,2.5575098256965276,1250.222693855337,0.009076308459043503,7.938867831602693,0.8505778815597296,2.020372275263071,0.0,17.826945781707764,19.078125,24.78815793991089,28.197265625,1,0
generate,0.6,7,2,32,32,9919,14812,12.916419020853937,2.477466854267817,1146.7574701692158,0.008646142669022083,8.313197201117873,0.919531274586916,1.9837875068187714,0.0,18.124331951141357,18.896484375,25.085566997528076,29.0,1,0
generate,0.6,7,3,32,32,11954,14562,14.960635176859796,2.1389466170190192,973.3543949072175,0.01050972007215023,10.005366806872189,1.2706870883703232,1.9420080780982971,0.0,19.56169843673706,21.2890625,26.523044109344482,31.560546875,1,0
generate,0.6,7,4,32,32,13938,14055,15.396944642998278,2.0783344190661825,912.843445624225,0.011360648088157177,10.373072328977287,1.3612637175247073,1.9118058634921908,0.0,19.90864896774292,21.390625,26.8700213432312,33.041015625,1,0
generate,0.6,7,5,32,32,15851,14159,16.57740694656968,1.9303380862361996,854.1142800943235,0.014612271450459957,11.312336419709027,1.5775020867586136,1.936672082170844,0.0,20.70167875289917,22.56640625,27.6631121635437,34.90625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0041272882372140884,,,0.0,0.0,0.0,0.0,0.0041272882372140884,14.258433818817139,14.484375,21.4424090385437,29.53125,0,0
generate,0.6,7,1,32,32,8293,15399,12.503274665214121,2.5593295242108476,1231.5973544788387,0.008560262620449066,7.936268280260265,0.8505586795508862,2.005726012401283,0.0,17.826945781707764,19.078125,24.78815793991089,28.197265625,1,0
generate,0.6,7,2,32,32,10036,14356,13.60012661293149,2.3529192713230516,1055.578408097304,0.009262247011065483,8.97107519954443,1.0597827192395926,1.8556766770780087,0.0,18.66953992843628,19.3515625,25.63081693649292,30.060546875,1,0
generate,0.6,7,3,32,32,11811,14743,14.670694280415773,2.1812191971526182,1004.9285819881578,0.010694989003241062,9.601037758402526,1.1880577420815825,2.1340891998261213,0.0,19.2147479057312,20.35546875,26.176066875457764,31.306640625,1,0
generate,0.6,7,4,32,32,13620,14705,15.050486342981458,2.126177139446571,977.0448386113071,0.011620677076280117,9.91222953889519,1.2537160580977798,2.148832122795284,0.0,19.46256971359253,21.1328125,26.42390775680542,31.33984375,1,0
generate,0.6,7,5,32,32,15450,14578,15.333717126399279,2.08690428656123,950.7153340465503,0.011827535927295685,10.220868229866028,1.3228690885007381,2.07668424397707,0.0,19.759955883026123,21.44140625,26.721316814422607,31.962890625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0034449538215994835,,,0.0,0.0,0.0,0.0,0.0034449538215994835,14.258433818817139,14.484375,21.409793376922607,28.404296875,0,0
generate,0.6,7,1,32,32,8172,15063,12.515589169226587,2.5568113148585776,1203.539026116086,0.007295742630958557,7.971516701392829,0.8615012187510729,1.9961156602948904,0.0,17.87651014328003,19.03125,24.83772611618042,28.185546875,1,0
generate,0.6,7,2,32,32,10032,14286,12.901198528707027,2.480389704010475,1107.3389784841766,0.00915883481502533,8.468009826727211,0.9371105469763279,1.8064121035858989,0.0,18.22346067428589,19.04296875,25.18470335006714,29.224609375,1,0
generate,0.6,7,3,32,32,11901,14387,14.915018706582487,2.145488425427006,964.598186769323,0.01161995716392994,10.223594833165407,1.3119156016036868,1.6633918192237616,0.0,19.710391521453857,21.357421875,26.671748638153076,31.841796875,1,0
generate,0.6,7,4,32,32,13726,14243,15.787356250919402,2.026938487445384,902.1776523963939,0.011487857438623905,10.559478892944753,1.4045455371960998,2.0470912475138903,0.0,20.057342052459717,21.90234375,27.018725872039795,32.626953125,1,0
generate,0.6,7,5,32,32,15675,13792,16.65740605816245,1.9210674151945393,827.9800559488465,0.009752224199473858,11.202833458781242,1.5393911367282271,2.168759568594396,0.0,20.60255002975464,22.734375,27.56397581100464,33.822265625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0034606754779815674,,,0.0,0.0,0.0,0.0,0.0034606754779815674,14.258433818817139,14.484375,21.43897581100464,29.697265625,0,0
generate,0.6,7,1,32,32,7921,15026,12.270791905000806,2.6078186516192816,1224.533845600979,0.008401559665799141,7.7815244337543845,0.8171483473852277,2.0018658814951777,0.0,17.678252696990967,18.708984375,24.639453411102295,27.67578125,1,0
generate,0.6,7,2,32,32,9585,13987,12.57814668957144,2.544094991874379,1112.0080203545917,0.008420356549322605,8.205116431228817,0.89780308958143,1.7637988962233067,0.0,18.025203227996826,18.7421875,24.986430644989014,28.68359375,1,0
generate,0.6,7,3,32,32,11775,14223,14.803934404626489,2.1615875297312477,960.7581073552354,0.010196467861533165,10.011092194356024,1.270053275860846,1.7670912742614746,0.0,19.56169843673706,21.2890625,26.523044109344482,31.560546875,1,0
generate,0.6,7,4,32,32,13668,13411,15.244608830660582,2.0991027290670976,879.7208343599639,0.010862988419830799,10.380362977273762,1.360332002863288,1.773128212429583,0.0,19.90864896774292,21.390625,26.8700213432312,33.041015625,1,0
generate,0.6,7,5,32,32,15343,13780,15.967942625284195,2.0040152166710623,862.9790526789762,0.012873551808297634,10.938661253079772,1.4871563762426376,1.7589224791154265,0.0,20.404292583465576,22.43359375,27.365703105926514,33.392578125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.005329618230462074,,,0.0,0.0,0.0,0.0,0.005329618230462074,14.258433818817139,14.484375,21.432109355926514,29.396484375,0,0
generate,0.6,7,1,32,32,8023,14906,12.89089782256633,2.4823717044736777,1156.319769590145,0.008900115266442299,7.833074386231601,0.8307311804965138,2.2820248333737254,0.0,17.727817058563232,18.783203125,24.689021587371826,27.77734375,1,0
generate,0.6,7,2,32,32,9815,14675,14.275813026353717,2.2415535942455067,1027.9624686110253,0.01006381493061781,9.416795700788498,1.159997926093638,1.9935123138129711,0.0,19.066054821014404,20.5,26.02736234664917,30.427734375,1,0
generate,0.6,7,3,32,32,11677,14287,14.53938147611916,2.2009189354141228,982.6415259456742,0.010263954289257526,9.726579469628632,1.2218721397221088,1.8467088537290692,0.0,19.313876628875732,20.501953125,26.275203227996826,31.53515625,1,0
generate,0.6,7,4,32,32,13522,14279,15.029090691357851,2.129203998908656,950.0907468880221,0.01252786722034216,10.04914594721049,1.2982892841100693,1.9242864847183228,0.0,19.611262798309326,20.943359375,26.572612285614014,32.228515625,1,0
generate,0.6,7,5,32,32,15540,14109,16.088213534094393,1.9890337688634665,876.9774201529577,0.012586063705384731,10.940974624827504,1.4885264858603477,1.889393514022231,0.0,20.404292583465576,22.43359375,27.365703105926514,33.392578125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004460645839571953,,,0.0,0.0,0.0,0.0,0.004460645839571953,14.258433818817139,14.484375,21.432109355926514,29.396484375,0,0
generate,0.6,7,1,32,32,8028,14874,12.17179788928479,2.629028208574724,1222.005174198139,0.007787829264998436,7.710732434876263,0.8064662553369999,1.953521404415369,0.0,17.6286883354187,18.619140625,24.589885234832764,27.552734375,1,0
generate,0.6,7,2,32,32,9487,15013,12.779395075514913,2.504030888074774,1174.7817413333307,0.009142965078353882,8.263347807340324,0.9105692813172936,1.9004822308197618,0.0,18.074767589569092,18.826171875,25.035998821258545,28.890625,1,0
generate,0.6,7,3,32,32,11294,13891,13.3996391473338,2.3881240120087273,1036.6697078379136,0.008630875498056412,8.82434559520334,1.0145647218450904,1.8473235676065087,0.0,18.520846843719482,19.326171875,25.482112407684326,29.126953125,1,0
generate,0.6,7,4,32,32,13511,14104,15.460561661981046,2.0697825020607734,912.2566377832859,0.014161989092826843,10.56367673445493,1.404226128011942,1.7577458480373025,0.0,20.057342052459717,21.90234375,27.018725872039795,32.626953125,1,0
