phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,8271,16058,14.663179627619684,2.1823370382590515,1095.1240050113702,0.01816769316792488,9.964331182651222,1.0245272163301706,1.8962417067959905,0.0,18.570411205291748,19.46484375,25.531680583953857,29.306640625,1,0
generate,0.6,7,2,32,32,11754,15804,16.71045526023954,1.9149687726426003,945.7552025888642,0.012495983392000198,10.906659565865993,1.4763434724882245,2.5225415909662843,0.0,20.35472822189331,22.103515625,27.316134929656982,34.19140625,1,0
generate,0.6,7,3,32,32,15301,15808,17.93494756706059,1.7842260135051273,881.4076506715329,0.014845281839370728,12.225258277729154,1.7756292102858424,2.1278739739209414,0.0,21.49470853805542,23.12109375,28.4562029838562,34.68359375,1,0
generate,0.6,7,4,32,32,18416,15269,19.323270003311336,1.6560344079711309,790.1871679784749,0.016315830871462822,13.507224212400615,2.042842550203204,1.9320400413125753,0.0,22.535560131072998,24.296875,29.497134685516357,38.23046875,1,0
generate,0.6,7,5,32,32,21483,15350,20.098841628059745,1.5921315562447735,763.7256058861648,0.017336564138531685,13.963854407891631,2.1317169396206737,2.1196001451462507,0.0,22.882510662078857,24.765625,29.844111919403076,38.99609375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.006918002851307392,,,0.0,0.0,0.0,0.0,0.006918002851307392,14.258433818817139,14.54296875,21.517940044403076,33.302734375,0,0
generate,0.6,7,1,32,32,8003,16070,12.903196727856994,2.480005588918481,1245.4278066849997,0.009686211124062538,8.254442347213626,0.9216587832197547,1.9747183648869395,0.0,18.124331951141357,18.796875,25.085566997528076,28.740234375,1,0
generate,0.6,7,2,32,32,11207,15710,13.906676302663982,2.301053055637028,1129.6732345018033,0.009599271230399609,8.923477512784302,1.0615371000021696,2.193336743861437,0.0,18.66953992843628,19.60546875,25.63081693649292,29.275390625,1,0
generate,0.6,7,3,32,32,14449,15705,15.65995722077787,2.043428315215441,1002.8763028268281,0.012425966560840607,10.44286176469177,1.3869450772181153,2.057089578360319,0.0,19.958213329315186,21.515625,26.919589519500732,33.240234375,1,0
generate,0.6,7,4,32,32,17505,15997,17.224571323022246,1.8578111118056688,928.7313861111027,0.014919542707502842,11.727629871107638,1.6573064755648375,2.0625078128650784,0.0,21.04862928390503,22.484375,28.01008939743042,33.74609375,1,0
