phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,13750,3607,11.158176961354911,2.867851989695843,323.2606914635283,0.020483842119574547,7.919541105628014,2.1371432980522513,0.22356430999934673,0.0,25.20516300201416,27.73046875,28.8158221244812,34.509765625,1,0
generate,0.6,7,2,32,32,15441,3652,10.900519018061459,2.9356400320918716,335.0299186624849,0.016872597858309746,7.413637800142169,2.2273930767551064,0.3397305654361844,0.0,25.55967426300049,28.744140625,29.29582929611206,35.177734375,1,0
generate,0.6,7,3,32,32,17256,3796,11.32921157963574,2.824556658251489,335.0630335850829,0.019043988548219204,7.829955643042922,2.3229568833485246,0.22570898197591305,0.0,25.914185523986816,28.474609375,29.777416706085205,35.146484375,1,0
generate,0.6,7,4,32,32,19065,3517,12.190744769759476,2.624942167551537,288.4975501024611,0.020085874944925308,8.53598652780056,2.401617576368153,0.26617384143173695,0.0,26.300923347473145,28.896484375,30.302914142608643,35.873046875,1,0
generate,0.6,7,5,32,32,20793,3272,11.776518073864281,2.7172717605739383,277.8410375186852,0.01928814686834812,8.205868440680206,2.481839223764837,0.1558616580441594,0.0,26.558754920959473,29.275390625,30.653328895568848,36.259765625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0052727097645401955,,,0.0,0.0,0.0,0.0,0.0052727097645401955,14.988778114318848,15.662109375,25.07221508026123,31.8671875,0,0
generate,0.6,7,1,32,32,14034,3286,9.66543883830309,3.310765350165733,339.9742168951437,0.016423383727669716,6.630196097306907,1.973722293972969,0.1920328587293625,0.0,24.391392707824707,26.705078125,27.712156295776367,32.5625,1,0
generate,0.6,7,2,32,32,15622,3463,11.183751753531396,2.8612938399581016,309.6456427429658,0.017036806792020798,7.982410927303135,2.111265112645924,0.14238478895276785,0.0,25.044011116027832,27.9453125,28.595534324645996,34.3671875,1,0
generate,0.6,7,3,32,32,17346,3472,10.360807242803276,3.088562430521766,335.1090237116116,0.01803107839077711,7.038953410461545,2.2756493631750345,0.20967245940119028,0.0,25.63219165802002,28.220703125,29.394697666168213,34.587890625,1,0
generate,0.6,7,4,32,32,19041,3513,11.99459932744503,2.6678673565010462,292.8818132308805,0.01838524080812931,8.474868345074356,2.4002693062648177,0.18354742601513863,0.0,26.292866706848145,28.892578125,30.293065071105957,35.845703125,1,0
generate,0.6,7,5,32,32,20736,3372,11.569927991367877,2.7657907658435428,291.4452019507633,0.01915387436747551,8.01806506048888,2.49278774112463,0.17379752546548843,0.0,26.655442237854004,29.427734375,30.78768014907837,36.396484375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0031844833865761757,,,0.0,0.0,0.0,0.0,0.0031844833865761757,14.988778114318848,15.662109375,25.192904472351074,32.017578125,0,0
generate,0.6,7,1,32,32,13728,3316,6.592090326361358,4.854302416341899,503.0270878934293,0.012762947008013725,4.463350992649794,1.2050933986902237,0.18285061977803707,0.0,20.991291999816895,22.19921875,23.1005916595459,26.478515625,1,0
generate,0.6,7,2,32,32,15370,3289,6.698038482107222,4.777518087643579,491.03928094561667,0.013668626546859741,4.487866202369332,1.3023656895384192,0.16996832378208637,0.0,21.402207374572754,23.419921875,23.656719207763672,27.490234375,1,0
generate,0.6,7,3,32,32,17030,3537,7.419275822117925,4.3130894129321105,476.7311641731523,0.01308474037796259,5.059893760830164,1.4170394437387586,0.18939326517283916,0.0,21.909802436828613,24.029296875,24.34546184539795,28.431640625,1,0
generate,0.6,7,4,32,32,18798,3429,7.609172077849507,4.205450957424502,450.6403541565193,0.013759753666818142,5.181331175379455,1.5146906459704041,0.16293668374419212,0.0,22.344887733459473,24.130859375,24.933963775634766,28.705078125,1,0
