phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,8873,3102,6.160766066983342,5.194159241249847,503.508811448657,0.013499373570084572,4.385036012157798,0.8133269427344203,0.23788437899202108,0.0,19.11398410797119,21.13671875,20.94894504547119,25.138671875,1,0
generate,0.6,7,2,32,32,10357,3363,7.247814951464534,4.4151237599593935,464.00191264823246,0.009808110073208809,5.169635807164013,0.9624637365341187,0.19377302005887032,0.0,19.78270435333252,21.595703125,22.604140281677246,26.693359375,1,0
generate,0.6,7,3,32,32,11979,3065,5.429164433851838,5.8940929842673615,564.5435936493582,0.011320752091705799,3.5596359400078654,0.9470504885539412,0.1699731256812811,0.0,19.718270301818848,20.548828125,21.439467430114746,24.533203125,1,0
generate,0.6,7,4,32,32,13451,3011,5.588222234509885,5.726329171804413,538.8117855094715,0.01149199903011322,3.6590484883636236,1.0260932026430964,0.2025187248364091,0.0,20.145298957824707,21.44921875,21.95499610900879,25.73046875,1,0
generate,0.6,7,5,32,32,14894,2988,6.948001989163458,4.605640592778934,430.05169035073294,0.012881807051599026,4.78992635011673,1.175157598219812,0.17674692999571562,0.0,20.822087287902832,22.173828125,22.93235683441162,27.271484375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.005262426100671291,,,0.0,0.0,0.0,0.0,0.005262426100671291,14.988778114318848,15.294921875,19.721867561340332,23.189453125,0,0
generate,0.6,7,1,32,32,8661,3355,5.526963429525495,5.78979767245308,607.0240997212526,0.010215132497251034,3.8240173617377877,0.7759514842182398,0.1491944706067443,0.0,18.880318641662598,20.552734375,21.151041984558105,24.578125,1,0
generate,0.6,7,2,32,32,10242,3481,8.55575651396066,3.740171888690934,406.86057326666065,0.009638906456530094,6.358349177986383,1.0064941020682454,0.15809917356818914,0.0,19.968003273010254,21.396484375,23.501501083374023,27.505859375,1,0
generate,0.6,7,3,32,32,11973,3570,6.872410180978477,4.656299486979096,519.4684115161054,0.011116426438093185,4.701419536955655,1.1566794319078326,0.2184401797130704,0.0,20.6931734085083,22.005859375,22.80343532562256,27.037109375,1,0
generate,0.6,7,4,32,32,13767,3292,8.081109212711453,3.9598524358097427,407.36981933392724,0.012014093808829784,5.666836786083877,1.3357261084020138,0.2179688410833478,0.0,21.55527973175049,23.04296875,23.917866706848145,28.787109375,1,0
generate,0.6,7,5,32,32,15410,3407,8.845178521238267,3.6177901806237607,385.181598293286,0.012898261658847332,6.304167806170881,1.5144822597503662,0.14314824994653463,0.0,22.352932929992676,24.056640625,24.945603370666504,30.2109375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.003321094438433647,,,0.0,0.0,0.0,0.0,0.003321094438433647,14.988778114318848,15.294921875,21.043797492980957,29.9375,0,0
generate,0.6,7,1,32,32,9163,3210,5.69891413487494,5.615104780079692,563.2651982517441,0.01141674630343914,3.7721256194636226,1.1788058588281274,0.09593923855572939,0.0,20.862385749816895,22.439453125,22.926045417785645,26.47265625,1,0
generate,0.6,7,2,32,32,10625,3223,6.283773588947952,5.092481380341639,512.9083590262844,0.011298389174044132,4.215487428940833,1.286006722599268,0.09735845029354095,0.0,21.353867530822754,23.03515625,23.59437322616577,27.412109375,1,0
generate,0.6,7,3,32,32,12223,3232,7.043871550820768,4.542956209397556,458.83857714915314,0.012542026117444038,4.819920428097248,1.3996492717415094,0.10172774270176888,0.0,21.813118934631348,23.5625,24.215930461883545,28.23828125,1,0
generate,0.6,7,4,32,32,13833,3227,8.476987598463893,3.7749258953497455,380.6776832591759,0.012848666869103909,5.985388738103211,1.5315438127145171,0.10805055871605873,0.0,22.473793983459473,24.28125,25.10868549346924,29.560546875,1,0
generate,0.6,7,5,32,32,15422,2933,8.731941524893045,3.6647061720207703,335.89322507927875,0.01472228579223156,6.1500133872032166,1.627457699738443,0.10136938095092773,0.0,22.908879280090332,24.873046875,25.698511123657227,30.349609375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.003564095124602318,,,0.0,0.0,0.0,0.0,0.003564095124602318,14.988778114318848,15.294921875,21.644841194152832,28.9453125,0,0
generate,0.6,7,1,32,32,8701,3377,6.653168834745884,4.8097381555810514,507.57767973116285,0.009382680989801884,4.73526799492538,0.895969096571207,0.1211170619353652,0.0,19.468480110168457,21.17578125,22.129084587097168,25.966796875,1,0
generate,0.6,7,2,32,32,10267,3397,5.236909033730626,6.110474670056299,648.665076693164,0.0103397686034441,3.5161758977919817,0.918212853372097,0.10686846077442169,0.0,19.54101276397705,20.322265625,21.307655334472656,24.271484375,1,0
generate,0.6,7,3,32,32,11985,3472,7.108060500584543,4.501931292983287,488.4595452886866,0.012172749266028404,5.051165295764804,1.055106732994318,0.13838562462478876,0.0,20.25002384185791,22.404296875,22.7508544921875,27.544921875,1,0
generate,0.6,7,4,32,32,13682,3497,7.946729151532054,4.026813974631399,440.0552646651876,0.01279807835817337,5.728617588989437,1.1654755743220448,0.12400445621460676,0.0,20.717331886291504,23.0390625,23.448140144348145,28.666015625,1,0
generate,0.6,7,5,32,32,15420,3146,6.7489422503858805,4.741483748534129,466.1471210277615,0.012741493992507458,4.594934947788715,1.2692277450114489,0.10852468479424715,0.0,21.19271945953369,22.728515625,23.373727798461914,27.1875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0030693253502249718,,,0.0,0.0,0.0,0.0,0.0030693253502249718,14.988778114318848,15.294921875,20.13708782196045,26.900390625,0,0
generate,0.6,7,1,32,32,8645,3307,6.038529920391738,5.29930304591818,547.6498491516069,0.01071229763329029,4.130784778855741,1.0246797073632479,0.11937051545828581,0.0,20.121121406555176,21.31640625,22.071407318115234,25.876953125,1,0
generate,0.6,7,2,32,32,10249,3396,5.946873867884278,5.380978428483914,571.0563357228554,0.011305248364806175,3.9997535748407245,1.1129800826311111,0.11058939900249243,0.0,20.5562105178833,21.96484375,22.51116943359375,25.9765625,1,0
generate,0.6,7,3,32,32,11929,3459,7.57572209648788,4.224019782198091,456.5901383319749,0.01213026698678732,5.322070173919201,1.280871537514031,0.12778516206890345,0.0,21.265225410461426,22.6953125,23.53608989715576,28.197265625,1,0
generate,0.6,7,4,32,32,13641,3318,8.419998832978308,3.8004755861327135,394.06181233713573,0.012595005333423615,6.00150803104043,1.415879706852138,0.11689070146530867,0.0,21.901734352111816,23.46484375,24.333784103393555,29.390625,1,0
generate,0.6,7,5,32,32,15301,3335,7.891785905696452,4.0548489761869675,422.59129173698557,0.012670587748289108,5.472551386803389,1.4402263080701232,0.1103552458807826,0.0,22.095112800598145,23.84765625,24.596195697784424,28.826171875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0038827424868941307,,,0.0,0.0,0.0,0.0,0.0038827424868941307,14.988778114318848,15.294921875,20.92363452911377,28.5390625,0,0
generate,0.6,7,1,32,32,8542,3374,5.709216749295592,5.604971996193381,590.9742348486395,0.008743563666939735,3.974498854018748,0.8298809556290507,0.12187912594527006,0.0,19.13814640045166,20.802734375,21.40888500213623,25.046875,1,0
