phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,14707,7204,22.639748938381672,1.4134432359251867,318.20140848765766,0.01970815844833851,18.822069165296853,2.630755666643381,0.3498401688411832,0.0,25.697876930236816,31.40234375,30.00898027420044,37.798828125,1,0
generate,0.6,7,2,32,32,18002,5559,17.097143044695258,1.8716577334789664,325.14204188779917,0.017097539268434048,13.34910892881453,2.7589481063187122,0.2599541414529085,0.0,26.245800971984863,28.705078125,30.751948356628418,34.80078125,1,0
generate,0.6,7,3,32,32,20770,5459,15.82200272101909,2.0224999681923257,345.0258539488096,0.018473779782652855,12.047097203321755,2.860090171918273,0.2535074772313237,0.0,26.745354652404785,29.533203125,31.43450927734375,35.884765625,1,0
generate,0.6,7,4,32,32,23375,4949,15.394567388109863,2.0786553589492547,321.4770428574957,0.02196625340729952,11.586009768769145,2.9910879004746675,0.15021941158920527,0.0,27.16433048248291,31.02734375,32.00176525115967,37.97265625,1,0
generate,0.6,7,5,32,32,25731,4787,15.542124385014176,2.0589205958777823,308.001652889592,0.019650937989354134,11.632551793940365,3.096668320707977,0.15386532247066498,0.0,27.58330249786377,31.607421875,32.57210826873779,38.791015625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.006420026533305645,,,0.0,0.0,0.0,0.0,0.006420026533305645,13.531746864318848,14.244140625,25.736287117004395,36.109375,0,0
generate,0.6,7,1,32,32,14864,7626,18.761316629126668,1.705637223259719,406.47467076808175,0.01428399607539177,15.47670776490122,2.223568271845579,0.2949033807963133,0.0,23.98171329498291,28.763671875,27.674574851989746,33.72265625,1,0
generate,0.6,7,2,32,32,18292,6168,18.104957333765924,1.7674717156234157,340.68017318641336,0.014486189000308514,14.45030954387039,2.5403086878359318,0.4032021388411522,0.0,25.343388557434082,28.10546875,29.52481460571289,33.748046875,1,0
generate,0.6,7,3,32,32,21127,5986,20.186901438981295,1.5851863197888996,296.528915945511,0.016666308045387268,16.229374582879245,2.9142778301611543,0.28830819576978683,0.0,26.914525032043457,29.244140625,31.663628101348877,35.64453125,1,0
generate,0.6,7,4,32,32,23893,5666,27.08021136932075,1.181674676153115,209.23027234636092,0.019545569084584713,22.5522473314777,3.416781616397202,0.2159026935696602,0.0,28.872376441955566,32.201171875,34.32794952392578,39.94921875,1,0
generate,0.6,7,5,32,32,26605,5548,23.477114438079298,1.3630295189981607,236.31524285630613,0.02049571741372347,18.775739083997905,3.6915812185034156,0.1960552455857396,0.0,29.823147773742676,33.97265625,35.626137256622314,42.353515625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004267468117177486,,,0.0,0.0,0.0,0.0,0.004267468117177486,13.531746864318848,14.244140625,27.307957649230957,33.98046875,0,0
generate,0.6,7,1,32,32,14652,7000,10.766245815902948,2.97225240322234,650.1802132048869,0.010909288190305233,8.57860657852143,1.4239983726292849,0.18645910825580359,0.0,20.46078586578369,23.44921875,22.898205280303955,26.904296875,1,0
generate,0.6,7,2,32,32,17711,5906,11.072668176144361,2.8899990039386143,533.3854411644205,0.012299738824367523,8.762915258295834,1.585897390730679,0.13750250544399023,0.0,21.202046394348145,24.607421875,23.905752658843994,28.064453125,1,0
generate,0.6,7,3,32,32,20462,5720,13.67642642557621,2.339792501655036,418.23790967083767,0.01349661871790886,11.01387988217175,1.8812377341091633,0.14784977585077286,0.0,22.59591770172119,26.89453125,25.793288230895996,30.982421875,1,0
generate,0.6,7,4,32,32,23063,5591,15.178359495475888,2.1082647310823033,368.3533784837862,0.01432808954268694,12.066718451678753,2.1708491230383515,0.22433262411504984,0.0,23.80448627471924,25.681640625,27.43497085571289,30.58203125,1,0
generate,0.6,7,5,32,32,25588,5241,17.877749155275524,1.7899345002587845,293.15770987050905,0.01657723169773817,14.480472476221621,2.543665198609233,0.1602652557194233,0.0,25.351445198059082,28.10546875,29.536866664886475,33.748046875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.003407067619264126,,,0.0,0.0,0.0,0.0,0.003407067619264126,13.531746864318848,14.244140625,23.077153205871582,28.111328125,0,0
generate,0.6,7,1,32,32,14024,8109,13.865924376063049,2.3078158463955045,584.8149593256608,0.009583443403244019,11.37351992353797,1.4732327768579125,0.3450296213850379,0.0,20.72663974761963,23.1875,23.260298252105713,27.494140625,1,0
