phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,16,16,4554,1211,6.435352775268257,2.486266185979687,188.17927195133754,0.011683033779263496,5.0982825784012675,0.9403457902371883,0.0532449409365654,0.0,45.634493350982666,46.974609375,46.296152114868164,48.0703125,1,0
generate,0.6,7,2,16,16,5068,1272,5.415622064843774,2.9544159116763544,234.8760649782702,0.003090187907218933,4.047665702179074,1.0217723101377487,0.03180562984198332,0.0,46.02067232131958,47.673828125,46.74232625961304,48.59765625,1,0
generate,0.6,7,3,16,16,5657,1297,5.471511644311249,2.924237585537309,237.04600927761814,0.004290132783353329,4.037548414431512,1.0968995792791247,0.029639110900461674,0.0,46.33379030227661,48.142578125,47.108238220214844,49.13671875,1,0
generate,0.6,7,4,16,16,6249,1373,6.199345758184791,2.5809175071217365,221.474983579884,0.0035054022446274757,4.679006265476346,1.1851192004978657,0.03538928832858801,0.0,46.75127840042114,48.685546875,47.592252254486084,49.78125,1,0
generate,0.6,7,5,16,16,6873,1373,6.341935868375003,2.5228889619944526,216.49540905114898,0.005342626012861729,4.716589200310409,1.2771267397329211,0.03771393280476332,0.0,47.13745737075806,49.296875,48.038546085357666,50.4765625,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.004063181579113007,,,0.0,0.0,0.0,0.0,0.004063181579113007,41.470043659210205,41.56640625,44.219741344451904,49.30078125,0,0
generate,0.6,7,1,16,16,4522,1197,4.702173916622996,3.4026814583436056,254.56310660233098,0.003475707024335861,3.56237621139735,0.8358114454895258,0.029346896335482597,0.0,45.32137727737427,46.7109375,45.93176794052124,47.435546875,1,0
generate,0.6,7,2,16,16,5012,1314,5.282069351524115,3.029115851230405,248.766139282297,0.004706127569079399,3.975201199762523,0.9583593029528856,0.032389151863753796,0.0,45.78061532974243,47.23046875,46.46406030654907,48.3125,1,0
generate,0.6,7,3,16,16,5631,1364,5.81853695306927,2.749832153521002,234.42319108766543,0.0038575828075408936,4.4308202704414725,1.0619221674278378,0.03106850478798151,0.0,46.16679239273071,47.6953125,46.91464328765869,48.87109375,1,0
generate,0.6,7,4,16,16,6259,1351,5.930956043303013,2.6977100965141245,227.78789627441137,0.003465350717306137,4.445309430360794,1.149052289314568,0.034406423568725586,0.0,46.63646936416626,48.53515625,47.457679271698,49.61328125,1,0
generate,0.6,7,5,16,16,6889,1336,6.012712458148599,2.6610286308164204,222.1958906731711,0.004127406515181065,4.432977526448667,1.24037413764745,0.029886615462601185,0.0,46.93915033340454,48.966796875,47.80714654922485,50.365234375,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0026676617562770844,,,0.0,0.0,0.0,0.0,0.0026676617562770844,41.470043659210205,41.56640625,44.130515575408936,49.755859375,0,0
generate,0.6,7,1,16,16,4580,1255,5.377498005516827,2.975361401080102,233.3799098972205,0.0035713408142328262,4.152955712750554,0.8934594513848424,0.03591604996472597,0.0,45.42574739456177,46.78125,46.054200172424316,47.517578125,1,0
generate,0.6,7,2,16,16,5118,1380,5.3288134802132845,3.002544573836276,258.9694694933788,0.0030965758487582207,4.0299287512898445,0.9515043599531054,0.031833368353545666,0.0,45.7179913520813,47.21484375,46.392935276031494,48.009765625,1,0
generate,0.6,7,3,16,16,5762,1393,5.366016914136708,2.9817274630365382,259.5966472506186,0.00374522153288126,3.99594234675169,1.0478425472974777,0.031194277107715607,0.0,46.09373331069946,47.625,46.82848501205444,48.78515625,1,0
