phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,16,16,6714,1545,8.726344904862344,1.8335282611949884,177.05007272164107,0.011061443947255611,6.803080357611179,1.4775341814383864,0.0597564373165369,0.0,48.01418399810791,50.2734375,49.05522537231445,51.95703125,1,0
generate,0.6,7,2,16,16,7391,1641,8.179944924078882,1.9560033898152083,200.6125976679223,0.005185497924685478,6.200222679413855,1.5825193617492914,0.04578565899282694,0.0,48.462985038757324,51.0703125,49.57721519470215,52.28125,1,0
generate,0.6,7,3,16,16,8172,1626,8.69315982144326,1.840527532984392,187.04361053953883,0.0060545047745108604,6.549751145765185,1.7045870581641793,0.042089090682566166,0.0,48.97441005706787,51.61328125,50.16897487640381,52.91015625,1,0
generate,0.6,7,4,16,16,8982,1631,8.628933534957469,1.8542268213309239,189.01524659942106,0.005565479397773743,6.397439965046942,1.8197320345789194,0.04039690550416708,0.0,49.42321300506592,52.185546875,50.691083908081055,53.939453125,1,0
generate,0.6,7,5,16,16,9735,1628,10.48852532170713,1.525476605074908,155.2172445663719,0.00581379234790802,8.101932694204152,1.9589685387909412,0.05265781283378601,0.0,49.96594524383545,53.0859375,51.32076835632324,54.689453125,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0037163831293582916,,,0.0,0.0,0.0,0.0,0.0037163831293582916,41.47004413604736,41.64453125,45.57564163208008,53.08984375,0,0
generate,0.6,7,1,16,16,7993,1662,14.857891521416605,1.0768688125725732,111.85974790597602,0.007931657135486603,11.00707551278174,3.327814467251301,0.04635124932974577,0.0,55.51856327056885,61.09375,57.767603397369385,63.76953125,1,0
generate,0.6,7,2,16,16,8744,1643,13.899511589668691,1.1511195840789523,118.2055922901074,0.00807502306997776,9.96483970247209,3.4198524598032236,0.04039919003844261,0.0,55.883870124816895,61.49609375,58.189106464385986,64.923828125,1,0
generate,0.6,7,3,16,16,9518,1722,17.438890282996,0.9174895730378552,98.74481529819916,0.00851722713559866,13.296582505106926,3.614108989946544,0.04994645528495312,0.0,56.61447048187256,62.544921875,59.03953218460083,65.421875,1,0
generate,0.6,7,4,16,16,10324,1689,14.944349142722785,1.0706387977954375,113.01930809228087,0.009700707159936428,10.810498712584376,3.6374158188700676,0.039270952343940735,0.0,56.67710018157959,62.794921875,59.11084985733032,65.701171875,1,0
generate,0.6,7,5,16,16,11135,1709,16.526114544831216,0.9681646557995227,103.41208729758651,0.009525954723358154,12.288037995807827,3.728549750521779,0.03919365722686052,0.0,57.13633632659912,63.37890625,59.644567012786865,66.3671875,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.002696022391319275,,,0.0,0.0,0.0,0.0,0.002696022391319275,41.47004413604736,41.64453125,49.46550369262695,63.384765625,0,0
generate,0.6,7,1,16,16,7367,1579,11.72468247730285,1.3646424993575303,134.67315665534628,0.00733003206551075,8.564710350707173,2.713612373918295,0.04534986428916454,0.0,53.211934089660645,57.875,55.0855507850647,59.91796875,1,0
generate,0.6,7,2,16,16,8041,1490,11.675836379639804,1.3703515088564127,127.61398426225342,0.007880570366978645,8.268913525156677,2.8535764925181866,0.12494148779660463,0.0,53.65030002593994,58.544921875,55.596060276031494,60.869140625,1,0
generate,0.6,7,3,16,16,8730,1650,12.475571337155998,1.2825063933021805,132.25847180928736,0.00812497641891241,9.011045563034713,3.0024160677567124,0.04240464512258768,0.0,54.20347309112549,59.291015625,56.237032413482666,61.71484375,1,0
generate,0.6,7,4,16,16,9523,1727,13.913273635320365,1.1499809763952498,124.12607163966227,0.0076331282034516335,10.295437442138791,3.123910733498633,0.043587714433670044,0.0,54.7357702255249,59.51953125,56.856770038604736,62.6640625,1,0
generate,0.6,7,5,16,16,10367,1755,15.286873051896691,1.0466496284545799,114.80438112111172,0.008310336619615555,11.473058537580073,3.3205522801727057,0.04403532762080431,0.0,55.487250328063965,60.51171875,57.729759216308594,63.83203125,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0024001607671380043,,,0.0,0.0,0.0,0.0,0.0024001607671380043,41.47004413604736,41.64453125,48.55744552612305,62.525390625,0,0
generate,0.6,7,1,16,16,7497,1595,11.925713784061372,1.3416387722958671,133.74461511324427,0.006989120505750179,8.869485014118254,2.611165415495634,0.038328204303979874,0.0,52.700507164001465,56.681640625,54.49173069000244,59.154296875,1,0
generate,0.6,7,2,16,16,8232,1701,12.618513739667833,1.267978173190243,134.80192953728772,0.007222951389849186,9.436176315881312,2.7132859881967306,0.04901820048689842,0.0,53.23280620574951,57.830078125,55.11125183105469,59.873046875,1,0
generate,0.6,7,3,16,16,9035,1807,14.238737822510302,1.1236951055244015,126.90731598016208,0.007548440247774124,10.818158324807882,2.926719445735216,0.05066501535475254,0.0,53.85903835296631,58.2421875,55.838473320007324,61.169921875,1,0
generate,0.6,7,4,16,16,9900,1724,12.617650629021227,1.2680649092628384,136.63399397307086,0.008798129856586456,9.17391333822161,2.9745321134105325,0.046429007314145565,0.0,54.140849113464355,59.212890625,56.16722869873047,61.630859375,1,0
generate,0.6,7,5,16,16,10657,1644,13.445701067335904,1.1899714205954899,122.26956346618658,0.00785041507333517,9.84663257934153,3.09871896635741,0.058709592558443546,0.0,54.61052417755127,59.837890625,56.71128749847412,62.337890625,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0024241358041763306,,,0.0,0.0,0.0,0.0,0.0024241358041763306,41.47004413604736,41.64453125,48.14897060394287,59.841796875,0,0
generate,0.6,7,1,16,16,7077,1566,8.267869788222015,1.9352022237690274,189.40791765139355,0.005989416502416134,6.1874502478167415,1.7053078431636095,0.03420675825327635,0.0,48.92222499847412,51.578125,50.109904289245605,52.869140625,1,0
generate,0.6,7,2,16,16,7734,1561,8.084783235564828,1.9790264666115307,193.07876964878747,0.00572956632822752,5.911356528289616,1.7680231211706996,0.03427474945783615,0.0,49.277092933654785,51.998046875,50.51863718032837,53.716796875,1,0
generate,0.6,7,3,16,16,8455,1622,8.72468199301511,1.8338777290461055,185.90935478204895,0.0060910508036613464,6.393141153268516,1.909873296506703,0.04765114560723305,0.0,49.80939197540283,52.98828125,51.13766002655029,54.568359375,1,0
generate,0.6,7,4,16,16,9197,1506,9.145487069152296,1.7494967604260203,164.67138257509916,0.006741618737578392,6.683834958821535,2.0471395617350936,0.03663064073771238,0.0,50.39387798309326,53.8125,51.81585168838501,55.529296875,1,0
generate,0.6,7,5,16,16,9919,1575,10.169296341016889,1.573363531109377,154.8779725935793,0.006968910805881023,7.541844607330859,2.215933470055461,0.0360731091350317,0.0,51.05142307281494,54.69921875,52.580392360687256,56.55859375,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0023865485563874245,,,0.0,0.0,0.0,0.0,0.0023865485563874245,41.47004413604736,41.64453125,46.24935436248779,54.703125,0,0
generate,0.6,7,1,16,16,7575,1569,9.255694679915905,1.7286654922529674,169.51725983405663,0.006276424042880535,7.024548137560487,1.8233535951003432,0.033340741880238056,0.0,49.433648109436035,52.138671875,50.701725482940674,53.888671875,1,0
generate,0.6,7,2,16,16,8287,1657,12.341349648311734,1.2964546387508566,134.26408352563558,0.0062842536717653275,9.875702562741935,2.012031577527523,0.052903435193002224,0.0,50.2059965133667,53.296875,51.596375942230225,54.935546875,1,0
generate,0.6,7,3,16,16,9149,1636,9.543281600810587,1.6765721341221862,171.42950071399355,0.006421228870749474,7.1009770995005965,2.036309864372015,0.03708754479885101,0.0,50.289504051208496,53.36328125,51.69327354431152,55.470703125,1,0
