phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,16,16,5733,8192,9.898485775105655,1.6164088491433144,827.601330761377,0.013545802794396877,6.652417935431004,0.42409592401236296,1.5813258988782763,0.0,9.400145053863525,11.033203125,13.980398654937744,17.1640625,1,0
generate,0.6,7,2,16,16,6370,8192,8.79124119412154,1.8199932918117134,931.8365654075973,0.006788509897887707,5.788992930203676,0.4660581899806857,1.2908266885206103,0.0,9.52100419998169,11.34765625,14.101267337799072,17.455078125,1,0
generate,0.6,7,3,16,16,7019,8192,9.104067992419004,1.7574561188825992,899.8175328678908,0.007017523981630802,6.1538981618359685,0.39976321905851364,1.350901572033763,0.0,9.762722492218018,12.02734375,14.343004703521729,18.30078125,1,0
generate,0.6,7,4,16,16,7799,8192,9.933617650531232,1.6106921529382952,824.6743823044071,0.007600799202919006,6.877173020504415,0.4898919053375721,1.3643684349954128,0.0,10.246159076690674,13.287109375,14.826479434967041,19.95703125,1,0
generate,0.6,7,5,16,16,8428,8192,10.463705806061625,1.5290949780651515,782.8966287693576,0.006828240118920803,7.3674598122015595,0.5343519411981106,1.317369308322668,0.0,10.536221027374268,11.0546875,15.116564273834229,20.4765625,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.004664018750190735,,,0.0,0.0,0.0,0.0,0.004664018750190735,7.176397800445557,7.236328125,13.368588924407959,20.212890625,0,0
generate,0.6,7,1,16,16,6943,8192,11.952013868838549,1.3386865322935588,685.4075045343021,0.007034488953649998,8.75312645919621,0.6962154032662511,1.2592458501458168,0.0,11.382235050201416,12.30078125,15.962645053863525,23.25390625,1,0
generate,0.6,7,2,16,16,7584,8192,12.06385656259954,1.3262757159765413,679.0531665799891,0.007673137821257114,8.906744780950248,0.7176197804510593,1.2208977099508047,0.0,11.478922367095947,12.443359375,16.059340000152588,23.572265625,1,0
generate,0.6,7,3,16,16,8237,8192,12.292213753797114,1.3016369809756632,666.4381342595395,0.007874740287661552,9.03016176726669,0.7291749846190214,1.3028623405843973,0.0,11.551437854766846,12.548828125,16.131861209869385,23.806640625,1,0
generate,0.6,7,4,16,16,8932,8192,12.411456802859902,1.2891315060060644,660.035331075105,0.010132338851690292,9.203361270017922,0.7457878608256578,1.2234206339344382,0.0,11.648125171661377,12.69140625,16.228556156158447,24.1328125,1,0
generate,0.6,7,5,16,16,9466,8192,12.710528811439872,1.2587989246835665,644.505049437986,0.009551657363772392,9.33850724156946,0.7713484680280089,1.3566091330721974,0.0,11.744812488555908,12.833984375,16.32525110244751,24.44921875,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0025803018361330032,,,0.0,0.0,0.0,0.0,0.0025803018361330032,7.176397800445557,7.236328125,16.27808427810669,24.3515625,0,0
generate,0.6,7,1,16,16,6276,8192,10.909237052313983,1.4666470187854432,750.9232736181469,0.008835525251924992,7.73160925321281,0.5817724484950304,1.379731179215014,0.0,10.753767490386963,11.37109375,15.33412790298462,21.19140625,1,0
generate,0.6,7,2,16,16,6952,8192,11.20200096257031,1.4283162493434374,731.2979196638399,0.0074656326323747635,8.073596249334514,0.609733241610229,1.2910837167873979,0.0,10.947142124176025,11.65625,15.527517795562744,21.8046875,1,0
generate,0.6,7,3,16,16,7582,8192,11.406406125985086,1.4027205259288626,718.1929092755777,0.007632585242390633,8.220721333287656,0.6320747248828411,1.328917184844613,0.0,11.043829441070557,11.798828125,15.624212741851807,22.115234375,1,0
generate,0.6,7,4,16,16,8348,8192,11.508350403048098,1.390294824161962,711.8309499709245,0.008378200232982635,8.379992811009288,0.6527278507128358,1.2440385958179832,0.0,11.140516757965088,11.94140625,15.72090768814087,22.478515625,1,0
generate,0.6,7,5,16,16,8917,8192,11.68045952450484,1.3698091215018593,701.342270208952,0.007513630203902721,8.527843319810927,0.6654253117740154,1.276330480352044,0.0,11.23720407485962,12.083984375,15.817602634429932,22.79296875,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.002628454938530922,,,0.0,0.0,0.0,0.0,0.002628454938530922,7.176397800445557,7.236328125,15.054368019104004,22.697265625,0,0
generate,0.6,7,1,16,16,6674,8192,11.413105668500066,1.4018971228979038,717.7713269237267,0.00713436771184206,8.248708231374621,0.6449404209852219,1.2877504043281078,0.0,11.06800127029419,11.8359375,15.648386478424072,22.205078125,1,0
generate,0.6,7,2,16,16,7259,8192,11.601877643726766,1.3790871177348898,706.0926042802636,0.007240598089993,8.516082985326648,0.6655085496604443,1.1730085983872414,0.0,11.23720407485962,12.083984375,15.817602634429932,22.79296875,1,0
generate,0.6,7,3,16,16,7940,8192,12.124539591372013,1.3196377379464221,675.6545218285681,0.008535744622349739,8.871355894953012,0.7193819377571344,1.2900224225595593,0.0,11.454750537872314,12.40625,16.035166263580322,23.494140625,1,0
generate,0.6,7,4,16,16,8519,8192,12.304060358554125,1.3003837378671794,665.7964737879959,0.008019154891371727,9.066339152865112,0.7318417178466916,1.2730161407962441,0.0,11.575609683990479,12.5859375,16.15603494644165,23.89453125,1,0
generate,0.6,7,5,16,16,9104,8192,12.50187056325376,1.2798084829823906,655.261943286984,0.008891199715435505,9.205194410867989,0.7488854238763452,1.3187883608043194,0.0,11.67229700088501,12.728515625,16.252729892730713,24.2109375,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0020579993724823,,,0.0,0.0,0.0,0.0,0.0020579993724823,7.176397800445557,7.236328125,16.104280948638916,24.1171875,0,0
generate,0.6,7,1,16,16,6050,8192,8.601886271499097,1.860057142700585,952.3492570626995,0.005962223745882511,5.7971717761829495,0.3711459366604686,1.2524196011945605,0.0,9.545176029205322,11.412109375,14.125441074371338,17.53515625,1,0
generate,0.6,7,2,16,16,6643,8192,9.03879690170288,1.7701470863877526,906.3153082305294,0.007044423371553421,6.066146490164101,0.3972284207120538,1.3862497610971332,0.0,9.714378833770752,11.8984375,14.294657230377197,18.130859375,1,0
generate,0.6,7,3,16,16,7297,8192,9.309406460262835,1.7186917413366725,879.9701715643763,0.007328208535909653,6.423054722137749,0.4419291540980339,1.2429646207019687,0.0,9.95609712600708,12.53125,14.536394596099854,18.94921875,1,0
generate,0.6,7,4,16,16,8131,8192,9.625685437582433,1.6622192885640907,851.0562757448145,0.007822769694030285,6.631299341097474,0.4618122559040785,1.329239273443818,0.0,10.101128101348877,12.90625,14.681437015533447,19.4375,1,0
generate,0.6,7,5,16,16,8801,8192,9.949641324579716,1.6080981693755536,823.3462627202834,0.007163125090301037,6.821988752111793,0.48571232333779335,1.413960600271821,0.0,10.221987247467041,13.22265625,14.802305698394775,19.876953125,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.00237467885017395,,,0.0,0.0,0.0,0.0,0.00237467885017395,7.176397800445557,7.236328125,12.615889072418213,19.4609375,0,0
generate,0.6,7,1,16,16,6611,8192,9.212665095925331,1.7367395681274291,889.2106588812437,0.007391416467726231,6.30401554889977,0.42414125986397266,1.2909629475325346,0.0,9.883581638336182,12.337890625,14.463873386383057,18.689453125,1,0
generate,0.6,7,2,16,16,7181,8192,9.595106687396765,1.6675166333497995,853.7685162750973,0.006580694578588009,6.51307372096926,0.44623545836657286,1.3591924672946334,0.0,10.004440784454346,12.654296875,14.584742069244385,19.1015625,1,0
generate,0.6,7,3,16,16,7758,8192,9.636956060305238,1.660275288159114,850.0609475374664,0.007066092453896999,6.691757350228727,0.46341346483677626,1.2832359001040459,0.0,10.12529993057251,12.970703125,14.705610752105713,19.517578125,1,0
generate,0.6,7,4,16,16,8303,8192,9.87394982855767,1.62042549109622,829.6578514412646,0.008116224780678749,6.838002014905214,0.4855802208185196,1.361757061444223,0.0,10.221987247467041,13.22265625,14.802305698394775,19.876953125,1,0
generate,0.6,7,5,16,16,8912,8192,10.120075643993914,1.5810158503603395,809.4801153844938,0.007695906795561314,7.0459688398987055,0.5072174398228526,1.347439894452691,0.0,10.342846393585205,10.76953125,14.923174381256104,19.83984375,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0023040901869535446,,,0.0,0.0,0.0,0.0,0.0023040901869535446,7.176397800445557,7.236328125,12.9041109085083,19.79296875,0,0
generate,0.6,7,1,16,16,6116,8192,8.838802698999643,1.8101999269438207,926.8223625952362,0.0056173475459218025,5.977004628628492,0.3903780644759536,1.276307082735002,0.0,9.69020700454712,11.833984375,14.270483493804932,18.044921875,1,0
generate,0.6,7,2,16,16,6859,8192,9.515788313001394,1.6814161342932825,860.8850607581606,0.005681783892214298,6.498149410821497,0.44641897454857826,1.3562164716422558,0.0,10.004440784454346,12.654296875,14.584742069244385,19.1015625,1,0
generate,0.6,7,3,16,16,7482,8192,9.690034036524594,1.6511809906643553,845.4046672201499,0.006469673477113247,6.633517815731466,0.4619221333414316,1.387694938108325,0.0,10.101128101348877,12.90625,14.681437015533447,19.4375,1,0
generate,0.6,7,4,16,16,8081,8192,9.758726675063372,1.6395581649893989,839.4537804745722,0.006676384247839451,6.782966743223369,0.4748186245560646,1.2984193079173565,0.0,10.197815418243408,13.158203125,14.77813196182251,19.7890625,1,0
generate,0.6,7,5,16,16,8669,8192,10.002308585681021,1.5996307115444406,819.0109243107536,0.006303096190094948,6.993755406700075,0.5059790909290314,1.2879630019888282,0.0,10.333323001861572,10.732421875,14.913649082183838,19.755859375,1,0
