phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,16,16,3721,8192,8.592081946320832,1.862179632359218,953.4359717679196,0.010712960734963417,5.887790342792869,0.24915602710098028,1.2558171302080154,0.0,8.820021152496338,9.51171875,13.40022897720337,15.04296875,1,0
generate,0.6,7,2,16,16,4299,8192,8.142035188153386,1.9651106425184586,1006.1366489694508,0.004898197017610073,4.900890125893056,0.25954525265842676,1.496622079052031,0.0,8.892536640167236,9.705078125,13.472750186920166,15.291015625,1,0
generate,0.6,7,3,16,16,4883,8192,7.823320087976754,2.045167501786045,1047.125760914455,0.004580629989504814,4.992982531897724,0.26840555015951395,1.392564901150763,0.0,8.989223957061768,9.939453125,13.569445133209229,15.626953125,1,0
generate,0.6,7,4,16,16,5468,8192,8.06746833678335,1.9832739754364501,1015.4362754234625,0.005996545776724815,5.228759634308517,0.3029895145446062,1.3676404794678092,0.0,9.158426761627197,10.40234375,13.738661289215088,16.2109375,1,0
generate,0.6,7,5,16,16,5956,8192,8.01324465777725,1.9966943083999324,1022.3074859007654,0.0067729828879237175,5.417000115849078,0.3190985815599561,1.0826915577054024,0.0,9.255114078521729,10.60546875,13.83535623550415,16.54296875,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.004127560183405876,,,0.0,0.0,0.0,0.0,0.004127560183405876,7.176397800445557,7.1796875,11.81973123550415,16.28125,0,0
generate,0.6,7,1,16,16,3921,8192,7.233936348930001,2.2117971776689216,1132.4401549664879,0.004554991610348225,4.773121178150177,0.2377670630812645,1.063131358474493,0.0,8.771677494049072,9.38671875,13.351881504058838,14.87890625,1,0
generate,0.6,7,2,16,16,4519,8192,7.322865264490247,2.184937100725665,1118.6877955715404,0.006016666069626808,4.936200752854347,0.2622796297073364,0.9598725317046046,0.0,8.940880298614502,9.830078125,13.521097660064697,15.455078125,1,0
generate,0.6,7,3,16,16,5126,8192,7.595164176076651,2.1066035742054154,1078.5810299931727,0.005758779123425484,5.11724750418216,0.2885540034621954,1.0255846716463566,0.0,9.085911273956299,10.19140625,13.666140079498291,15.951171875,1,0
generate,0.6,7,4,16,16,5689,8192,7.819671170786023,2.0461218445828457,1047.614384426417,0.005777798593044281,5.275064378976822,0.30718067195266485,1.0439301133155823,0.0,9.18259859085083,10.466796875,13.762835025787354,16.298828125,1,0
