phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,128,128,33784,13080,9.165181784890592,13.965898659098771,1427.1402692266556,0.03155784960836172,3.940870395861566,0.3316423064097762,1.4591722125187516,0.0,3.6354622840881348,4.5859375,18.9593243598938,22.123046875,1,0
generate,0.6,7,2,128,128,39641,12107,8.21935862582177,15.572991254801538,1472.985977514705,0.030303962528705597,3.1715981643646955,0.36039120331406593,1.2982352627441287,0.0,3.8438210487365723,4.751953125,19.05993890762329,22.154296875,1,0
generate,0.6,7,3,128,128,45552,11095,6.2694669887423515,20.416408640453927,1769.687920826846,0.03520951606333256,2.2679257970303297,0.36457801051437855,1.142422747798264,0.0,3.9507699012756348,5.228515625,13.51507043838501,17.130859375,1,0
generate,0.6,7,4,128,128,51152,11212,8.035117066465318,15.930072821740199,1395.3748162293055,0.036475980654358864,3.3675480550155044,0.4459415264427662,1.0815989645197988,0.0,4.543711185455322,5.50390625,18.346657276153564,22.91015625,1,0
generate,0.6,7,5,128,128,56679,11259,6.740699439309537,18.989127337965286,1670.3014429543057,0.045985705219209194,2.8233542945235968,0.4583631223067641,0.9612408112734556,0.0,4.688013553619385,6.306640625,15.340101718902588,19.93359375,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.025979983620345592,,,0.0,0.0,0.0,0.0,0.025979983620345592,0.9591469764709473,1.123046875,24.501488208770752,32.517578125,0,0
generate,0.6,7,1,128,128,34477,14769,10.816068267449737,11.83424483231192,1365.4684525657403,0.025978117249906063,4.4011320397257805,0.40333033446222544,1.456081936135888,0.0,4.137552738189697,5.572265625,25.33064317703247,29.14453125,1,0
generate,0.6,7,2,128,128,40493,12282,10.956358662806451,11.682713567466678,1120.9928752783262,0.03264258336275816,4.848493649624288,0.4624475007876754,1.140394820831716,0.0,4.639750003814697,6.10546875,25.615856647491455,29.908203125,1,0
generate,0.6,7,3,128,128,46834,11497,12.594610817730427,10.163077037664737,912.850755484621,0.03701308649033308,6.0965217910707,0.6257120883092284,1.0631258692592382,0.0,5.815073490142822,6.88671875,28.094791889190674,34.0390625,1,0
generate,0.6,7,4,128,128,52744,10897,7.716525957919657,16.587775470207614,1412.163978897284,0.051510246470570564,3.6423320174217224,0.6922265188768506,0.8536651423200965,0.0,6.397608280181885,8.9453125,17.050306797027588,24.259765625,1,0
generate,0.6,7,5,128,128,58118,11014,17.579955358989537,7.2810196263978,626.5089856651982,0.05619253683835268,8.973764512687922,0.8321615261957049,1.062387672252953,0.0,7.326914310455322,8.794921875,34.280848026275635,42.4296875,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.033982839435338974,,,0.0,0.0,0.0,0.0,0.033982839435338974,0.9591469764709473,1.125,11.293192386627197,20.11328125,0,0
generate,0.6,7,1,128,128,33969,14388,9.744966926053166,13.134985574737255,1476.4544722603098,0.029678767547011375,3.901898100040853,0.36261158902198076,1.048313937149942,0.0,3.8651375770568848,4.9765625,22.123987674713135,25.4140625,1,0
generate,0.6,7,2,128,128,40100,12645,8.153787642717361,15.698225856338619,1550.813015260952,0.033444385044276714,3.223992232233286,0.4013872845098376,0.9555686255916953,0.0,4.175074100494385,5.326171875,18.303724765777588,21.939453125,1,0
generate,0.6,7,3,128,128,46571,11612,7.485542472451925,17.09962911453136,1551.2569787338919,0.03651641309261322,3.2874057572335005,0.472426968626678,0.7461725221946836,0.0,4.762766361236572,6.287109375,17.805628299713135,22.341796875,1,0
generate,0.6,7,4,128,128,52394,12052,14.728147300891578,8.690841922272968,818.2970847440142,0.04813063982874155,7.120456974953413,0.6490195402875543,0.9724266342818737,0.0,5.953928470611572,6.94921875,31.059868335723877,37.05078125,1,0
generate,0.6,7,5,128,128,58346,11870,10.989344746805727,11.647646238162267,1080.137194117079,0.046769652515649796,5.398262344300747,0.6789398035034537,0.8619541777297854,0.0,6.194468021392822,7.638671875,24.01933526992798,30.95703125,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.031032744795084,,,0.0,0.0,0.0,0.0,0.031032744795084,0.9591469764709473,1.125,13.44218111038208,21.005859375,0,0
generate,0.6,7,1,128,128,34231,13760,9.382656089030206,13.64219244374224,1466.535687702291,0.02602623961865902,3.445021259598434,0.3446571175009012,1.0504273856058717,0.0,3.7209267616271973,4.837890625,19.914265155792236,23.099609375,1,0
generate,0.6,7,2,128,128,40350,12215,7.028925267979503,18.210465344269366,1737.8190170332055,0.033887939527630806,2.639370040036738,0.3607947342097759,0.964470244012773,0.0,3.8759407997131348,4.685546875,15.39651346206665,18.4765625,1,0
generate,0.6,7,3,128,128,46608,11597,9.79503127746284,13.067850053170552,1183.96763333296,0.03855185117572546,4.012117615900934,0.4447927065193653,0.8954423945397139,0.0,4.484888553619385,5.279296875,21.43988275527954,25.7265625,1,0
generate,0.6,7,4,128,128,52167,11165,6.390031928196549,20.031198816893124,1747.2526155516541,0.041628667153418064,2.5402293214574456,0.40771678648889065,0.8123729340732098,0.0,4.271311283111572,5.697265625,14.271151065826416,18.310546875,1,0
generate,0.6,7,5,128,128,57648,11274,11.432809475809336,11.195848253295484,986.1093219347912,0.04604787286370993,4.811330816708505,0.5139128994196653,0.9264982873573899,0.0,5.00841760635376,6.345703125,23.91898202896118,28.408203125,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.032221538946032524,,,0.0,0.0,0.0,0.0,0.032221538946032524,0.9591469764709473,1.123046875,28.961618900299072,37.09765625,0,0
generate,0.6,7,1,128,128,33486,13291,8.61216803546995,14.862691888130964,1543.281545977724,0.030705786310136318,3.3957128152251244,0.3283819379284978,0.9865403100848198,0.0,3.6033883094787598,4.169921875,20.014793872833252,23.27734375,1,0
generate,0.6,7,2,128,128,39292,11982,9.065445182844996,14.119549279523627,1321.722183337907,0.032106513157486916,3.4278932632878423,0.36502110585570335,0.9822364486753941,0.0,3.8758645057678223,4.767578125,19.744093418121338,23.478515625,1,0
generate,0.6,7,3,128,128,45438,11003,9.608372495509684,13.32171500010212,1145.1471105165908,0.03654334507882595,3.829375977627933,0.4071372328326106,0.9129443718120456,0.0,4.249826908111572,5.306640625,20.769312381744385,24.353515625,1,0
generate,0.6,7,4,128,128,50780,10569,5.35057570412755,23.922659369394218,1975.3014599619335,0.04206002224236727,2.1799068739637733,0.43240093253552914,0.7123738760128617,0.0,4.447641849517822,5.626953125,12.816715717315674,17.53515625,1,0
generate,0.6,7,5,128,128,56074,10676,5.664566737599671,22.596609048733583,1884.6984234709355,0.03982809092849493,2.3572746012359858,0.45091625954955816,0.6752637838944793,0.0,4.623941898345947,5.87109375,13.102423191070557,18.087890625,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.02533548604696989,,,0.0,0.0,0.0,0.0,0.02533548604696989,0.9591469764709473,1.123046875,25.483377933502197,33.1171875,0,0
generate,0.6,7,1,128,128,34656,14588,10.931619714945555,11.70915228829267,1334.4774498563552,0.03320964425802231,4.4109705509617925,0.39351471327245235,0.9643180817365646,0.0,4.06273889541626,5.10546875,26.34183168411255,29.6953125,1,0
generate,0.6,7,2,128,128,41018,13212,9.066000724211335,14.118684069610518,1457.3129213101106,0.029843434691429138,3.838511200621724,0.40096875187009573,0.8288947073742747,0.0,4.142954349517822,5.4453125,21.96708917617798,25.6875,1,0
generate,0.6,7,3,128,128,47390,11799,12.341954688541591,10.371128660749065,956.0073989701424,0.03587929159402847,5.8043830171227455,0.5470499433577061,0.9735500356182456,0.0,5.243418216705322,6.498046875,28.067213535308838,32.6484375,1,0
generate,0.6,7,4,128,128,53278,11699,11.674087321385741,10.964454563014705,1002.1340150992893,0.04105758294463158,5.702398337423801,0.5730458805337548,0.8188513061031699,0.0,5.48919153213501,6.931640625,27.225916385650635,32.203125,1,0
generate,0.6,7,5,128,128,59149,10988,7.0045845583081245,18.273746135048,1568.686894780527,0.04503523651510477,3.222380650229752,0.6243677977472544,0.7881844192743301,0.0,5.863367557525635,7.54296875,16.080755710601807,22.982421875,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.02136189490556717,,,0.0,0.0,0.0,0.0,0.02136189490556717,0.9591469764709473,1.125,14.20568323135376,23.880859375,0,0
generate,0.6,7,1,128,128,34147,13467,8.444874126464128,15.157123490909111,1594.6951722818203,0.025608415715396404,3.349616483785212,0.34375660866498947,0.8647896964102983,0.0,3.7048897743225098,4.787109375,20.441526889801025,23.580078125,1,0
generate,0.6,7,2,128,128,40286,11566,6.8292309027165174,18.742959759800247,1693.6021295457003,0.03285843878984451,2.7692832071334124,0.3658589953556657,0.7439879085868597,0.0,3.9186654090881348,4.701171875,16.309065341949463,19.38671875,1,0
generate,0.6,7,3,128,128,46085,11700,7.685891909524798,16.653890206467132,1522.2696516848862,0.03318442590534687,3.2800158197060227,0.41198023967444897,0.7503818916156888,0.0,4.28191614151001,5.103515625,18.84615182876587,22.974609375,1,0
generate,0.6,7,4,128,128,51956,11459,13.299239844083786,9.624610240933526,861.6281933660725,0.03904810454696417,6.347614662721753,0.553852740675211,0.8293766472488642,0.0,5.25939416885376,6.63671875,31.017216205596924,35.9453125,1,0
generate,0.6,7,5,128,128,57587,11301,8.631982459686697,14.828575080844852,1309.2009920986536,0.04709871578961611,4.068541864864528,0.5582075109705329,0.7345513459295034,0.0,5.39849328994751,6.67578125,20.071953296661377,25.859375,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.017446664161980152,,,0.0,0.0,0.0,0.0,0.017446664161980152,0.9591469764709473,1.125,16.681557178497314,25.150390625,0,0
generate,0.6,7,1,104,104,27537,11367,5.86142394784838,17.743128790091436,1939.2898553554749,0.020308070816099644,2.3093127692118287,0.23773987405002117,0.7502624960616231,0.0,2.9123034477233887,3.5625,13.68538236618042,16.18359375,1,0
generate,0.6,7,2,104,104,32529,9754,6.1822848888114095,16.82225938636658,1577.7338274482656,0.023622984066605568,2.428078493103385,0.2870694901794195,0.6158469980582595,0.0,3.2335171699523926,4.041015625,14.183929920196533,16.703125,1,0
generate,0.6,7,3,104,104,37291,9146,5.960137761197984,17.449261102162186,1534.528288849763,0.0272227730602026,2.44855338614434,0.3296825625002384,0.6913563553243876,0.0,3.602499485015869,4.373046875,13.581959247589111,16.3984375,1,0
generate,0.6,7,4,104,104,41860,9202,5.8536414401605725,17.76671855684197,1572.0129246159597,0.03148625511676073,2.603908001445234,0.3912367383018136,0.5932784639298916,0.0,4.08866548538208,5.056640625,14.068298816680908,18.18359375,1,0
generate,0.6,7,5,104,104,46368,9026,6.588434717617929,15.785236472313647,1369.9763884529134,0.03467109240591526,3.0860862834379077,0.4626847868785262,0.629001772031188,0.0,4.600866794586182,6.173828125,15.110470294952393,19.583984375,1,0
hidden_state_write,0.6,7,0,104,104,0,0,0.01598186045885086,,,0.0,0.0,0.0,0.0,0.01598186045885086,0.9591469764709473,1.123046875,8.253330707550049,14.091796875,0,0
