phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,128,128,53321,16900,20.796324062161148,6.154933901655035,812.6436167028913,0.060225266963243484,11.559258631430566,1.0289098042994738,2.2039283821359277,0.0,8.651834964752197,10.82421875,36.4754433631897,44.97265625,1,0
generate,0.6,7,2,128,128,59169,18246,20.415622716769576,6.269708339332684,893.7273309333137,0.06546703446656466,11.325860832817852,1.1311642695218325,1.9191448567435145,0.0,9.293741703033447,12.205078125,37.11735010147095,47.525390625,1,0
generate,0.6,7,3,128,128,67052,14745,19.223366387188435,6.65856319969569,767.035268589945,0.07542939856648445,10.832122839055955,1.336245127953589,1.714615248143673,0.0,10.415262699127197,14.470703125,34.109373569488525,46.828125,1,0
generate,0.6,7,4,128,128,74541,15373,21.99355756212026,5.819886102485565,698.9774144805515,0.08100348245352507,12.856033927761018,1.3489287868142128,1.6090086344629526,0.0,10.703653812408447,13.2890625,38.52820825576782,52.103515625,1,0
generate,0.6,7,5,128,128,81978,14297,15.50343888066709,8.256232761340259,922.1824983506383,0.09297219570726156,8.625333580188453,1.431314280256629,1.4450707091018558,0.0,10.970682621002197,14.2578125,27.709913730621338,42.5,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.028543745167553425,,,0.0,0.0,0.0,0.0,0.028543745167553425,0.9591469764709473,1.005859375,27.576504230499268,47.279296875,0,0
generate,0.6,7,1,128,128,55768,16232,31.012235092930496,4.127403252827098,523.4063249991364,0.08386668097227812,20.873250937089324,2.7419561920687556,1.10558888502419,0.0,18.226480960845947,24.568359375,46.05338525772095,67.888671875,1,0
generate,0.6,7,2,128,128,61846,17903,31.14559997804463,4.109729788163678,574.8163468554244,0.08489544130861759,20.95736561436206,2.757379778660834,1.1235744580626488,0.0,18.311930179595947,20.947265625,46.13883447647095,68.1171875,1,0
generate,0.6,7,3,128,128,70305,15395,26.490544048137963,4.831912842839375,581.150767308689,0.11773971375077963,16.663648174144328,2.9253226071596146,1.1557395160198212,0.0,18.402719974517822,21.48046875,39.38410425186157,61.98828125,1,0
generate,0.6,7,4,128,128,77747,15792,32.43727632705122,3.9460773065355608,486.84728769382485,0.12845479417592287,21.88515531271696,2.9471338419243693,1.2127668298780918,0.0,19.123697757720947,25.759765625,46.95060205459595,68.560546875,1,0
