phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,128,128,33148,18369,14.770199632272124,8.666098169744883,1243.6527912503418,0.02846419718116522,6.427471405826509,0.39854154270142317,2.013766405172646,0.0,4.035929203033447,4.8515625,31.857340335845947,35.0859375,1,0
generate,0.6,7,2,128,128,40140,14653,8.990695440210402,14.236940940911744,1629.796059431092,0.03272383380681276,3.547092730179429,0.43149183597415686,1.529882381670177,0.0,4.329981327056885,5.10546875,19.871437549591064,24.013671875,1,0
generate,0.6,7,3,128,128,47250,11622,8.719022014178336,14.680545569429036,1332.947660999252,0.0369238518178463,3.6586100552231073,0.46633354015648365,1.2419157102704048,0.0,4.682596683502197,5.634765625,19.572597980499268,24.267578125,1,0
generate,0.6,7,4,128,128,53236,12021,15.432170134969056,8.294361640684222,778.9571975208206,0.039834230206906796,7.5621689055114985,0.6410570666193962,1.259038613177836,0.0,5.95922327041626,7.89453125,33.78132104873657,39.630859375,1,0
generate,0.6,7,5,128,128,59211,11257,15.989092037081718,8.00545770223499,704.0424793285882,0.04630439728498459,8.238102596253157,0.7367419544607401,1.0414184778928757,0.0,6.685801029205322,7.8359375,34.50838804244995,41.60546875,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.022456519305706024,,,0.0,0.0,0.0,0.0,0.022456519305706024,0.9591469764709473,1.107421875,20.301950931549072,28.123046875,0,0
generate,0.6,7,1,128,128,33548,16623,13.060608399100602,9.800462282355431,1272.7584728093307,0.025512087158858776,5.4873176375404,0.40305202081799507,1.2704324275255203,0.0,4.121408939361572,5.1640625,31.942850589752197,35.3046875,1,0
generate,0.6,7,2,128,128,40369,14566,12.61384954303503,10.147576246513703,1154.762465677489,0.0314962062984705,5.422402684576809,0.4896707171574235,0.8868501828983426,0.0,4.773264408111572,5.95703125,28.46536111831665,32.78515625,1,0
generate,0.6,7,3,128,128,47132,10952,12.855705922469497,9.956668328596306,851.9174338655215,0.03827634733170271,6.513552851974964,0.6474553300067782,0.6484791832044721,0.0,5.969980716705322,7.552734375,29.66250467300415,35.205078125,1,0
generate,0.6,7,4,128,128,52768,11123,8.810982207767665,14.527324761495558,1262.401822829024,0.04380708746612072,4.402705333195627,0.7298447024077177,0.6054453616961837,0.0,6.61126184463501,8.423828125,19.871946811676025,27.751953125,1,0
generate,0.6,7,5,128,128,58158,10414,8.62478186096996,14.840955059888884,1207.4508280756472,0.04906977713108063,4.324672734364867,0.735742911696434,0.5976435290649533,0.0,6.675379276275635,8.541015625,19.503015995025635,27.51953125,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.024621611461043358,,,0.0,0.0,0.0,0.0,0.024621611461043358,0.9591469764709473,1.107421875,13.472002506256104,22.06640625,0,0
generate,0.6,7,1,128,128,33034,16203,12.863402349874377,9.950711057502609,1259.620088005584,0.02437957003712654,5.509344784542918,0.38654145784676075,1.0590279707685113,0.0,4.035929203033447,4.98828125,31.857340335845947,35.04296875,1,0
generate,0.6,7,2,128,128,39392,14857,14.118398164398968,9.066184315637557,1052.31484669865,0.032058567740023136,6.694925826974213,0.5500319441780448,0.9896829854696989,0.0,5.27538537979126,6.548828125,33.09723901748657,37.919921875,1,0
generate,0.6,7,3,128,128,46942,11479,15.682217108085752,8.162111206457102,731.975582335321,0.03972321469336748,8.26453854702413,0.745544072240591,0.6894194725900888,0.0,6.728540897369385,7.900390625,34.55112028121948,41.71875,1,0
generate,0.6,7,4,128,128,53040,10703,14.095510692335665,9.080905459466544,759.3197744739878,0.04821836203336716,7.784518861211836,0.9331688610836864,0.6366646280512214,0.0,7.887964725494385,10.896484375,29.735010623931885,38.412109375,1,0
generate,0.6,7,5,128,128,58727,10693,12.44834444951266,10.282491822035906,858.9897269767964,0.06497323699295521,6.5941216899082065,0.9028629353269935,0.832690074108541,0.0,7.78118371963501,10.958984375,25.715540409088135,34.513671875,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.023853017017245293,,,0.0,0.0,0.0,0.0,0.023853017017245293,0.9591469764709473,1.10546875,16.555140018463135,27.740234375,0,0
generate,0.6,7,1,128,128,33286,15909,12.147418131120503,10.53721857750796,1309.661018356048,0.035034192726016045,5.299193593673408,0.4107809355482459,1.0530048245564103,0.0,4.174875736236572,4.9609375,29.605711460113525,32.939453125,1,0
generate,0.6,7,2,128,128,39570,15765,13.278033826500177,9.639981466573671,1187.2992798479213,0.029382451437413692,6.0719883013516665,0.4758725594729185,1.019298898987472,0.0,4.719767093658447,5.6875,32.54142236709595,36.521484375,1,0
generate,0.6,7,3,128,128,46737,11376,11.089103105477989,11.542863185821433,1025.8719656398798,0.035405377857387066,5.044268778525293,0.526471714489162,0.7867712210863829,0.0,5.07250452041626,6.35546875,25.287718296051025,29.78125,1,0
generate,0.6,7,4,128,128,52608,11651,10.79154612775892,11.86113634549063,1079.6414028227448,0.04048420209437609,5.248073616065085,0.6212941603735089,0.8248097104951739,0.0,5.799112796783447,7.02734375,24.275450229644775,30.416015625,1,0
generate,0.6,7,5,128,128,58253,11325,12.846609057858586,9.963718785518678,881.5555878593674,0.05028032977133989,6.549588936381042,0.6641670987010002,0.7397502306848764,0.0,6.130274295806885,7.306640625,28.737589359283447,35.138671875,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.021545584313571453,,,0.0,0.0,0.0,0.0,0.021545584313571453,0.9591469764709473,1.107421875,20.943045139312744,28.189453125,0,0
generate,0.6,7,1,128,128,32998,16652,13.028082601726055,9.824930030996399,1278.1619912199376,0.024764026515185833,5.548847488127649,0.4119961727410555,1.173640831373632,0.0,4.206888675689697,5.046875,32.02836084365845,35.263671875,1,0
generate,0.6,7,2,128,128,39717,15322,13.630274876952171,9.390859770292595,1124.115260940806,0.031860070303082466,6.582922548055649,0.5680092023685575,1.0193583220243454,0.0,5.392954349517822,7.505859375,31.258734226226807,36.794921875,1,0
generate,0.6,7,3,128,128,46652,11769,9.242293983697891,13.849375514972152,1273.385159653963,0.03656915947794914,4.359249144792557,0.549748420715332,0.8092659953981638,0.0,5.296961307525635,6.93359375,21.38249444961548,26.46875,1,0
generate,0.6,7,4,128,128,52374,11222,12.455028030090034,10.276974061460601,901.0015852946161,0.04504374321550131,6.246617903932929,0.6369329057633877,0.7285977015271783,0.0,5.879175662994385,7.462890625,28.59440279006958,34.0703125,1,0
generate,0.6,7,5,128,128,58077,10337,8.621719877235591,14.84622579051374,1198.948718722973,0.04364058654755354,4.089127896353602,0.5975141376256943,0.7695053648203611,0.0,5.676310062408447,7.06640625,19.91487169265747,26.1328125,1,0
hidden_state_write,0.6,7,0,128,128,0,0,0.017808744683861732,,,0.0,0.0,0.0,0.0,0.017808744683861732,0.9591469764709473,1.107421875,13.536573886871338,20.470703125,0,0
generate,0.6,7,1,128,128,33108,18744,13.067957597784698,9.794950667860965,1434.34808842489,0.02840503491461277,5.714630275033414,0.4163614371791482,1.0736855380237103,0.0,4.24962854385376,4.966796875,32.07111597061157,35.373046875,1,0
generate,0.6,7,2,128,128,39688,14662,13.261492979712784,9.652005260328705,1105.6070400542148,0.029371541924774647,6.026536627672613,0.45960259065032005,0.9188702497631311,0.0,4.59154748916626,5.494140625,32.41315698623657,36.22265625,1,0
