phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,16,16,4145,1156,4.4024334121495485,3.634353663554398,262.58205219180525,0.011640782468020916,3.3912773123010993,0.5281818667426705,0.06924091931432486,0.0,30.414270877838135,31.345703125,31.026495456695557,32.8046875,1,0
generate,0.6,7,2,16,16,4639,1205,3.600950913503766,4.4432707871687755,334.63383115864843,0.003558550961315632,2.5170281110331416,0.5921591781079769,0.08389949705451727,0.0,30.616150379180908,31.62109375,31.269320011138916,33.138671875,1,0
generate,0.6,7,3,16,16,5216,1191,3.7586462888866663,4.256851741359067,316.86940149741554,0.00528375431895256,2.6742514353245497,0.6380272759124637,0.05209925305098295,0.0,30.975048542022705,32.298828125,31.62822961807251,33.763671875,1,0
generate,0.6,7,4,16,16,5791,1171,3.8033119570463896,4.2068597529468565,307.88954816879806,0.0040028877556324005,2.6249591037631035,0.7216900270432234,0.05729425232857466,0.0,31.311516284942627,32.7421875,31.98882007598877,34.4375,1,0
generate,0.6,7,5,16,16,6367,1151,3.853631571866572,4.151927785937805,298.6793051009009,0.0046074772253632545,2.619277872145176,0.7929631760343909,0.054454490542411804,0.0,31.59564447402954,33.166015625,32.326311111450195,34.724609375,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0037808334454894066,,,0.0,0.0,0.0,0.0,0.0037808334454894066,27.685160160064697,27.751953125,29.984970569610596,33.5703125,0,0
generate,0.6,7,1,16,16,4125,1180,3.6120778834447265,4.4295833357671945,326.6817710128306,0.003985182382166386,2.6370053654536605,0.5083946902304888,0.05601865239441395,0.0,30.31706666946411,31.27734375,31.078869342803955,32.669921875,1,0
generate,0.6,7,2,16,16,4647,1257,3.9135986985638738,4.088308800253671,321.18776011992907,0.003440912812948227,2.8517779130488634,0.5935642151162028,0.05262931529432535,0.0,30.631102085113525,31.7109375,31.4205641746521,33.208984375,1,0
generate,0.6,7,3,16,16,5245,1194,3.741911885328591,4.275889034889709,319.08821922864456,0.005396693013608456,2.674944968894124,0.6316314907744527,0.046221510507166386,0.0,30.87036943435669,32.080078125,31.55025053024292,33.548828125,1,0
generate,0.6,7,4,16,16,5827,1147,3.956570377573371,4.043906331273971,289.8975351232028,0.0037074945867061615,2.8292131777852774,0.6905404468998313,0.04495066776871681,0.0,31.117111682891846,32.498046875,31.81123685836792,34.03515625,1,0
generate,0.6,7,5,16,16,6384,1138,3.651670808903873,4.381555960900743,311.6381677190653,0.004247525706887245,2.5087087666615844,0.7261670008301735,0.04662156943231821,0.0,31.348902225494385,32.830078125,32.03322458267212,34.30078125,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.002508338540792465,,,0.0,0.0,0.0,0.0,0.002508338540792465,27.685160160064697,27.751953125,29.833572387695312,33.234375,0,0
generate,0.6,7,1,16,16,4158,1213,3.466430745087564,4.615698733538619,349.92766023639655,0.0035775676369667053,2.5600466653704643,0.5056681195273995,0.04537752736359835,0.0,30.294636249542236,31.25,31.01542329788208,32.595703125,1,0
generate,0.6,7,2,16,16,4687,1258,3.4926406145095825,4.581061084135229,360.18592774013234,0.0034436173737049103,2.5498597770929337,0.5320817772299051,0.04703386593610048,0.0,30.459131717681885,31.51953125,31.153235912322998,32.876953125,1,0
generate,0.6,7,3,16,16,5292,1224,3.8397546699270606,4.16693288384071,318.7703656138143,0.0037283236160874367,2.720248205587268,0.6116707511246204,0.05790505837649107,0.0,30.765690326690674,31.912109375,31.473430156707764,33.380859375,1,0
generate,0.6,7,4,16,16,5879,1179,3.534052211791277,4.527380763254261,333.61136999229836,0.0039018960669636726,2.440195458009839,0.6853097165003419,0.04528125002980232,0.0,31.057297229766846,32.46875,31.686891555786133,33.890625,1,0
generate,0.6,7,5,16,16,6432,1155,4.0711860451847315,3.93005866654615,283.7011099913002,0.005483884364366531,2.8873266531154513,0.7272797608748078,0.046326080337166786,0.0,31.356377124786377,32.76953125,32.05050992965698,34.5546875,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0024994052946567535,,,0.0,0.0,0.0,0.0,0.0024994052946567535,27.685160160064697,27.751953125,29.795742988586426,33.45703125,0,0
generate,0.6,7,1,16,16,4247,1155,3.4993889117613435,4.5722268668750905,330.0576269525456,0.010401686653494835,2.497934619896114,0.6059808861464262,0.04522236902266741,0.0,30.72830629348755,31.884765625,31.367395877838135,33.28125,1,0
generate,0.6,7,2,16,16,4765,1208,3.6142038721591234,4.426977715134152,334.23681749262846,0.0037182699888944626,2.549563279375434,0.633448994718492,0.042485473677515984,0.0,30.901072025299072,32.15234375,31.527090549468994,33.5703125,1,0
generate,0.6,7,3,16,16,5351,1183,3.8235585251823068,4.184583522031253,309.39764416018573,0.004279753193259239,2.689073486253619,0.6963778538629413,0.04554488230496645,0.0,31.20683717727661,32.591796875,31.86449146270752,34.3046875,1,0
generate,0.6,7,4,16,16,5926,1162,3.8718290021643043,4.132413903366135,300.11655973196554,0.004307064227759838,2.6905844090506434,0.7468091957271099,0.04410762991756201,0.0,31.438625812530518,32.966796875,32.140437602996826,34.5,1,0
generate,0.6,7,5,16,16,6485,1142,4.085749288089573,3.9160503672219513,279.5080949604668,0.00424965750426054,2.836438468657434,0.8106555081903934,0.04561388399451971,0.0,31.685368061065674,33.25390625,32.433764934539795,34.873046875,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0024799099192023277,,,0.0,0.0,0.0,0.0,0.0024799099192023277,27.685160160064697,27.751953125,30.023602962493896,33.62109375,0,0
generate,0.6,7,1,16,16,4251,1176,3.5107232788577676,4.557465436354666,334.97370957206795,0.004410699941217899,2.536165992729366,0.5643105776980519,0.045975467190146446,0.0,30.518948078155518,31.474609375,31.213054180145264,33.001953125,1,0
generate,0.6,7,2,16,16,4775,1168,3.675541394390166,4.353100205705796,317.77631501652314,0.003675345331430435,2.609785315580666,0.6254259292036295,0.04475757572799921,0.0,30.80307626724243,31.869140625,31.46995496749878,33.474609375,1,0
generate,0.6,7,3,16,16,5329,1175,3.591438210569322,4.455039753409442,327.1669818910059,0.004420073702931404,2.487849023193121,0.6896393857896328,0.042903206311166286,0.0,31.11711359024048,32.458984375,31.75898313522339,34.083984375,1,0
generate,0.6,7,4,16,16,5882,1141,3.7655208446085453,4.249080183132892,303.01253055966436,0.004561826586723328,2.595272498205304,0.7450818447396159,0.043026942759752274,0.0,31.416195392608643,32.966796875,32.11315393447876,34.263671875,1,0
generate,0.6,7,5,16,16,6425,1107,3.7521540401503444,4.264217254619669,295.0305313039983,0.004736108705401421,2.5227331975474954,0.8096848502755165,0.041377932764589787,0.0,31.69284677505493,33.376953125,32.4417781829834,34.716796875,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.002363584004342556,,,0.0,0.0,0.0,0.0,0.002363584004342556,27.685160160064697,27.751953125,30.06687593460083,34.78125,0,0
generate,0.6,7,1,16,16,4293,1243,3.4598087798804045,4.624533035768836,359.26841021629144,0.004412823356688023,2.4852244378998876,0.5639469949528575,0.04785181209445,0.0,30.511471271514893,31.474609375,31.191340923309326,32.990234375,1,0
generate,0.6,7,2,16,16,4836,1229,3.9771610405296087,4.022970112839434,309.014391792479,0.0036744335666298866,2.915182732976973,0.629728845320642,0.04497968498617411,0.0,30.855413913726807,31.923828125,31.617233753204346,33.638671875,1,0
generate,0.6,7,3,16,16,5446,1195,3.721565176732838,4.299266367826023,321.1014568470061,0.0038806824013590813,2.60578943323344,0.6982697686180472,0.04525553807616234,0.0,31.07972764968872,32.46875,31.714903354644775,33.931640625,1,0
generate,0.6,7,4,16,16,6022,1122,3.6261147568002343,4.412436194964431,309.4220881718807,0.004370979033410549,2.4724939642474055,0.7263436205685139,0.0409600418061018,0.0,31.348902225494385,32.830078125,32.03322458267212,34.30078125,1,0
generate,0.6,7,5,16,16,6561,1124,3.965788601897657,4.034506527237456,283.42408353843126,0.0046373400837183,2.6734500657767057,0.8102033734321594,0.04784919507801533,0.0,31.655460834503174,33.25390625,32.39736747741699,34.8359375,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0019444338977336884,,,0.0,0.0,0.0,0.0,0.0019444338977336884,27.685160160064697,27.751953125,30.023602962493896,33.638671875,0,0
generate,0.6,7,1,16,16,4377,1231,3.270290633663535,4.892531518544589,376.41914370802425,0.004406453110277653,2.344713607802987,0.5276559004560113,0.0448646480217576,0.0,30.42174768447876,31.490234375,31.04775094985962,32.7734375,1,0
generate,0.6,7,2,16,16,4908,1196,3.3474203627556562,4.779800044840653,357.2900533518388,0.003966911695897579,2.354695823043585,0.5951523119583726,0.05250375811010599,0.0,30.64605951309204,31.796875,31.244359493255615,33.1328125,1,0
generate,0.6,7,3,16,16,5475,1222,3.723563333041966,4.29695927500951,328.1802646288513,0.003917337395250797,2.663213917054236,0.6390320789068937,0.044455802999436855,0.0,30.975048542022705,32.298828125,31.62822961807251,33.763671875,1,0
generate,0.6,7,4,16,16,6062,1154,3.720446185208857,4.300559449995592,310.1778503309321,0.004781345836818218,2.564145944081247,0.7174589652568102,0.04212155286222696,0.0,31.24422311782837,32.7265625,31.908893585205078,34.208984375,1,0
generate,0.6,7,5,16,16,6617,1108,3.84415337536484,4.162164835184672,288.2299148365385,0.0040230462327599525,2.646855561994016,0.7519978797063231,0.07198415230959654,0.0,31.4834885597229,32.998046875,32.193084716796875,34.53515625,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0029526958242058754,,,0.0,0.0,0.0,0.0,0.0029526958242058754,27.685160160064697,27.751953125,29.912594318389893,33.365234375,0,0
generate,0.6,7,1,16,16,4188,1163,3.4984044255688787,4.573513537503094,332.4372652572561,0.003992490470409393,2.573477962985635,0.527381332591176,0.04205253813415766,0.0,30.406792163848877,31.400390625,31.11452054977417,32.759765625,1,0
generate,0.6,7,2,16,16,4680,1204,3.6294101029634476,4.408429895242715,331.73434961701423,0.003794473595917225,2.6271481718868017,0.5936154052615166,0.04276106134057045,0.0,30.638580799102783,31.6484375,31.332690715789795,33.21484375,1,0
generate,0.6,7,3,16,16,5254,1151,3.553874841891229,4.502128159213802,323.87184445344286,0.0036482131108641624,2.5032520275563,0.6364849098026752,0.04485923517495394,0.0,30.84046220779419,32.080078125,31.46647882461548,33.4921875,1,0
generate,0.6,7,4,16,16,5819,1137,3.6362564424052835,4.400129708513198,312.68421741121915,0.005797111429274082,2.513269796036184,0.691533587872982,0.05446074344217777,0.0,31.124590396881104,32.486328125,31.766809463500977,34.134765625,1,0
generate,0.6,7,5,16,16,6371,1094,3.69075920432806,4.3351514185041395,296.41597824022057,0.003982976078987122,2.522789283655584,0.7452679593116045,0.04257796425372362,0.0,31.408718585968018,32.966796875,32.10427284240723,34.25390625,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0025028837844729424,,,0.0,0.0,0.0,0.0,0.0025028837844729424,27.685160160064697,27.751953125,29.86981725692749,33.3515625,0,0
generate,0.6,7,1,16,16,4301,1239,3.459018205292523,4.625589994154688,358.19412517235367,0.004097827710211277,2.5061633810400963,0.5317380810156465,0.04442352894693613,0.0,30.45165491104126,31.51953125,31.13152265548706,32.865234375,1,0
generate,0.6,7,2,16,16,4851,1238,3.5903268912807107,4.456418728572266,344.81539912327906,0.003364546224474907,2.564779502339661,0.6045200573280454,0.04326771106570959,0.0,30.69092035293579,31.82421875,31.370795726776123,33.248046875,1,0
generate,0.6,7,3,16,16,5441,1212,3.6047563310712576,4.438580178662211,336.2224485336625,0.0038735810667276382,2.541513489559293,0.637917086482048,0.041139351204037666,0.0,30.960094928741455,32.298828125,31.58611536026001,33.736328125,1,0
generate,0.6,7,4,16,16,6017,1202,3.8020287174731493,4.208279628838178,316.14700711646816,0.0045916298404335976,2.587782373651862,0.7181776259094477,0.04836517944931984,0.0,31.24422311782837,32.7265625,31.908893585205078,34.208984375,1,0
generate,0.6,7,5,16,16,6598,1161,3.7852729316800833,4.226907884525633,306.7150033708912,0.003944247029721737,2.624802365899086,0.7511665476486087,0.04184469114989042,0.0,31.476011753082275,32.970703125,32.18452453613281,34.490234375,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0025894930586218834,,,0.0,0.0,0.0,0.0,0.0025894930586218834,27.685160160064697,27.751953125,29.912594318389893,33.35546875,0,0
generate,0.6,7,1,16,16,4337,1195,3.414387546479702,4.686052705556609,349.98956144625924,0.00536991935223341,2.4697897201403975,0.5311048924922943,0.04330585617572069,0.0,30.444178104400635,31.490234375,31.111045360565186,32.814453125,1,0
generate,0.6,7,2,16,16,4856,1267,3.4824183331802487,4.594508318415703,363.82762746454347,0.003345998004078865,2.4507064623758197,0.5955756446346641,0.06194778811186552,0.0,30.668489933013916,31.82421875,31.30757761001587,33.20703125,1,0
generate,0.6,7,3,16,16,5455,1219,3.780525704845786,4.232215635907881,322.4419287607317,0.00506408978253603,2.7024517422541976,0.6561847720295191,0.043133084662258625,0.0,31.034864902496338,32.3359375,31.688047885894775,34.005859375,1,0
generate,0.6,7,4,16,16,6032,1166,4.0808796640485525,3.9207233040845773,285.72271078516354,0.004086310043931007,2.860128100030124,0.7279018489643931,0.11060418002307415,0.0,31.348900318145752,32.76953125,32.033222675323486,34.54296875,1,0
generate,0.6,7,5,16,16,6598,1183,4.107352964580059,3.8954528958131216,288.02004848418267,0.004055162891745567,2.8620072016492486,0.7959966193884611,0.04682845622301102,0.0,31.62555170059204,33.193359375,32.36183834075928,34.796875,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0027757612988352776,,,0.0,0.0,0.0,0.0,0.0027757612988352776,27.685160160064697,27.751953125,29.984970569610596,33.60546875,0,0
generate,0.6,7,1,16,16,4242,1300,3.8009203001856804,4.209506839493156,342.0224307088189,0.004612931981682777,2.814482819288969,0.5109614264219999,0.05492216721177101,0.0,30.339497089385986,31.27734375,31.142316341400146,32.7109375,1,0
generate,0.6,7,2,16,16,4807,1221,3.874583766795695,4.129475825794857,315.13062395597,0.003641531802713871,2.7925247764214873,0.5688391178846359,0.11919369176030159,0.0,30.556332111358643,31.501953125,31.318142414093018,33.103515625,1,0
generate,0.6,7,3,16,16,5391,1221,3.870004467666149,4.134362152209345,315.50351174047563,0.00418319646269083,2.7867474108934402,0.6278374819085002,0.04722487088292837,0.0,30.83298349380493,31.896484375,31.55378770828247,33.5625,1,0
