phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,13385,2877,16.59583775792271,1.9281943139461868,173.35672003822435,0.022900634445250034,11.444156622514129,3.904374144040048,0.332265917211771,0.0,46.39269542694092,53.7734375,49.916064739227295,60.705078125,1,0
generate,0.6,7,2,32,32,14656,3000,17.14729291945696,1.866183784828784,174.95472982769851,0.01966408919543028,11.863309030421078,4.104205450974405,0.21296918112784624,0.0,47.140395164489746,55.533203125,50.80592107772827,60.90234375,1,0
generate,0.6,7,3,32,32,16107,2819,16.42815051600337,1.9478759930296121,171.59570076095238,0.020283750258386135,11.150343082845211,4.204292778857052,0.18063874263316393,0.0,47.48434352874756,56.107421875,51.217302322387695,61.392578125,1,0
generate,0.6,7,4,32,32,17468,2611,17.303904490545392,1.8492936098603843,150.89080047954573,0.020700667053461075,11.853645622730255,4.3733968287706375,0.14244991075247526,0.0,48.36663341522217,57.2890625,52.265695571899414,62.8046875,1,0
generate,0.6,7,5,32,32,18705,2492,16.49998933635652,1.9393951927890243,151.03040063844526,0.020767249166965485,11.044978210702538,4.453391389921308,0.1397478012368083,0.0,48.71058177947998,57.869140625,52.67544984817505,62.17578125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004761446267366409,,,0.0,0.0,0.0,0.0,0.004761446267366409,27.685160636901855,28.37890625,40.59867572784424,62.625,0,0
generate,0.6,7,1,32,32,13708,2875,13.624889822676778,2.348642845297754,211.0108806322201,0.016756229102611542,9.15075717214495,3.4686022009700537,0.17559256684035063,0.0,44.523436546325684,51.23828125,47.689319133758545,55.484375,1,0
generate,0.6,7,2,32,32,14963,3037,14.564642218872905,2.197101687711512,208.51868204937068,0.01807371713221073,9.862285937182605,3.693348833359778,0.1696004904806614,0.0,45.30104732513428,52.455078125,48.615142822265625,57.25,1,0
generate,0.6,7,3,32,32,16383,2846,16.79619630612433,1.9051932602342811,169.44312558208637,0.01824194099754095,11.805514890700579,3.903916632756591,0.16830343008041382,0.0,46.24314785003662,53.447265625,49.73927593231201,59.7265625,1,0
generate,0.6,7,4,32,32,17744,2690,15.682845928706229,2.0404459844514884,171.52499056795327,0.018813317641615868,10.708367936313152,3.9662380535155535,0.15115367528051138,0.0,46.6469144821167,54.0625,50.21777868270874,60.216796875,1,0
