phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,16,16,4052,1145,6.890041834674776,2.3221919959148165,166.18186470765403,0.00908083375543356,5.267618057318032,1.1126040164381266,0.0896557429805398,0.0,64.61147356033325,65.296875,65.55321836471558,66.849609375,1,0
generate,0.6,7,2,16,16,4565,1223,6.053885817527771,2.6429305874377937,202.01900677727636,0.005191659554839134,4.375466159544885,1.224883102811873,0.046578288078308105,0.0,65.00821161270142,65.890625,66.05596590042114,67.53515625,1,0
generate,0.6,7,3,16,16,5151,1236,6.806323253549635,2.3507552321520544,181.59584168374622,0.005003307014703751,4.966270329430699,1.3727902509272099,0.04872077517211437,0.0,65.4545407295227,66.31640625,66.62108564376831,68.505859375,1,0
generate,0.6,7,4,16,16,5752,1203,6.589604717679322,2.428066733209873,182.56026750321735,0.005015104077756405,4.623999576084316,1.5137210171669722,0.046995257027447224,0.0,65.86119890213013,67.01171875,67.13530349731445,68.490234375,1,0
generate,0.6,7,5,16,16,6314,1205,7.007920521311462,2.283130916131703,171.94829712116888,0.005386101081967354,4.923533879220486,1.619468198157847,0.04745871387422085,0.0,66.19842576980591,67.2890625,67.56504344940186,69.29296875,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.003986118361353874,,,0.0,0.0,0.0,0.0,0.003986118361353874,61.06067895889282,61.126953125,64.36787939071655,69.099609375,0,0
generate,0.6,7,1,16,16,4248,1134,5.993773175403476,2.669437019348492,189.19634874632436,0.005431619472801685,4.457741742953658,1.0718037812039256,0.05496432725340128,0.0,64.50236940383911,65.212890625,65.41512107849121,66.728515625,1,0
generate,0.6,7,2,16,16,4796,1375,6.809015189297497,2.3498258639735474,201.93816018522674,0.0037097660824656487,5.123344544321299,1.2180013693869114,0.07140825036913157,0.0,64.88918733596802,65.560546875,65.90566492080688,67.25,1,0
generate,0.6,7,3,16,16,5470,1363,7.130206759087741,2.2439741988698074,191.15855206622172,0.004805940203368664,5.333114410750568,1.3395576169714332,0.060104360803961754,0.0,65.28592538833618,66.060546875,66.40862846374512,68.244140625,1,0
generate,0.6,7,4,16,16,6131,1279,8.220451387576759,1.946365138072608,155.5875632246791,0.004343466833233833,6.186040945351124,1.5335650816559792,0.06032534409314394,0.0,65.91078615188599,66.927734375,67.19809055328369,69.0,1,0
generate,0.6,7,5,16,16,6761,1189,7.698936534114182,2.0782091044787285,154.4369140765755,0.005163948982954025,5.577449969947338,1.6629646457731724,0.050144050270318985,0.0,66.27777147293091,67.330078125,67.66331815719604,69.84765625,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.00348820723593235,,,0.0,0.0,0.0,0.0,0.00348820723593235,61.06067895889282,61.126953125,64.36787939071655,67.806640625,0,0
generate,0.6,7,1,16,16,4059,1224,6.054966302588582,2.6424589668087464,202.1481109608691,0.004862045869231224,4.502936391159892,1.124405543319881,0.049776229076087475,0.0,64.73049402236938,65.509765625,65.70387172698975,67.083984375,1,0
generate,0.6,7,2,16,16,4609,1303,7.9558772733435035,2.011091857036139,163.77829310738056,0.0040199123322963715,6.082777313888073,1.3572043683379889,0.0599556639790535,0.0,65.38510751724243,66.115234375,66.53290891647339,68.419921875,1,0
generate,0.6,7,3,16,16,5245,1294,6.940259546972811,2.305389285762209,186.44835848601863,0.004570037126541138,5.083145761862397,1.4232062995433807,0.050176371820271015,0.0,65.54380655288696,66.541015625,66.73528861999512,68.40625,1,0
generate,0.6,7,4,16,16,5876,1229,7.7605107966810465,2.0617199587999737,158.365864335323,0.004265560768544674,5.715665935538709,1.5721256965771317,0.06303916405886412,0.0,66.00005388259888,67.09375,67.31111717224121,69.134765625,1,0
generate,0.6,7,5,16,16,6484,1130,6.574984135106206,2.43346594778385,171.8635325622344,0.005340243689715862,4.541899083182216,1.6215019151568413,0.05096474755555391,0.0,66.14883470535278,67.26171875,67.49950361251831,69.25,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0030814744532108307,,,0.0,0.0,0.0,0.0,0.0030814744532108307,61.06067895889282,61.126953125,64.36787939071655,69.0,0,0
generate,0.6,7,1,16,16,4116,1180,6.007701268419623,2.6632482683695313,196.41455979225296,0.005075495690107346,4.487526410259306,1.089051939547062,0.0606148187071085,0.0,64.58171701431274,65.22265625,65.51692771911621,66.755859375,1,0
generate,0.6,7,2,16,16,4657,1352,6.449000421911478,2.481004644632604,209.64489247145505,0.00446829479187727,4.783657512627542,1.222358745522797,0.061258445493876934,0.0,64.91894388198853,65.73828125,65.94241666793823,67.419921875,1,0
generate,0.6,7,3,16,16,5335,1294,6.717575567774475,2.381811687650398,192.62902023872593,0.00502350926399231,4.936195914633572,1.3457230664789677,0.05545809306204319,0.0,65.30576372146606,66.236328125,66.43465757369995,68.02734375,1,0
generate,0.6,7,4,16,16,5962,1302,7.37791236396879,2.168635138327008,176.4726843813603,0.0049736034125089645,5.400480297394097,1.4989261189475656,0.062104067765176296,0.0,65.81160402297974,66.873046875,67.07251167297363,68.83203125,1,0
generate,0.6,7,5,16,16,6572,1290,9.203444908373058,1.7384794671225348,140.16490703675436,0.0053397538140416145,6.94163360632956,1.7114077555015683,0.07474841456860304,0.0,66.44638109207153,67.439453125,67.87627840042114,70.173828125,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.003123505972325802,,,0.0,0.0,0.0,0.0,0.003123505972325802,61.06067895889282,61.126953125,64.36787939071655,68.09765625,0,0
generate,0.6,7,1,16,16,4219,1170,5.907590327784419,2.708380085997032,198.05029378853297,0.005023328587412834,4.407929728738964,1.0725240698084235,0.05519834719598293,0.0,64.49245119094849,65.19921875,65.40275049209595,66.701171875,1,0
generate,0.6,7,2,16,16,4758,1260,7.328528645448387,2.1832486129309605,171.93082826831312,0.004462256096303463,5.617842605337501,1.2390812374651432,0.06222285982221365,0.0,65.0280442237854,65.79296875,66.08198738098145,67.59765625,1,0
generate,0.6,7,3,16,16,5377,1250,6.520984563045204,2.4536172176626403,191.68884512989376,0.004392731934785843,4.753233873285353,1.305681860074401,0.05759795010089874,0.0,65.20725107192993,66.01953125,66.30720376968384,67.76171875,1,0
generate,0.6,7,4,16,16,5990,1304,8.195091363973916,1.9523882394206005,159.11964151277894,0.004806403070688248,6.187764032743871,1.4983448255807161,0.08600182924419641,0.0,65.76200914382935,66.6015625,67.0099024772644,69.037109375,1,0
generate,0.6,7,5,16,16,6656,1234,7.367664465680718,2.1716515558667906,167.48862624622623,0.005583750084042549,5.2613021191209555,1.6609347350895405,0.04665932524949312,0.0,66.23809862136841,67.31640625,67.61253261566162,69.791015625,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.002843995578587055,,,0.0,0.0,0.0,0.0,0.002843995578587055,61.06067895889282,61.126953125,64.36787939071655,69.126953125,0,0
generate,0.6,7,1,16,16,4107,1231,6.528833877295256,2.4506673474480296,188.5482190442828,0.003928464837372303,4.955582018941641,1.1241570757701993,0.05280642211437225,0.0,64.72057390213013,65.447265625,65.69323873519897,67.078125,1,0
generate,0.6,7,2,16,16,4683,1359,8.884162805974483,1.8009575408996568,152.9688311301646,0.0038350867107510567,6.948676488362253,1.362137603573501,0.0825078496709466,0.0,65.4247784614563,66.193359375,66.58496379852295,68.259765625,1,0
generate,0.6,7,3,16,16,5354,1268,10.045256432145834,1.5927915935324843,126.22873378744937,0.004104279913008213,7.830454288050532,1.6597800636664033,0.071690465323627,0.0,66.26784563064575,67.244140625,67.65020275115967,69.59375,1,0
generate,0.6,7,4,16,16,5994,1213,7.871921899728477,2.0325404905950455,154.0919759432369,0.004776689223945141,5.533101184293628,1.823013111948967,0.07821471896022558,0.0,66.78361368179321,68.16015625,68.30333709716797,69.921875,1,0
generate,0.6,7,5,16,16,6595,1217,7.662969960831106,2.0879632938381874,158.8157080375671,0.0054589128121733665,5.297890665009618,1.9366399012506008,0.04736796393990517,0.0,67.13076066970825,68.138671875,68.74298572540283,70.01171875,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.002884306013584137,,,0.0,0.0,0.0,0.0,0.002884306013584137,61.06067895889282,61.126953125,65.04592704772949,69.68359375,0,0
generate,0.6,7,1,16,16,4143,1162,6.530908785760403,2.449888755893426,177.92317089676007,0.004776669666171074,4.97097484767437,1.0747971003875136,0.06766982469707727,0.0,64.50236749649048,65.15625,65.41511917114258,66.736328125,1,0
generate,0.6,7,2,16,16,4689,1299,6.632498991675675,2.4123637289777653,195.8537802463823,0.003835146315395832,4.999667563475668,1.1857676096260548,0.0606485977768898,0.0,64.79992151260376,65.55078125,65.79175424575806,67.205078125,1,0
generate,0.6,7,3,16,16,5346,1362,7.600675215944648,2.105076134082838,179.19460591380158,0.003907635807991028,5.770992176607251,1.3480534628033638,0.07208054699003696,0.0,65.3355164527893,66.087890625,66.47076892852783,68.33203125,1,0
generate,0.6,7,4,16,16,6004,1330,8.064934642985463,1.983897044214254,164.91144180030986,0.004271841607987881,6.0258087599650025,1.5024095298722386,0.07233607117086649,0.0,65.8116021156311,66.81640625,67.072509765625,68.859375,1,0
generate,0.6,7,5,16,16,6675,1222,7.202355946414173,2.22149531612165,169.66670476879105,0.0044450415298342705,5.061148867942393,1.6634487202391028,0.06898241862654686,0.0,66.27777338027954,67.5234375,67.66332006454468,69.125,1,0
hidden_state_write,0.6,7,0,16,16,0,0,0.0029414938762784004,,,0.0,0.0,0.0,0.0,0.0029414938762784004,61.06067895889282,61.126953125,64.42836046218872,69.30859375,0,0
generate,0.6,7,1,16,16,4204,1215,6.245876315049827,2.561690176516465,194.52834777921908,0.004215537570416927,4.700420625507832,1.1166356084868312,0.04453159123659134,0.0,64.68090105056763,65.419921875,65.64119005203247,67.001953125,1,0
