phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,64,64,16722,9871,13.758814062923193,4.65156369635557,717.4310194800911,0.01994913537055254,8.93484162259847,1.0574981337413192,1.028148990124464,0.0,11.76625108718872,13.23046875,23.232478618621826,28.10546875,1,0
generate,0.6,7,2,64,64,21140,8844,10.4298584619537,6.136229003822134,847.9501454656711,0.017127343453466892,5.86734813451767,1.072243146598339,1.074637764133513,0.0,11.992172718048096,13.6328125,19.600788593292236,24.357421875,1,0
generate,0.6,7,3,64,64,25529,9364,11.908654559403658,5.374242714048873,786.3188870992757,0.017206433229148388,7.124153243377805,1.2574329087510705,1.3211619518697262,0.0,13.00398302078247,14.90625,21.4819073677063,27.0546875,1,0
generate,0.6,7,4,64,64,30324,8775,11.567917911335826,5.532542717759439,758.563474192798,0.021017540246248245,7.0183512680232525,1.4275886872783303,1.143054231069982,0.0,13.97969102859497,16.01953125,21.37031602859497,27.5703125,1,0
generate,0.6,7,5,64,64,34889,8723,14.79058915283531,4.327075773565882,589.7669058252374,0.023796571418642998,9.326189873740077,1.7194177135825157,1.4015406034886837,0.0,15.40705919265747,18.1484375,24.428358554840088,32.1953125,1,0
hidden_state_write,0.6,7,0,64,64,0,0,0.011916876770555973,,,0.0,0.0,0.0,0.0,0.011916876770555973,5.885216236114502,6.2109375,13.800588130950928,25.81640625,0,0
generate,0.6,7,1,64,64,16985,10331,16.81993224285543,3.8050093826736524,614.2117489437735,0.016681738197803497,10.99916684255004,1.4674413837492466,1.2255074037238955,0.0,14.006691455841064,16.845703125,27.211543560028076,34.193359375,1,0
generate,0.6,7,2,64,64,21969,10227,17.655400021001697,3.624953267774722,579.2562042114388,0.01958928070962429,11.68419140111655,1.5707963574677706,1.2953783394768834,0.0,14.593910694122314,16.4609375,27.85349702835083,34.185546875,1,0
generate,0.6,7,3,64,64,27260,9353,16.768916343338788,3.8165853230833897,557.7581644812335,0.01978657767176628,11.06199386715889,1.6225025122985244,1.1411056201905012,0.0,14.883026599884033,16.66015625,26.838016986846924,33.1875,1,0
generate,0.6,7,4,64,64,32092,8860,12.919191477820277,4.953870380346593,685.8014307792315,0.025590346194803715,8.076217492111027,1.6045761443674564,1.0650133546441793,0.0,14.810822010040283,17.04296875,22.853695392608643,29.681640625,1,0
generate,0.6,7,5,64,64,36711,8423,12.31152106076479,5.19838285489838,684.1559185438915,0.023290196433663368,7.687576366588473,1.714279131963849,0.9883486041799188,0.0,15.370956897735596,18.359375,22.436594486236572,30.466796875,1,0
hidden_state_write,0.6,7,0,64,64,0,0,0.009043311700224876,,,0.0,0.0,0.0,0.0,0.009043311700224876,5.885216236114502,6.2109375,20.08448076248169,36.91015625,0,0
generate,0.6,7,1,64,64,16297,9626,10.99639268592,5.820090444928079,875.3779784824637,0.015199566259980202,7.098953688517213,1.138033365830779,0.4336081352084875,0.0,12.344475269317627,13.890625,21.638125896453857,26.45703125,1,0
