phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,13761,16384,26.19344560895115,1.2216796704693391,625.4999912803016,0.02240853291004896,15.95053185056895,4.382559417746961,3.063627756200731,0.0,29.17120933532715,32.26171875,40.53908348083496,55.552734375,1,0
generate,0.6,7,2,32,32,14444,16384,25.498715940862894,1.2549651548813285,642.5421592992402,0.020640992559492588,15.20444178301841,4.607942803762853,2.9154521105811,0.0,29.75132179260254,33.228515625,41.11923027038574,56.98046875,1,0
generate,0.6,7,3,32,32,15231,16384,25.896933377720416,1.23566754152946,632.6617812630835,0.024978894740343094,15.281088492833078,4.607594843022525,3.1310729729011655,0.0,29.944692611694336,32.869140625,41.312612533569336,61.40234375,1,0
generate,0.6,7,4,32,32,16116,16384,26.422732184641063,1.2110783917569614,620.0721365795642,0.020542738027870655,15.474321910180151,4.772520742379129,3.3285654168576,0.0,30.138063430786133,33.826171875,41.50599479675293,57.8671875,1,0
generate,0.6,7,5,32,32,17047,16384,26.892341250553727,1.1899298652303507,609.2440909979396,0.0215172516182065,15.743506813421845,4.9496290711686015,3.3614442804828286,0.0,30.589262008666992,34.4921875,41.95722007751465,59.037109375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.007190469652414322,,,0.0,0.0,0.0,0.0,0.007190469652414322,17.569082260131836,17.619140625,29.96043348312378,54.66015625,0,0
generate,0.6,7,1,32,32,14121,16384,24.45375833194703,1.3085923057558955,669.9992605470185,0.017514375038444996,14.369531609117985,4.020843192003667,3.2416383968666196,0.0,28.39772605895996,30.806640625,39.765554428100586,56.294921875,1,0
generate,0.6,7,2,32,32,14902,16384,25.1680347872898,1.27145405950251,650.9844784652851,0.022729684598743916,14.556330375373363,4.199759527109563,3.609987711533904,0.0,28.72001075744629,31.759765625,40.08785820007324,54.236328125,1,0
generate,0.6,7,3,32,32,15739,16384,25.454160979017615,1.2571618458128813,643.6668650561952,0.01965007372200489,14.964374684728682,4.414540161378682,3.323501165024936,0.0,29.42903709411621,32.181640625,40.796926498413086,60.103515625,1,0
generate,0.6,7,4,32,32,16720,16384,25.802964768372476,1.2401675655203557,634.9657935464221,0.020134209655225277,15.245173417031765,4.623038410209119,3.1969616319984198,0.0,29.815778732299805,33.12890625,41.18369102478027,57.298828125,1,0
generate,0.6,7,5,32,32,17758,16384,26.479847591370344,1.2084661699649906,618.7346790220752,0.020747972652316093,15.61441641766578,4.820555777288973,3.278662048280239,0.0,30.46034812927246,33.556640625,41.828298568725586,63.09375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.002783055417239666,,,0.0,0.0,0.0,0.0,0.002783055417239666,17.569082260131836,17.619140625,29.648559093475342,51.400390625,0,0
generate,0.6,7,1,32,32,13773,16384,20.909371229819953,1.5304142648901427,783.572103623753,0.014164021238684654,12.17057425621897,2.7986308122053742,3.2976322984322906,0.0,24.981508255004883,26.560546875,36.34913444519043,44.712890625,1,0
generate,0.6,7,2,32,32,14421,16384,21.208919901400805,1.5087991349284349,772.5051570833587,0.015170811675488949,12.295878139324486,2.859163944609463,3.2991638062521815,0.0,25.30379295349121,26.681640625,36.671438217163086,48.140625,1,0
generate,0.6,7,3,32,32,15271,16384,21.579925470985472,1.4828596161290952,759.2241234580968,0.0160236032679677,12.47369868773967,2.983239714987576,3.4098550528287888,0.0,25.497163772583008,27.67578125,36.86482048034668,46.345703125,1,0
generate,0.6,7,4,32,32,16079,16384,21.71906892582774,1.4733596596282472,754.3601457296626,0.016530743800103664,12.567650699056685,3.04099287930876,3.4050742145627737,0.0,25.690534591674805,27.453125,37.05820274353027,46.28125,1,0
generate,0.6,7,5,32,32,17052,16384,21.94591118954122,1.458130388099368,746.5627587068764,0.01664746832102537,12.865622150711715,3.2032226817682385,3.194183169864118,0.0,26.0772762298584,28.01953125,37.44496726989746,47.931640625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004263510927557945,,,0.0,0.0,0.0,0.0,0.004263510927557945,17.569082260131836,17.619140625,29.19496726989746,45.013671875,0,0
generate,0.6,7,1,32,32,13284,16384,20.770640537142754,1.5406361658792627,788.8057169301825,0.01469777338206768,11.97836837079376,2.6613915292546153,3.446062878705561,0.0,24.72368049621582,26.021484375,36.091291427612305,44.2578125,1,0
generate,0.6,7,2,32,32,13942,16384,20.81863458547741,1.5370844744218934,786.9872509040094,0.015307608991861343,12.173284203745425,2.8126698322594166,3.14813001267612,0.0,25.04596519470215,26.67578125,36.41359519958496,44.869140625,1,0
generate,0.6,7,3,32,32,14871,16384,21.045842560008168,1.520490325286724,778.4910465468026,0.015809863805770874,12.294870289973915,2.8603336215019226,3.1476616533473134,0.0,25.30379295349121,26.681640625,36.671438217163086,48.140625,1,0
generate,0.6,7,4,32,32,15747,16384,21.50252532120794,1.4881972941307688,761.9570145949536,0.015614530071616173,12.479527859017253,2.984607968479395,3.298762763850391,0.0,25.497163772583008,27.67578125,36.86482048034668,46.345703125,1,0
generate,0.6,7,5,32,32,16695,16199,22.91432377230376,1.3965064087415042,706.9377286001134,0.017422824166715145,12.712554331868887,3.0355028370395303,3.367631549946964,0.0,25.819448471069336,27.369140625,37.187124252319336,49.021484375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004902799613773823,,,0.0,0.0,0.0,0.0,0.004902799613773823,17.569082260131836,17.619140625,29.187124252319336,42.68359375,0,0
generate,0.6,7,1,32,32,12672,16384,20.8308062274009,1.5361863410695604,786.5274066276149,0.017123444937169552,11.919585196301341,2.6354158045724034,3.634788523428142,0.0,24.59476661682129,26.22265625,35.96236991882324,43.884765625,1,0
generate,0.6,7,2,32,32,13290,16384,20.69587733410299,1.5462016653563124,791.655252662432,0.014399977400898933,11.962251188233495,2.6719221640378237,3.347029044292867,0.0,24.788137435913086,25.994140625,36.155752182006836,46.638671875,1,0
generate,0.6,7,3,32,32,14135,16384,21.018812130205333,1.522445693018685,779.4921948255667,0.014677083119750023,12.16215484868735,2.7968178149312735,3.40321824606508,0.0,24.981508255004883,26.560546875,36.34913444519043,44.712890625,1,0
generate,0.6,7,4,32,32,15128,16384,21.69847189541906,1.47475822971459,755.0762136138701,0.01596724148839712,12.478827992454171,2.9723009690642357,3.514361897483468,0.0,25.432706832885742,27.2421875,36.80035972595215,45.884765625,1,0
generate,0.6,7,5,32,32,15936,16384,21.88225663639605,1.4623720273335719,748.7344779947888,0.017118589021265507,12.756891974247992,3.1481113750487566,3.301327290944755,0.0,25.8839054107666,27.814453125,37.25158500671387,47.404296875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0038263369351625443,,,0.0,0.0,0.0,0.0,0.0038263369351625443,17.569082260131836,17.619140625,29.189085006713867,44.720703125,0,0
generate,0.6,7,1,32,32,13676,16384,21.16653868276626,1.5118201648177043,774.0519243866646,0.015703224577009678,12.285087794065475,2.8665960766375065,3.2816927889361978,0.0,25.239336013793945,26.80859375,36.606977462768555,45.31640625,1,0
generate,0.6,7,2,32,32,14375,16384,21.514877941459417,1.4873428558167943,761.5195421781987,0.016178238205611706,12.529833491891623,3.0139388255774975,3.3103254763409495,0.0,25.561681747436523,27.33203125,36.92934226989746,46.5546875,1,0
generate,0.6,7,3,32,32,15172,16384,21.808334982953966,1.4673288916834843,751.272392541944,0.01677725650370121,12.61363924574107,3.048650815151632,3.423532730899751,0.0,25.75499153137207,27.740234375,37.122663497924805,46.943359375,1,0
generate,0.6,7,4,32,32,16033,16384,21.994468204677105,1.4549112850655432,744.9145779535581,0.017576497048139572,12.759711964987218,3.148159582167864,3.3691557962447405,0.0,25.8839054107666,27.814453125,37.25158500671387,47.404296875,1,0
generate,0.6,7,5,32,32,16832,16384,22.085298826918006,1.448927644166524,741.8509538132603,0.017420772463083267,12.864334151148796,3.203800399787724,3.3012009961530566,0.0,26.0772762298584,28.01953125,37.44496726989746,47.931640625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.003970285877585411,,,0.0,0.0,0.0,0.0,0.003970285877585411,17.569082260131836,17.619140625,29.19496726989746,45.013671875,0,0
generate,0.6,7,1,32,32,13109,16384,20.78422075882554,1.539629528155966,788.2903184158546,0.016046680510044098,11.979542505927384,2.6614894615486264,3.475272881798446,0.0,24.72368049621582,26.021484375,36.091291427612305,44.2578125,1,0
generate,0.6,7,2,32,32,13727,16384,20.70260955672711,1.5456988604415771,791.3978165460875,0.015229062177240849,12.115236622281373,2.785829782485962,3.1409311667084694,0.0,24.917051315307617,26.4140625,36.2846736907959,44.923828125,1,0
generate,0.6,7,3,32,32,14573,16384,21.083982218056917,1.5177398495714105,777.0828029805622,0.015514431521296501,12.226252065971494,2.8211157666519284,3.344077759422362,0.0,25.110422134399414,26.974609375,36.47805595397949,45.1875,1,0
generate,0.6,7,4,32,32,15421,16384,21.018134720623493,1.5224947610884252,779.5173176772737,0.015127159655094147,12.291222331114113,2.8602459728717804,3.138287371955812,0.0,25.30379295349121,26.681640625,36.671438217163086,48.140625,1,0
generate,0.6,7,5,32,32,16171,16384,21.528974047861993,1.4863690173465496,761.0209368814334,0.016448053531348705,12.475337312556803,2.984547523781657,3.3054846739396453,0.0,25.497163772583008,27.67578125,36.86482048034668,46.345703125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0038036759942770004,,,0.0,0.0,0.0,0.0,0.0038036759942770004,17.569082260131836,17.619140625,29.17732048034668,42.814453125,0,0
generate,0.6,7,1,32,32,17960,16384,40.289771834388375,0.7942462452142051,406.654077549673,0.035969351418316364,23.957463631406426,10.057748723775148,3.2294174395501614,0.0,43.54510688781738,52.921875,63.0804877281189,90.900390625,1,0
generate,0.6,7,2,32,32,18671,16384,40.266897222958505,0.7946974365274644,406.88508750206177,0.03656554501503706,24.07537991553545,10.051432424224913,3.011300729587674,0.0,43.86739158630371,51.43359375,63.49019193649292,92.5,1,0
generate,0.6,7,3,32,32,19493,16384,40.94677443243563,0.7815023391598699,400.1291976498534,0.03776693996042013,24.34977310989052,10.282717046327889,3.195354390889406,0.0,44.18967628479004,53.79296875,64.1491527557373,93.009765625,1,0
generate,0.6,7,4,32,32,20515,16384,41.57012133486569,0.769783656444634,394.1292320996526,0.0373159134760499,24.686070628464222,10.47969484794885,3.3175345892086625,0.0,44.6408748626709,53.841796875,64.97176027297974,93.578125,1,0
generate,0.6,7,5,32,32,21453,16384,42.43338259961456,0.7541232407027261,386.11109923979575,0.038804758340120316,24.88070491887629,10.66243406292051,3.296389206312597,0.0,44.96315956115723,54.98828125,65.63094997406006,86.9375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0035805273801088333,,,0.0,0.0,0.0,0.0,0.0035805273801088333,17.569082260131836,17.62109375,43.99404764175415,85.189453125,0,0
generate,0.6,7,1,32,32,14147,16384,25.356892166659236,1.2619843074489832,646.1359654138794,0.020257468335330486,15.085206815041602,4.535538750700653,2.9653098452836275,0.0,29.493494033813477,33.173828125,40.86138725280762,56.0078125,1,0
generate,0.6,7,2,32,32,14807,16384,25.97300461679697,1.2320484469211281,630.8088048236176,0.021673155017197132,15.256041186861694,4.622113110497594,3.3229547860100865,0.0,29.815778732299805,33.12890625,41.18369102478027,57.298828125,1,0
generate,0.6,7,3,32,32,15743,16384,26.252531605772674,1.2189300628425304,624.0921921753755,0.020705468952655792,15.467890831641853,4.775505544617772,3.2060516783967614,0.0,30.138063430786133,33.826171875,41.50599479675293,57.8671875,1,0
generate,0.6,7,4,32,32,16694,16384,26.498255455866456,1.20762667011407,618.3048550984039,0.021657779812812805,15.623710164800286,4.820090550929308,3.224872838705778,0.0,30.46034812927246,33.556640625,41.828298568725586,63.09375,1,0
generate,0.6,7,5,32,32,17593,16384,27.111206504516304,1.1803237157545645,604.325742466337,0.023005524650216103,15.892904479056597,5.020038273185492,3.381879149004817,0.0,30.847089767456055,34.58203125,42.21506309509277,59.107421875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.005401096306741238,,,0.0,0.0,0.0,0.0,0.005401096306741238,17.569082260131836,17.619140625,30.08457899093628,52.63671875,0,0
generate,0.6,7,1,32,32,12700,16384,21.236162521876395,1.506863585501159,771.5141557765934,0.01677292212843895,11.759349196217954,2.469477601349354,3.722110346890986,0.0,24.27248191833496,25.306640625,35.640066146850586,44.673828125,1,0
generate,0.6,7,2,32,32,13284,16384,20.463167583569884,1.5637852678142152,800.6580571208782,0.014140014536678791,11.80800147075206,2.598199819214642,3.388944987207651,0.0,24.401395797729492,26.05078125,35.76898765563965,43.99609375,1,0
