phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,8833,16384,20.307829324156046,1.5757469441569605,806.7824354083638,0.014762593433260918,12.329730196855962,2.198452134616673,3.0560029949992895,0.0,23.370084762573242,25.357421875,34.73761558532715,42.013671875,1,0
generate,0.6,7,2,32,32,9872,14416,18.75894759967923,1.7058526247254502,768.4866074388153,0.014269063249230385,11.275147975422442,2.234120442532003,2.5722406255081296,0.0,23.563501358032227,25.26953125,34.93104362487793,42.353515625,1,0
generate,0.6,7,3,32,32,11412,14051,19.217799235135317,1.6651230251950688,731.1451133442473,0.012948784045875072,11.476900067180395,2.3899396071210504,2.5646541472524405,0.0,23.885740280151367,25.2109375,35.2533016204834,43.015625,1,0
generate,0.6,7,4,32,32,13012,14276,19.496813814155757,1.6412938188272712,732.2222049243164,0.015832155011594296,11.663446262478828,2.465338562615216,2.714914323762059,0.0,24.27248191833496,25.306640625,35.640066146850586,44.673828125,1,0
generate,0.6,7,5,32,32,14919,13952,20.50388464424759,1.560679868971935,680.4564228717636,0.016408028081059456,12.102199958637357,2.770205996930599,2.9282395178452134,0.0,24.85259437561035,26.345703125,36.22021293640137,44.783203125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0071087796241045,,,0.0,0.0,0.0,0.0,0.0071087796241045,17.569082260131836,17.619140625,29.157712936401367,42.53125,0,0
generate,0.6,7,1,32,32,8542,16384,18.960838894359767,1.6876890404632339,864.0967887171757,0.009846411645412445,10.667590699158609,1.8888597749173641,3.7655190136283636,0.0,22.725515365600586,23.43359375,34.093008041381836,41.34765625,1,0
generate,0.6,7,2,32,32,9654,15167,18.73563188035041,1.7079754877955846,809.5270069811135,0.011151326820254326,10.868985103443265,2.0255568381398916,3.1986687323078513,0.0,22.918886184692383,24.326171875,34.28639030456543,40.626953125,1,0
generate,0.6,7,3,32,32,11072,13457,18.682614053599536,1.7128224084806074,720.2953484663605,0.011933387257158756,11.15083055011928,2.197255678474903,2.65018193423748,0.0,23.370084762573242,25.357421875,34.73761558532715,42.013671875,1,0
generate,0.6,7,4,32,32,12777,12704,18.6936566401273,1.7118106219683986,679.5888169214543,0.015332494862377644,11.294781412929296,2.2490819208323956,2.4742619413882494,0.0,23.627912521362305,25.474609375,34.99545860290527,42.369140625,1,0
generate,0.6,7,5,32,32,14276,13015,19.292344183661044,1.6586890476016516,674.6199360792342,0.01433047279715538,11.61276516597718,2.448864731937647,2.538516000844538,0.0,24.079111099243164,25.6171875,35.44668388366699,42.876953125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004009955562651157,,,0.0,0.0,0.0,0.0,0.004009955562651157,17.569082260131836,17.619140625,29.134183883666992,40.798828125,0,0
generate,0.6,7,1,32,32,9119,16384,21.467304621823132,1.4906389303978846,763.2071323637169,0.01525024976581335,12.299823069013655,2.85842720977962,3.5829851999878883,0.0,25.30379295349121,26.681640625,36.671438217163086,48.140625,1,0
generate,0.6,7,2,32,32,10202,14133,21.105902049690485,1.5161635794888604,669.623120903627,0.014772694557905197,12.635249628685415,3.0471753096207976,2.715857864357531,0.0,25.75499153137207,27.740234375,37.122663497924805,46.943359375,1,0
generate,0.6,7,3,32,32,11638,14660,21.90792681928724,1.4606585216373795,669.1641852251245,0.01582513004541397,12.86862372700125,3.2020118245854974,3.0315801231190562,0.0,26.0772762298584,28.01953125,37.44496726989746,47.931640625,1,0
generate,0.6,7,4,32,32,13529,14764,22.383521352894604,1.4296231363909955,659.5923745523955,0.017233421094715595,13.157893382012844,3.377864718437195,3.058938641101122,0.0,26.528474807739258,28.841796875,37.89619255065918,48.6875,1,0
generate,0.6,7,5,32,32,15623,13818,24.12856012303382,1.3262291590061304,572.6823287233346,0.01920110173523426,14.434925713576376,4.1359352404251695,2.795602925121784,0.0,28.462182998657227,31.98828125,39.83001518249512,54.322265625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004853392019867897,,,0.0,0.0,0.0,0.0,0.004853392019867897,17.569082260131836,17.619140625,29.267515182495117,48.7421875,0,0
generate,0.6,7,1,32,32,8608,16384,19.498965880833566,1.6411126721060771,840.2496881183115,0.012751723639667034,11.132852241396904,2.189379522576928,3.481798199005425,0.0,23.305627822875977,25.046875,34.67315483093262,42.21875,1,0
generate,0.6,7,2,32,32,9623,14139,19.49381521344185,1.6415462878674763,725.3069676299452,0.011844403110444546,11.211121261119843,2.2214773753657937,3.2369470661506057,0.0,23.498998641967773,25.294921875,34.86653709411621,42.009765625,1,0
generate,0.6,7,3,32,32,11119,15036,19.63530524726957,1.6297174704961528,765.7634964493798,0.012890130281448364,11.471888091415167,2.3756575603038073,3.070594150573015,0.0,23.8212833404541,25.189453125,35.18884086608887,42.548828125,1,0
generate,0.6,7,4,32,32,12627,14125,19.71920309960842,1.6227836306749863,716.3068369776307,0.013715366832911968,11.645920113660395,2.474439491517842,2.8937461394816637,0.0,24.208024978637695,25.298828125,35.575605392456055,42.833984375,1,0
generate,0.6,7,5,32,32,14464,14514,20.276986689306796,1.5781437592438434,715.7868288020358,0.013161267153918743,11.905456708744168,2.6356901908293366,2.974985039792955,0.0,24.59476661682129,26.22265625,35.96236991882324,43.884765625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.003797548823058605,,,0.0,0.0,0.0,0.0,0.003797548823058605,17.569082260131836,17.619140625,29.149869918823242,41.71484375,0,0
generate,0.6,7,1,32,32,8547,16384,20.49659265205264,1.5612351059138283,799.3523742278801,0.01247988548129797,11.667992822825909,2.4657665295526385,3.6189433252438903,0.0,24.27248191833496,25.306640625,35.640066146850586,44.673828125,1,0
generate,0.6,7,2,32,32,9481,13978,20.096658257767558,1.592304530910341,695.5385229082733,0.013383269309997559,11.810086503624916,2.5968964053317904,2.986425230279565,0.0,24.401395797729492,26.05078125,35.76898765563965,43.99609375,1,0
generate,0.6,7,3,32,32,10986,14819,20.84999337978661,1.5347726695694281,710.7436309484174,0.0135122612118721,12.114280606620014,2.7839133627712727,3.2423800695687532,0.0,24.917051315307617,26.4140625,36.2846736907959,44.923828125,1,0
generate,0.6,7,4,32,32,12659,14451,20.867419459857047,1.5334910031189461,692.5149526897466,0.014243126846849918,12.2638802761212,2.8577196216210723,3.0026651611551642,0.0,25.17487907409668,26.71875,36.54251670837402,44.99609375,1,0
generate,0.6,7,5,32,32,14501,14133,21.05617960356176,1.519743875787754,671.2043811408852,0.01569185871630907,12.51997829042375,3.0130646592006087,2.7863087067380548,0.0,25.561681747436523,27.33203125,36.92934226989746,46.5546875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.003912718966603279,,,0.0,0.0,0.0,0.0,0.003912718966603279,17.569082260131836,17.619140625,29.17928123474121,42.466796875,0,0
generate,0.6,7,1,32,32,8422,16384,19.050483386963606,1.6797474032547568,860.0306704664355,0.011240205727517605,10.88841984141618,2.0368803068995476,3.4371421886608005,0.0,22.98334312438965,24.55078125,34.35085105895996,40.869140625,1,0
generate,0.6,7,2,32,32,9384,15098,19.038933942094445,1.6807663757501186,793.0065856586028,0.011693264357745647,11.151812822557986,2.1971669364720583,3.0119335763156414,0.0,23.370084762573242,25.357421875,34.73761558532715,42.013671875,1,0
