phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,9358,3279,11.821038375608623,2.707037993043689,277.38679934969554,0.012487304396927357,9.741305759176612,1.1202658349648118,0.1450768830254674,0.0,22.997246742248535,25.548828125,25.206491470336914,29.822265625,1,0
generate,0.6,7,2,32,32,10456,3142,7.495737563818693,4.269092898137384,419.1715589358644,0.008147445507347584,5.729541312903166,1.0651507982984185,0.10228092689067125,0.0,22.66230869293213,24.50390625,24.002460479736328,27.306640625,1,0
generate,0.6,7,3,32,32,11851,3135,5.511494589038193,5.806047612501475,568.8112270372538,0.008292844519019127,3.8703387305140495,1.0719627067446709,0.11456982232630253,0.0,22.74607563018799,24.939453125,23.914125442504883,27.068359375,1,0
generate,0.6,7,4,32,32,13228,3170,5.969824117608368,5.360291923109427,531.0039186330276,0.008477122522890568,4.213911624625325,1.1706693163141608,0.11509565357118845,0.0,23.344731330871582,26.01953125,24.6260986328125,27.95703125,1,0
generate,0.6,7,5,32,32,14671,3232,6.352531443350017,5.037361921836431,508.77355410547955,0.00982302613556385,4.461119882762432,1.2732138512656093,0.09842460602521896,0.0,23.918484687805176,26.92578125,25.307077884674072,29.0,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.006547229364514351,,,0.0,0.0,0.0,0.0,0.006547229364514351,16.477303504943848,16.634765625,19.738133430480957,28.734375,0,0
generate,0.6,7,1,32,32,9492,3370,11.80615194234997,2.710451310152334,285.4444036004177,0.008016739040613174,9.620011392049491,1.2262227358296514,0.13820268213748932,0.0,23.571484565734863,26.626953125,25.872854232788086,30.734375,1,0
generate,0.6,7,2,32,32,10670,3167,5.838005685247481,5.481323884432545,542.4797731874334,0.010212821885943413,4.168334586545825,1.0727453073486686,0.10155992209911346,0.0,22.746071815490723,25.15625,23.914121627807617,26.99609375,1,0
generate,0.6,7,3,32,32,12089,3218,5.809760480187833,5.507972335369912,553.8954679756367,0.008620718494057655,4.077814402990043,1.1460278937593102,0.08904421608895063,0.0,23.224610328674316,25.869140625,24.48249626159668,27.76953125,1,0
generate,0.6,7,4,32,32,13543,3340,6.373110408894718,5.021096128405177,524.0769084022903,0.010005250573158264,4.46733442414552,1.2729801535606384,0.10031761415302753,0.0,23.918484687805176,26.92578125,25.307077884674072,29.0,1,0
