phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,14783,4829,29.657575579360127,1.0789823299740677,162.82517723264914,0.01995648257434368,24.820261816494167,3.3332788040861487,0.35446753446012735,0.0,34.470086097717285,40.791015625,37.86658191680908,48.048828125,1,0
generate,0.6,7,2,32,32,16388,4232,17.254931221716106,1.8545423096051847,245.2632204452857,0.015409381128847599,13.14381453115493,3.156820571050048,0.12859424389898777,0.0,33.40540790557861,39.75390625,36.59716272354126,45.078125,1,0
generate,0.6,7,3,32,32,18275,4107,17.304736882448196,1.8492046551980155,237.3338599655703,0.01616636011749506,13.12856647092849,3.2510327007621527,0.12975318729877472,0.0,33.93179798126221,40.51171875,37.224714279174805,45.005859375,1,0
generate,0.6,7,4,32,32,20081,4289,19.672320221550763,1.6266510324971444,218.02207119938288,0.017158932983875275,15.315640279091895,3.3935161801055074,0.11849997844547033,0.0,34.57780933380127,41.271484375,37.99503707885742,47.029296875,1,0
generate,0.6,7,5,32,32,21901,4123,17.37523413542658,1.8417018009993202,237.29176642250616,0.01825165655463934,13.058163431473076,3.420123946852982,0.14439579378813505,0.0,34.79316425323486,42.515625,38.25186729431152,46.23046875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.006712459959089756,,,0.0,0.0,0.0,0.0,0.006712459959089756,16.477303504943848,17.072265625,24.879719734191895,42.521484375,0,0
generate,0.6,7,1,32,32,15018,4190,25.48465730715543,1.255657457517203,164.4126483436588,0.01445925235748291,21.348611352965236,2.8831410706043243,0.16181834414601326,0.0,32.17311954498291,37.25390625,35.12997770309448,43.892578125,1,0
generate,0.6,7,2,32,32,16500,3889,19.543590450659394,1.6373654616222442,198.99107125777834,0.019154906272888184,15.607728758826852,2.8664456456899643,0.1745677012950182,0.0,32.0535249710083,37.59375,34.98600482940674,42.625,1,0
generate,0.6,7,3,32,32,18358,4150,20.100927385501564,1.5919663499247811,206.45813600587007,0.016947554424405098,15.923963458277285,3.226914593949914,0.12666451837867498,0.0,33.88392734527588,40.212890625,37.16887855529785,45.88671875,1,0
generate,0.6,7,4,32,32,20289,4221,21.56839226745069,1.4836525413297432,195.70304302977644,0.017720048315823078,16.89104241039604,3.6431254548951983,0.14763505477458239,0.0,35.654507637023926,43.50390625,39.282190799713135,48.55859375,1,0
generate,0.6,7,5,32,32,22201,4351,23.35785947740078,1.3699885484352996,186.27563044506215,0.01865734811872244,18.26776524912566,4.018344899639487,0.1418772228062153,0.0,37.38919544219971,45.09375,41.34942960739136,51.6640625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0034191831946372986,,,0.0,0.0,0.0,0.0,0.0034191831946372986,16.477303504943848,17.072265625,25.931797981262207,46.29296875,0,0
generate,0.6,7,1,32,32,14751,4310,19.643924473784864,1.6290023942366771,219.40625997375244,0.0107108224183321,16.435745608061552,2.028122568503022,0.17210589721798897,0.0,27.962014198303223,33.455078125,30.892159461975098,38.626953125,1,0
generate,0.6,7,2,32,32,16180,3665,11.146088985726237,2.870962186016946,328.81488786725333,0.011464356444776058,8.551120225340128,1.8104610871523619,0.11247218679636717,0.0,26.84948444366455,31.150390625,28.790979862213135,33.98828125,1,0
generate,0.6,7,3,32,32,17819,4082,20.52019103243947,1.5594396733155458,198.9260233273143,0.011800361797213554,17.146528098732233,2.200522283092141,0.17557015921920538,0.0,28.775525093078613,32.458984375,31.659926414489746,38.244140625,1,0
generate,0.6,7,4,32,32,19608,4033,12.893150700256228,2.4819379486011948,312.80174208464433,0.012441947124898434,10.00311366096139,2.0501087764278054,0.1322544366121292,0.0,28.045815467834473,32.134765625,30.21499538421631,35.9140625,1,0
generate,0.6,7,5,32,32,21523,4061,12.537771152332425,2.5522877719814643,323.9012700630227,0.014332019723951817,9.483942177146673,2.262879164889455,0.12106898054480553,0.0,29.13449192047119,33.767578125,31.509719848632812,37.65625,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004884243011474609,,,0.0,0.0,0.0,0.0,0.004884243011474609,16.477303504943848,17.072265625,22.06482219696045,36.98046875,0,0
generate,0.6,7,1,32,32,14215,3988,18.74400446843356,1.707212567831523,212.76136626600356,0.010178761556744576,15.692805732600391,1.9200944853946567,0.15595118515193462,0.0,27.292065620422363,32.408203125,30.22218418121338,37.44140625,1,0
generate,0.6,7,2,32,32,15759,4216,19.592768506146967,1.6332556570532863,215.18143281677047,0.01054306048899889,16.43644294515252,2.0233157332986593,0.1586622828617692,0.0,27.962014198303223,33.455078125,30.892159461975098,38.626953125,1,0
generate,0.6,7,3,32,32,17554,4241,13.541749255731702,2.363062511030887,313.1796284150622,0.010667478665709496,10.660519545897841,2.0109783224761486,0.13490310031920671,0.0,27.83046817779541,31.755859375,29.959051609039307,35.587890625,1,0
generate,0.6,7,4,32,32,19533,4011,12.286621782928705,2.60445878170202,326.4526304189626,0.011212186887860298,9.33186683896929,2.1534543028101325,0.1209694491699338,0.0,28.679883003234863,33.119140625,30.970658779144287,36.912109375,1,0
generate,0.6,7,5,32,32,21349,3974,13.482967208139598,2.373364816958226,294.74224320599967,0.014137978665530682,10.251508368179202,2.441781054250896,0.1117799449712038,0.0,30.031743049621582,35.142578125,32.58012342453003,38.5234375,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0028144074603915215,,,0.0,0.0,0.0,0.0,0.0028144074603915215,16.477303504943848,17.072265625,22.493290901184082,35.99609375,0,0
generate,0.6,7,1,32,32,13683,4504,19.26625814009458,1.6609348721122716,233.77658324980223,0.01202081423252821,16.119725041091442,1.9675291227176785,0.201261967420578,0.0,27.674893379211426,32.8984375,30.605027198791504,38.01171875,1,0
generate,0.6,7,2,32,32,15316,4255,10.941998625174165,2.924511425762554,388.86862864436455,0.010598023422062397,8.387436704710126,1.7848379546776414,0.12243970017880201,0.0,26.64610767364502,30.708984375,28.550873279571533,33.85546875,1,0
generate,0.6,7,3,32,32,17201,4343,12.38037244323641,2.58473645657422,350.79720096568246,0.011108611710369587,9.624352470971644,1.9380389107391238,0.1367799025028944,0.0,27.47157382965088,31.353515625,29.532540798187256,34.99609375,1,0
generate,0.6,7,4,32,32,19206,4325,12.246869672089815,2.612912593732166,353.15146774661304,0.01245191227644682,9.379896679893136,2.0538624972105026,0.134003727696836,0.0,28.093674659729004,32.287109375,30.271069526672363,35.994140625,1,0
generate,0.6,7,5,32,32,21129,4452,13.406458648853004,2.3869092381631876,332.07874775945345,0.012667465955018997,10.334580384194851,2.2528518326580524,0.12968682311475277,0.0,29.11055850982666,33.634765625,31.4826979637146,37.6171875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.002677065320312977,,,0.0,0.0,0.0,0.0,0.002677065320312977,16.477303504943848,17.072265625,21.97114086151123,37.056640625,0,0
generate,0.6,7,1,32,32,14625,5757,20.110942902043462,1.5911735295488556,286.2620628003988,0.010824713855981827,16.767441416159272,2.0762581350281835,0.2770517496392131,0.0,28.24913501739502,33.41796875,31.17929172515869,39.47265625,1,0
generate,0.6,7,2,32,32,16497,4677,14.170958004891872,2.2581394983284455,330.04120105256686,0.01188101340085268,11.132455651648343,2.1286719804629683,0.13877318147569895,0.0,28.50041675567627,32.681640625,30.757315158843994,36.67578125,1,0
generate,0.6,7,3,32,32,18708,4555,15.92115799896419,2.0099040535921997,286.0972801285147,0.013734931126236916,12.524668724276125,2.465374194085598,0.1215677484869957,0.0,30.23510456085205,35.224609375,32.820026874542236,38.88671875,1,0
generate,0.6,7,4,32,32,20811,4805,18.239102706313133,1.7544722739525878,263.4449773856933,0.014606323093175888,14.433193209581077,2.85659446939826,0.16294953040778637,0.0,31.957825660705566,37.552734375,34.87371826171875,42.44140625,1,0
generate,0.6,7,5,32,32,23007,4827,18.805275411345065,1.7016501646497912,256.68329202389197,0.016379850916564465,14.666743958368897,3.1937984554097056,0.1534053534269333,0.0,33.62073993682861,39.94140625,36.85386514663696,45.44921875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0026667537167668343,,,0.0,0.0,0.0,0.0,0.0026667537167668343,16.477303504943848,17.072265625,24.115376472473145,44.021484375,0,0
generate,0.6,7,1,32,32,14110,4678,19.314238040708005,1.6568088232398617,242.20473984737725,0.009854715317487717,16.117782038636506,1.9678814429789782,0.2308598104864359,0.0,27.674893379211426,32.8984375,30.605027198791504,38.01171875,1,0
generate,0.6,7,2,32,32,15637,4120,12.069927772507071,2.651217190618963,341.3442132921915,0.010468358173966408,9.39144845213741,1.8341339826583862,0.1302864234894514,0.0,27.01696491241455,30.705078125,28.990407466888428,34.251953125,1,0
generate,0.6,7,3,32,32,17542,4225,11.076101181097329,2.8891032572555195,381.45191443451785,0.011705758981406689,8.336519793607295,1.9936599805951118,0.13146074023097754,0.0,27.734780311584473,31.884765625,29.84406089782715,35.40234375,1,0
generate,0.6,7,4,32,32,19537,4311,14.513621427118778,2.2048253194897196,297.03131101000565,0.01160341501235962,11.364169509150088,2.2830170607194304,0.13784933183342218,0.0,29.29000186920166,33.791015625,31.696066856384277,37.927734375,1,0
