phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,32,32,9197,3129,5.764330880716443,5.551381532772586,542.8210255014194,0.01282409019768238,4.3420301200822,0.8374395277351141,0.09907013922929764,0.0,21.489922523498535,23.2265625,22.424025535583496,25.20703125,1,0
generate,0.6,7,2,32,32,10459,3308,5.87128855381161,5.450251628192548,563.4197620644047,0.00691886804997921,4.243483233265579,0.9485656963661313,0.15675570350140333,0.0,22.088082313537598,23.8984375,23.13537311553955,26.20703125,1,0
generate,0.6,7,3,32,32,11984,3315,6.374447446316481,5.0200429558002595,520.0450749524331,0.008671545423567295,4.637523866258562,1.0653155548498034,0.13316863309592009,0.0,22.69821262359619,25.0,23.85911512374878,26.912109375,1,0
generate,0.6,7,4,32,32,13437,3309,7.372253097593784,4.340599756463112,448.8451435667636,0.007895556278526783,5.472362720407546,1.2179017215967178,0.10449237562716007,0.0,23.571534156799316,26.201171875,24.894612789154053,28.771484375,1,0
generate,0.6,7,5,32,32,14906,3237,7.222380797378719,4.430671948454177,448.19015928581786,0.008343190886080265,5.29463782440871,1.3002070980146527,0.0913165370002389,0.0,24.121853828430176,27.125,25.55040979385376,29.36328125,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.0060634249821305275,,,0.0,0.0,0.0,0.0,0.0060634249821305275,16.477303504943848,16.634765625,19.738133430480957,27.75,0,0
generate,0.6,7,1,32,32,9049,3093,5.128866407088935,6.239195459599171,603.0572361418824,0.007653082720935345,3.678830577991903,0.8624138738960028,0.09482082910835743,0.0,21.52580738067627,23.162109375,22.46657943725586,25.25390625,1,0
generate,0.6,7,2,32,32,10300,3659,9.240412255749106,3.4630489543462266,395.97800387352635,0.007899433374404907,7.330774052068591,1.118520276620984,0.1142581682652235,0.0,22.997265815734863,26.017578125,24.749479293823242,28.947265625,1,0
generate,0.6,7,3,32,32,11877,3298,5.874609640799463,5.447170443080741,561.3990037900088,0.009716025553643703,4.146537999622524,1.0869756285101175,0.10852386336773634,0.0,22.81785297393799,25.001953125,23.999372482299805,27.193359375,1,0
generate,0.6,7,4,32,32,13364,3277,5.748795008286834,5.56638390373501,570.0325016418633,0.010118941776454449,3.9890452483668923,1.1656922455877066,0.09951691329479218,0.0,23.284428596496582,25.986328125,24.55355215072632,27.87890625,1,0
generate,0.6,7,5,32,32,14776,3139,6.084828213788569,5.258981663194068,515.8732325239431,0.010793246328830719,4.212955489754677,1.268062537536025,0.10158570669591427,0.0,23.858670234680176,26.892578125,25.235737800598145,28.921875,1,0
hidden_state_write,0.6,7,0,32,32,0,0,0.004297496750950813,,,0.0,0.0,0.0,0.0,0.004297496750950813,16.477303504943848,16.634765625,19.738133430480957,28.658203125,0,0
