phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,32,32,8236,1975,16.49067624658346,1.9404904639147083,119.76464581973589,0.012757706455886364,13.01395518053323,1.546522785909474,0.7651938237249851,0.0,5.206839084625244,7.158203125,9.466643810272217,10.814453125,1,0
generate,0.1,7,2,32,32,10007,2127,18.503973193466663,1.7293583202605634,114.94828584981931,0.008678914979100227,14.982304013334215,1.8298698822036386,0.42185849510133266,0.0,5.206884860992432,7.158203125,9.98053789138794,12.4921875,1,0
generate,0.1,7,3,32,32,12310,2043,14.465848591178656,2.2121066592328194,141.2291845253953,0.013942581601440907,11.150751386769116,1.8801330784335732,0.38278218172490597,0.0,5.206915378570557,7.158203125,8.65141248703003,11.64453125,1,0
generate,0.1,7,4,32,32,14810,2054,16.870775029063225,1.8967711883344844,121.74900065121972,0.01309491228312254,12.860512459650636,2.2809579260647297,0.56874870788306,0.0,5.206961154937744,7.158203125,8.836443424224854,12.837890625,1,0
generate,0.1,7,5,32,32,17081,1823,14.657988834194839,2.1831098632950865,124.36904002459197,0.015983669087290764,11.026935274712741,2.410330407321453,0.2744858209043741,0.0,5.207006931304932,7.158203125,9.182750701904297,13.529296875,1,0
generate,0.1,7,6,32,32,18912,1876,14.441953056491911,2.2157667924017685,129.89932820455368,0.015886143781244755,11.236619150266051,2.048805171623826,0.26909565459936857,0.0,5.207037448883057,7.158203125,9.56754732131958,12.30859375,1,0
generate,0.1,7,7,32,32,20631,1760,15.430540734902024,2.073809372578879,114.05951549183834,0.015563910827040672,11.445842007175088,2.760034814476967,0.30769186466932297,0.0,5.207056522369385,7.158203125,9.807528018951416,13.4453125,1,0
generate,0.1,7,8,32,32,22238,1916,18.7517628101632,1.7065062268522528,102.17706033277864,0.0156290577724576,14.419288626872003,2.6438872646540403,0.37039091903716326,0.0,5.207090854644775,7.158203125,10.243054866790771,16.333984375,1,0
generate,0.1,7,9,32,32,23898,1902,19.331482495181262,1.6553308835976033,98.38872939383255,0.01969792414456606,14.961751614697278,2.9598521003499627,0.29434674605727196,0.0,5.207132816314697,7.158203125,10.77377700805664,17.033203125,1,0
generate,0.1,7,10,32,32,25599,1856,19.622663686051965,1.6307673877500128,94.58450848950075,0.02022493537515402,14.812114369124174,3.244985992088914,0.355636578053236,0.0,5.2071709632873535,7.158203125,11.253323078155518,17.458984375,1,0
hidden_state_write,0.1,7,0,32,32,0,0,0.009450714103877544,,,0.0,0.0,0.0,0.0,0.009450714103877544,5.206690311431885,7.158203125,11.253323078155518,17.458984375,0,0
generate,0.1,7,1,32,32,8111,2197,19.739523260854185,1.6211131128713627,111.2995471555745,0.009715036489069462,16.2212546588853,1.6470456086099148,0.2597391903400421,0.0,5.20684289932251,7.158203125,11.11285924911499,14.521484375,1,0
generate,0.1,7,2,32,32,10126,2122,14.63867284823209,2.185990515107702,144.95849603307948,0.009806524030864239,11.401469938457012,1.694513256661594,0.3270874097943306,0.0,5.206888675689697,7.158203125,8.968869686126709,11.15234375,1,0
generate,0.1,7,3,32,32,12743,2139,14.859022279269993,2.153573727703713,143.95294386119505,0.011070949025452137,11.45332644879818,2.045045359991491,0.3299751868471503,0.0,5.206934452056885,7.158203125,8.742211818695068,12.4609375,1,0
generate,0.1,7,4,32,32,15196,1980,17.139456407167017,1.8670370424711318,115.52291700290128,0.012522583827376366,13.425529902800918,2.2820994118228555,0.32721833419054747,0.0,5.206976413726807,7.158203125,9.09087324142456,12.51171875,1,0
generate,0.1,7,5,32,32,17282,1990,18.917543724179268,1.691551528388938,105.19336067168707,0.013830202631652355,14.844301965087652,2.6043158136308193,0.2692950554192066,0.0,5.2070183753967285,7.158203125,9.328149795532227,15.49609375,1,0
generate,0.1,7,6,32,32,19200,2004,19.005675479769707,1.6837075869290674,105.44218763143286,0.016616315580904484,14.844188971444964,2.7599548948928714,0.2719190865755081,0.0,5.207041263580322,7.158203125,9.618563175201416,14.927734375,1,0
generate,0.1,7,7,32,32,21030,2029,18.578094897791743,1.7224586361545409,109.21464289867386,0.016215967014431953,14.259814801625907,2.9595658015459776,0.2897771717980504,0.0,5.207075595855713,7.158203125,10.04760456085205,16.06640625,1,0
generate,0.1,7,8,32,32,22817,2104,20.81681323517114,1.5372189603898765,101.07214664563438,0.016516766510903835,16.089384802617133,3.2772560277953744,0.30226839799433947,0.0,5.207113742828369,7.158203125,10.529019832611084,16.900390625,1,0
generate,0.1,7,9,32,32,24611,2044,23.38805945776403,1.368219542018357,87.39502324642254,0.018248101696372032,18.304047440178692,3.615293236449361,0.2635122071951628,0.0,5.207159519195557,7.158203125,11.107954502105713,17.880859375,1,0
generate,0.1,7,10,32,32,26394,2105,25.40518305450678,1.2595854921156857,82.85710815323495,0.019345436245203018,19.74369281809777,4.129966100677848,0.2655365997925401,0.0,5.207224369049072,7.158203125,11.932164669036865,19.197265625,1,0
hidden_state_write,0.1,7,0,32,32,0,0,0.0056673577055335045,,,0.0,0.0,0.0,0.0,0.0056673577055335045,5.206690311431885,7.158203125,11.932164669036865,19.197265625,0,0
generate,0.1,7,1,32,32,8262,2463,17.18517288286239,1.8620702985136353,143.32122328872137,0.009154336526989937,13.78330877237022,1.582686010748148,0.35058582946658134,0.0,5.206839084625244,7.158203125,10.097940921783447,11.2578125,1,0
generate,0.1,7,2,32,32,10569,1986,15.608270035125315,2.0501951803746508,127.24023838200175,0.010101285763084888,12.355181123130023,1.928636772558093,0.2581349778920412,0.0,5.206907749176025,7.158203125,8.922031879425049,11.765625,1,0
generate,0.1,7,3,32,32,12882,2223,16.66077374946326,1.9206791041761133,133.42717651823438,0.010801183991134167,12.745286080986261,2.3099408727139235,0.4065155182033777,0.0,5.206980228424072,7.158203125,8.8476881980896,12.2421875,1,0
generate,0.1,7,4,32,32,15572,2046,16.289120404049754,1.9645014099131008,125.60530889631889,0.015106203965842724,12.322667320258915,2.6552014965564013,0.31620255019515753,0.0,5.207041263580322,7.158203125,9.618563175201416,14.416015625,1,0
generate,0.1,7,5,32,32,17625,1980,17.691845876164734,1.8087428651586812,111.9159647816934,0.014327717013657093,13.36775407474488,3.0034807231277227,0.3203279320150614,0.0,5.207090854644775,7.158203125,10.243054866790771,16.107421875,1,0
generate,0.1,7,6,32,32,19526,1888,17.813871634192765,1.7963529016666837,105.98482119833433,0.017508624121546745,13.158769184723496,3.17439201567322,0.28889394272118807,0.0,5.207117557525635,7.158203125,10.577182292938232,16.42578125,1,0
generate,0.1,7,7,32,32,21309,2075,20.35218827240169,1.572312498867415,101.95463859843395,0.018827440217137337,15.456123447045684,3.4476807601749897,0.3525162786245346,0.0,5.207144260406494,7.158203125,10.914426803588867,17.181640625,1,0
generate,0.1,7,8,32,32,23137,2040,21.34688765462488,1.4990475669209364,95.5642823912097,0.01678541023284197,16.27808696962893,3.6650243997573853,0.31246990617364645,0.0,5.2071709632873535,7.158203125,11.253323078155518,17.685546875,1,0
generate,0.1,7,9,32,32,24907,1949,22.080027729272842,1.449273542241781,88.26981668216347,0.017511787824332714,16.607929600402713,3.8689886927604675,0.2898872885853052,0.0,5.207197666168213,7.158203125,11.589476585388184,18.0703125,1,0
generate,0.1,7,10,32,32,26616,1965,23.185448959469795,1.3801759912408345,84.7514319621325,0.022448064759373665,17.392791897058487,4.134781884029508,0.3239993089810014,0.0,5.207235813140869,7.158203125,12.072112560272217,18.9453125,1,0
hidden_state_write,0.1,7,0,32,32,0,0,0.0072618573904037476,,,0.0,0.0,0.0,0.0,0.0072618573904037476,5.206690311431885,7.158203125,12.072112560272217,18.9453125,0,0
generate,0.1,7,1,32,32,8283,2202,17.658433153294027,1.8121653106029216,124.69962543586355,0.009486722759902477,14.729323584586382,1.3785493317991495,0.22160594165325165,0.0,5.206839084625244,7.158203125,10.399216175079346,11.46875,1,0
generate,0.1,7,2,32,32,10117,1987,14.191283959895372,2.254905200292809,140.0155197806816,0.00946453120559454,11.337360297329724,1.6305908439680934,0.18133982084691525,0.0,5.206873416900635,7.158203125,8.879482746124268,10.40234375,1,0
