run_id,brier,auc,n,scope
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.07868696613358403,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.1472494184502077,0.8888888888888888,10,per_run_oof
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.09532893520882756,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.04520066140949229,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.26456587035259616,0.48,10,per_run_oof
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.2882670866534092,0.7083333333333334,10,per_run_oof
qwen2p5_7b__gsm8k_train_00002_ae407466__temp0.10__seed7,0.1281241490129785,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00002_ae407466__temp0.60__seed7,0.042578454516656594,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00002_ae407466__temp1.00__seed7,0.12009185989927822,0.9166666666666667,10,per_run_oof
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.0987143994398316,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.15872364335570902,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.10771687237407893,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.3259142608266925,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.17337930624560458,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.32727480521769614,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00005_d0817615__temp0.10__seed7,0.06532995632985608,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00005_d0817615__temp0.60__seed7,0.2552550516336469,0.8095238095238095,10,per_run_oof
qwen2p5_7b__gsm8k_train_00005_d0817615__temp1.00__seed7,0.21771181374376805,0.5714285714285714,10,per_run_oof
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.16066546995472394,0.875,10,per_run_oof
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.04639943691533486,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.11736066942845184,0.9375,10,per_run_oof
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.15317493482556616,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.11140008368707607,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.05101155954738977,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.053097263909117995,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.04330306926054003,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.10946778277516829,0.9047619047619048,10,per_run_oof
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.11309832128529931,0.8333333333333334,10,per_run_oof
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.10560733677159846,0.9523809523809524,10,per_run_oof
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.14465538916253604,0.9047619047619049,10,per_run_oof
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.3384104641791281,0.6666666666666667,10,per_run_oof
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.3352889852768194,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.0842257027971919,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00011_127045f3__temp0.10__seed7,0.10548286991329048,0.9375,10,per_run_oof
