phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,32,32,8236,1812,7.5578696597367525,4.233997335317183,239.75009911233553,0.01210792362689972,5.470535402186215,0.7585756862536073,0.2632507476955652,0.0,14.258582592010498,14.48828125,18.081276416778564,21.919921875,1,0
generate,0.1,7,2,32,32,9968,2003,6.468400499783456,4.947127191810599,309.6592426623946,0.009623951278626919,4.385482042096555,0.7698867153376341,0.306535629555583,0.0,14.25862455368042,14.48828125,17.769922733306885,22.365234375,1,0
generate,0.1,7,3,32,32,11988,1997,6.268273090943694,5.105074322022299,318.5885444087041,0.010692482814192772,4.198006425052881,0.848992713727057,0.29543639719486237,0.0,14.258655071258545,14.48828125,17.455219745635986,22.658203125,1,0
generate,0.1,7,4,32,32,14039,1905,6.087643580511212,5.256549529680709,312.9289641888047,0.0108265932649374,4.03716086409986,0.9419723302125931,0.24351913947612047,0.0,14.258693218231201,14.48828125,17.519243240356445,22.873046875,1,0
generate,0.1,7,5,32,32,15700,1808,7.221646043471992,4.431122739520917,250.35843478293177,0.014107851311564445,4.943195174448192,1.0602964656427503,0.23466180730611086,0.0,14.25871992111206,14.48828125,17.852627277374268,24.451171875,1,0
generate,0.1,7,6,32,32,17205,1645,5.856040668673813,5.464442924923688,280.9065191093583,0.01324514765292406,3.773094793781638,1.123592241667211,0.17441830318421125,0.0,14.258758068084717,14.48828125,18.33183002471924,23.32421875,1,0
generate,0.1,7,7,32,32,18562,1738,7.314636746421456,4.374790042124153,237.60578416286805,0.01331610418856144,4.949385295622051,1.2420714488252997,0.1610698401927948,0.0,14.25878095626831,14.48828125,18.622294902801514,25.0546875,1,0
generate,0.1,7,8,32,32,20012,1646,6.717300668358803,4.763818322251513,245.0389049508122,0.01539572048932314,4.416319880634546,1.3051578802987933,0.15013763774186373,0.0,14.258811473846436,14.48828125,19.006772994995117,24.3046875,1,0
generate,0.1,7,9,32,32,21370,1648,7.229706806130707,4.426182258575738,227.94838631665053,0.0140420226380229,4.797072541899979,1.416614392772317,0.14870579168200493,0.0,14.25884199142456,14.48828125,19.3918137550354,25.033203125,1,0
generate,0.1,7,10,32,32,22762,1622,7.411732786335051,4.317478911139124,218.84221230836434,0.016441586427390575,4.872709625400603,1.5066769374534488,0.15005396213382483,0.0,14.258872509002686,14.48828125,19.777098655700684,25.591796875,1,0
hidden_state_write,0.1,7,0,32,32,0,0,0.0057491641491651535,,,0.0,0.0,0.0,0.0,0.0057491641491651535,14.258433818817139,14.48828125,19.777098655700684,25.591796875,0,0
generate,0.1,7,1,32,32,8111,1715,4.9301277650520205,6.4907039989586055,347.86116744418774,0.009102730080485344,3.2061968306079507,0.6159137999638915,0.2795707993209362,0.0,14.258586406707764,14.48828125,17.123045444488525,20.6875,1,0
generate,0.1,7,2,32,32,9753,2121,6.753756917081773,4.7381036055746675,314.04742960699593,0.008975950069725513,4.52562770806253,0.8057732488960028,0.4019695492461324,0.0,14.258632183074951,14.48828125,17.93824529647827,22.79296875,1,0
generate,0.1,7,3,32,32,11902,1809,5.393787584267557,5.932751243919332,335.38584375781477,0.010026593692600727,3.4820749275386333,0.8526763310655951,0.27013449743390083,0.0,14.258666515350342,14.48828125,17.17896604537964,22.025390625,1,0
generate,0.1,7,4,32,32,13542,1763,6.285958657972515,5.090711177270348,280.46636892273824,0.010548085905611515,4.228222775273025,0.9214254086837173,0.23262930754572153,0.0,14.258681774139404,14.48828125,17.374170303344727,23.28125,1,0
generate,0.1,7,5,32,32,15011,1652,5.4087949777022,5.916290066811601,305.42847469914886,0.011773691512644291,3.5221043527126312,0.9460465107113123,0.18877479247748852,0.0,14.258700847625732,14.48828125,17.614755630493164,22.564453125,1,0
generate,0.1,7,6,32,32,16377,1703,5.499612409621477,5.818591860040273,309.6581855515183,0.011583438143134117,3.536394352093339,1.0026486851274967,0.2142772376537323,0.0,14.25871992111206,14.48828125,17.852627277374268,22.5390625,1,0
generate,0.1,7,7,32,32,17790,1575,5.027563573792577,6.364912055375679,313.27301522552165,0.011837106198072433,3.1691534388810396,1.033097811974585,0.14569498877972364,0.0,14.258735179901123,14.48828125,18.041576862335205,22.1640625,1,0
generate,0.1,7,8,32,32,19077,1611,5.54075223300606,5.775389090560152,290.7547445278876,0.011192462407052517,3.5383186666294932,1.095329962670803,0.16647683922201395,0.0,14.258754253387451,14.48828125,18.28865337371826,23.10546875,1,0
generate,0.1,7,9,32,32,20400,1554,6.19012388586998,5.169524970743395,251.04505639172612,0.013176634907722473,3.4426450803875923,1.840801103040576,0.15150185022503138,0.0,14.258777141571045,14.48828125,18.575778484344482,23.154296875,1,0
generate,0.1,7,10,32,32,21698,1589,10.965853684581816,2.9181494592612123,144.90435908643957,0.013135982677340508,7.4865279998630285,2.62123682256788,0.1697210604324937,0.0,14.258803844451904,14.48828125,18.911527633666992,23.708984375,1,0
hidden_state_write,0.1,7,0,32,32,0,0,0.002861504442989826,,,0.0,0.0,0.0,0.0,0.002861504442989826,14.258433818817139,14.48828125,18.911527633666992,23.708984375,0,0
generate,0.1,7,1,32,32,8262,1910,9.636274701915681,3.320785364663632,198.20937645336056,0.008002782240509987,7.190311294980347,1.2717715380713344,0.3010333562269807,0.0,14.258582592010498,14.48828125,17.34008264541626,20.8671875,1,0
generate,0.1,7,2,32,32,10125,2039,12.286262456327677,2.604534952248179,165.95771148856366,0.009504822082817554,9.299399049952626,1.59267464466393,0.3530283682048321,0.0,14.258616924285889,14.48828125,18.040603160858154,22.64453125,1,0
generate,0.1,7,3,32,32,12163,2063,12.706248916685581,2.518445861545988,162.36105663654294,0.010675185360014439,9.81036318372935,1.5427440321072936,0.4015856580808759,0.0,14.258681774139404,14.48828125,17.604628086090088,23.58203125,1,0
generate,0.1,7,4,32,32,14146,1877,12.170784058980644,2.629247207486823,154.22178151414897,0.011276817880570889,8.830734483897686,2.1248769676312804,0.3494968544691801,0.0,14.258716106414795,14.48828125,17.804850101470947,23.822265625,1,0
generate,0.1,7,5,32,32,15808,1740,11.421027459204197,2.8018494933405687,152.35056620039342,0.011818880215287209,8.054694146849215,2.2984034325927496,0.2304993411526084,0.0,14.258735179901123,14.48828125,18.041576862335205,22.638671875,1,0
generate,0.1,7,6,32,32,17276,1776,13.712555832229555,2.3336276906736977,129.5163368323902,0.014662290923297405,10.058241571299732,2.4275122806429863,0.2485261233523488,0.0,14.258754253387451,14.48828125,18.28865337371826,24.837890625,1,0
