run_id,brier,auc,n,scope
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.11170490987497698,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.16465961581221084,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.24334864258249805,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.1355835303913604,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.23192627250278158,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.1920349710439233,0.8571428571428571,10,per_run_oof
qwen2p5_7b__gsm8k_train_00002_ae407466__temp0.10__seed7,0.11774372406932246,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00002_ae407466__temp0.60__seed7,0.09101901062341866,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00002_ae407466__temp1.00__seed7,0.12286913846534468,0.9523809523809524,10,per_run_oof
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.11793731764444301,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.16144898275965494,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.14075846510868356,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.2485005246529147,0.33333333333333337,10,per_run_oof
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.20675218294601616,0.8095238095238095,10,per_run_oof
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.21374450413349547,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00005_d0817615__temp0.10__seed7,0.11805906005980918,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00005_d0817615__temp0.60__seed7,0.19674936756023062,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00005_d0817615__temp1.00__seed7,0.15697553839999528,0.7500000000000001,10,per_run_oof
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.12694244486141038,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.09661341392328972,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.15849507008609942,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.16609756078780274,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.21786261880871746,0.7777777777777778,10,per_run_oof
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.15705671126994966,0.8888888888888888,10,per_run_oof
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.539343919979315,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.20310660108984857,0.7777777777777778,10,per_run_oof
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.21353621853699623,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.0638306911611737,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.2906059366681949,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.1962462629490201,0.875,10,per_run_oof
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.07310931618608615,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.12465920947846705,0.9523809523809524,10,per_run_oof
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.14321700693275244,0.9166666666666667,10,per_run_oof
qwen2p5_7b__gsm8k_train_00011_127045f3__temp0.10__seed7,0.19395359662389042,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00011_127045f3__temp0.60__seed7,0.1022473320548037,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00011_127045f3__temp1.00__seed7,0.13639518814154938,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.21881601382151666,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.30834160951951006,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.09947797650309405,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.15116900835984842,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.13677134991513823,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.18001189154583447,0.8888888888888888,10,per_run_oof
qwen2p5_7b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.08724770199981721,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00014_f0103a9f__temp0.60__seed7,0.1995795604643664,0.9047619047619049,10,per_run_oof
qwen2p5_7b__gsm8k_train_00014_f0103a9f__temp1.00__seed7,0.15794190415548762,0.875,10,per_run_oof
qwen2p5_7b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,0.15180175484522218,0.9600000000000001,10,per_run_oof
qwen2p5_7b__gsm8k_train_00015_20b7f79a__temp0.60__seed7,0.10695667805469929,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00015_20b7f79a__temp1.00__seed7,0.2861742105996625,0.6666666666666666,10,per_run_oof
qwen2p5_7b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,0.06384690640226187,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00016_0cef7ca3__temp0.60__seed7,0.10396995124627298,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00016_0cef7ca3__temp1.00__seed7,0.11808471658266798,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00017_89d492f6__temp0.10__seed7,0.30746068975503876,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00017_89d492f6__temp0.60__seed7,0.3442520987442955,,10,per_run_oof
qwen2p5_7b__gsm8k_train_00017_89d492f6__temp1.00__seed7,0.07404462826718697,1.0,10,per_run_oof
qwen2p5_7b__gsm8k_train_00018_86b6a534__temp0.10__seed7,0.32931325162780833,,10,per_run_oof
