phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,4,4,949,2048,6.100087852217257,0.6557282611177611,335.73286969229366,0.013568110764026642,5.306983817368746,0.03388482704758644,0.27207488287240267,0.0,3.5129809379577637,3.70703125,4.382884502410889,4.783203125,1,0
generate,0.6,7,2,4,4,1197,2026,5.048863226547837,0.7922575479896693,401.2784480567675,0.003075702115893364,4.410048532299697,0.03669614437967539,0.19821880105882883,0.0,3.5368809700012207,3.79296875,4.406789302825928,4.845703125,1,0
generate,0.6,7,3,4,4,1428,2000,4.930986309424043,0.8111967361084024,405.59836805420116,0.003276190720498562,4.1567879263311625,0.04360330756753683,0.2913046348839998,0.0,3.555469036102295,3.8203125,4.425380229949951,4.8828125,1,0
generate,0.6,7,4,4,4,1677,2037,5.228359485045075,0.7650583345390441,389.60595686400825,0.002829623408615589,4.376247056759894,0.04488869197666645,0.3191676139831543,0.0,3.579369068145752,3.8671875,4.44928503036499,4.947265625,1,0
generate,0.6,7,5,4,4,1911,2048,4.83972174115479,0.8264937973573607,423.1648242469687,0.0030237939208745956,4.050305736251175,0.046429768204689026,0.2948309723287821,0.0,3.6006131172180176,3.896484375,4.4705328941345215,4.927734375,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.00272959191352129,,,0.0,0.0,0.0,0.0,0.00272959191352129,3.343043804168701,3.52734375,4.2218756675720215,4.76953125,0,0
generate,0.6,7,1,4,4,990,2048,4.033185007981956,0.9917720094872216,507.78726885745743,0.002152550034224987,3.2679720148444176,0.03412277437746525,0.2700261501595378,0.0,3.52085542678833,3.716796875,4.3907599449157715,4.798828125,1,0
generate,0.6,7,2,4,4,1228,2048,5.570209119468927,0.7181058940891911,367.67021777366585,0.002629954367876053,4.572285142727196,0.03568908665329218,0.2700127512216568,0.0,3.542191982269287,3.80078125,4.4121012687683105,4.87890625,1,0
generate,0.6,7,3,4,4,1497,2048,5.316319303587079,0.752400255060128,385.2289305907855,0.002489393576979637,4.46081848628819,0.03951181843876839,0.29311554692685604,0.0,3.5634360313415527,3.828125,4.433349132537842,4.8984375,1,0
generate,0.6,7,4,4,4,1771,2048,5.876550300046802,0.6806714476634605,348.5037812036918,0.0025070002302527428,4.750756842084229,0.044644217006862164,0.34635426476597786,0.0,3.5846800804138184,3.873046875,4.454596996307373,4.953125,1,0
generate,0.6,7,5,4,4,2082,2048,5.8812184585258365,0.6801311714924163,348.22715980411715,0.004069428890943527,5.0062573021277785,0.04740182217210531,0.30187647696584463,0.0,3.618010997772217,3.8671875,4.48793363571167,4.91015625,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.0008811485022306442,,,0.0,0.0,0.0,0.0,0.0008811485022306442,3.343043804168701,3.52734375,4.22243070602417,4.740234375,0,0
generate,0.6,7,1,4,4,997,2033,5.27457567024976,0.7583548421840336,385.43384854003506,0.0026643862947821617,4.464940753765404,0.03551869373768568,0.30150853656232357,0.0,3.530745029449463,3.748046875,4.400651454925537,4.798828125,1,0
