phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,4,4,977,309,3.0089373094961047,1.3293729940388372,102.69406378950018,0.009198443964123726,2.568728477694094,0.0696974378079176,0.06586828734725714,0.0,14.518641948699951,14.689453125,14.790939807891846,15.16796875,1,0
generate,0.6,7,2,4,4,1156,266,1.2235342403873801,3.269217867359045,217.4029881793765,0.001995316706597805,0.8548141177743673,0.07040083967149258,0.04555660206824541,0.0,14.531768321990967,14.7265625,14.690868854522705,14.974609375,1,0
generate,0.6,7,3,4,4,1293,285,1.1520681073889136,3.472016953117239,247.3812079096033,0.0015775198116898537,0.7808211436495185,0.07339849602431059,0.04603204410523176,0.0,14.554269313812256,14.75390625,14.729284286499023,15.009765625,1,0
generate,0.6,7,4,4,4,1432,285,1.4014229886233807,2.854241747474975,203.36472450759197,0.002255525439977646,0.9991336325183511,0.08881377428770065,0.06520857010036707,0.0,14.591914653778076,14.82421875,14.78639554977417,15.12109375,1,0
generate,0.6,7,5,4,4,1570,272,1.1845106855034828,3.376921836969143,229.63068491390172,0.002582053653895855,0.8457114668563008,0.08911759778857231,0.046960653737187386,0.0,14.603833675384521,14.859375,14.805577754974365,15.16796875,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.006414888426661491,,,0.0,0.0,0.0,0.0,0.006414888426661491,14.258433818817139,14.384765625,14.573852062225342,14.955078125,0,0
generate,0.6,7,1,4,4,1018,248,1.2174273626878858,3.2856169678728406,203.70825200811612,0.002271008677780628,0.8219916308298707,0.06114427838474512,0.08634852431714535,0.0,14.49928331375122,14.6875,14.639805793762207,14.9140625,1,0
generate,0.6,7,2,4,4,1133,258,1.1600478189066052,3.4481337189790775,222.4046248741505,0.0018016556277871132,0.7839610520750284,0.06895257346332073,0.06566389091312885,0.0,14.517096042633057,14.71484375,14.668038845062256,14.953125,1,0
generate,0.6,7,3,4,4,1256,284,1.4215977303683758,2.8137354995378954,199.77522046719056,0.0039043519645929337,1.0240977490320802,0.07400341052561998,0.06143601518124342,0.0,14.549622058868408,14.744140625,14.7196044921875,15.021484375,1,0
generate,0.6,7,4,4,4,1395,290,1.2152225840836763,3.2915780634674023,238.6394096013867,0.002329966053366661,0.8443806162104011,0.08072126377373934,0.051569489762187004,0.0,14.568983554840088,14.771484375,14.75043249130249,15.0390625,1,0
generate,0.6,7,5,4,4,1530,254,1.2731114206835628,3.141908818830883,199.51120999576108,0.0028443271294236183,0.8447523908689618,0.08911353163421154,0.08560222759842873,0.0,14.597683429718018,14.82421875,14.79783296585083,15.103515625,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.0010017603635787964,,,0.0,0.0,0.0,0.0,0.0010017603635787964,14.258433818817139,14.384765625,14.569232940673828,14.966796875,0,0
generate,0.6,7,1,4,4,1025,243,1.1118477806448936,3.5976147721227822,218.555097406459,0.0024801911786198616,0.7296722615137696,0.0700010722503066,0.05922607704997063,0.0,14.526389598846436,14.7265625,14.6827712059021,14.9609375,1,0
generate,0.6,7,2,4,4,1146,291,1.3006122428923845,3.0754746634589143,223.74078176663602,0.0023543648421764374,0.897403840906918,0.08120841346681118,0.06035865191370249,0.0,14.556592464447021,14.75390625,14.731699466705322,15.015625,1,0
generate,0.6,7,3,4,4,1286,246,1.0818991148844361,3.6972023962024068,227.377947366448,0.002561432309448719,0.7183107612654567,0.08130703959614038,0.04445956088602543,0.0,14.577495098114014,14.8125,14.765074729919434,15.0703125,1,0
generate,0.6,7,4,4,4,1404,264,1.1714520053938031,3.414565839302425,225.36134539396002,0.002483256161212921,0.7833072831854224,0.08843339327722788,0.04916037432849407,0.0,14.6030592918396,14.859375,14.804349899291992,15.1640625,1,0
generate,0.6,7,5,4,4,1535,263,1.1317046955227852,3.534490946114013,232.39277970699635,0.0030265692621469498,0.7577939853072166,0.09035535994917154,0.046593913808465004,0.0,14.62636137008667,14.806640625,14.841275215148926,15.166015625,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.00042357295751571655,,,0.0,0.0,0.0,0.0,0.00042357295751571655,14.258433818817139,14.384765625,14.597852230072021,15.03125,0,0
generate,0.6,7,1,4,4,1032,243,1.123282321728766,3.5609925684968293,216.33029853618237,0.002156105823814869,0.7652633916586637,0.06918696314096451,0.0461155092343688,0.0,14.515547275543213,14.708984375,14.665629863739014,14.935546875,1,0
generate,0.6,7,2,4,4,1160,267,1.2684021843597293,3.1535738816305656,210.50105659884028,0.0022049499675631523,0.8859783643856645,0.07443961314857006,0.0609021857380867,0.0,14.544201374053955,14.73828125,14.71296739578247,14.994140625,1,0
generate,0.6,7,3,4,4,1293,286,1.2783081568777561,3.129135943065501,223.73321992918332,0.0030098147690296173,0.8804210480302572,0.08187867607921362,0.06928644236177206,0.0,14.576052188873291,14.806640625,14.760550022125244,15.078125,1,0
generate,0.6,7,4,4,4,1428,267,1.2341981595382094,3.2409706408058896,216.33479027379312,0.004781304858624935,0.8562348447740078,0.08714187145233154,0.04455059673637152,0.0,14.599960803985596,14.80078125,14.800202369689941,15.171875,1,0
generate,0.6,7,5,4,4,1558,247,1.1542526269331574,3.465445870916471,213.99128252909208,0.0019155973568558693,0.7745154770091176,0.08872101455926895,0.04757543280720711,0.0,14.620947360992432,14.810546875,14.83373498916626,15.12109375,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.0006257453933358192,,,0.0,0.0,0.0,0.0,0.0006257453933358192,14.258433818817139,14.384765625,14.5908203125,15.03125,0,0
generate,0.6,7,1,4,4,1078,249,1.076017564162612,3.717411437528825,231.40886198616934,0.0020870640873908997,0.7417590292170644,0.06646302808076143,0.04141746927052736,0.0,14.510125637054443,14.69921875,14.656991481781006,14.92578125,1,0
generate,0.6,7,2,4,4,1208,411,2.8651539692655206,1.3960855307979823,143.44778828949268,0.0022788094356656075,2.3414561934769154,0.0876805679872632,0.10457583051174879,0.0,14.596999645233154,14.767578125,14.992122173309326,15.35546875,1,0
generate,0.6,7,3,4,4,1385,257,1.0846603475511074,3.687790384364103,236.94053219539362,0.0022182995453476906,0.7319104019552469,0.07835562340915203,0.041515644639730453,0.0,14.563951969146729,14.771484375,14.742098331451416,15.0234375,1,0
generate,0.6,7,4,4,4,1507,289,1.2062892960384488,3.315954152238872,239.5776874992585,0.0021471623331308365,0.8379052355885506,0.08543334528803825,0.041138471104204655,0.0,14.599186420440674,14.80078125,14.799396991729736,15.169921875,1,0
generate,0.6,7,5,4,4,1649,272,1.297612194903195,3.082585086446733,209.61578587837784,0.002333773300051689,0.9157976163551211,0.08854418992996216,0.04392792470753193,0.0,14.624742984771729,14.880859375,14.838748455047607,15.208984375,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.00044859014451503754,,,0.0,0.0,0.0,0.0,0.00044859014451503754,14.258433818817139,14.384765625,14.5908203125,15.048828125,0,0
generate,0.6,7,1,4,4,1083,258,1.1462878687307239,3.4895248472176283,225.07435264553703,0.0022399621084332466,0.7660263339057565,0.06746312417089939,0.062037525698542595,0.0,14.516321659088135,14.71484375,14.6668119430542,14.94921875,1,0
generate,0.6,7,2,4,4,1209,331,2.199725814163685,1.8184084462911858,150.47329893059563,0.0027806712314486504,1.7865922786295414,0.08412553835660219,0.06654376816004515,0.0,14.582146167755127,14.76171875,14.888072490692139,15.255859375,1,0
generate,0.6,7,3,4,4,1405,251,1.144645942375064,3.4945303625505955,219.28178025004988,0.001785612665116787,0.7317553097382188,0.0838346928358078,0.08907508477568626,0.0,14.583983898162842,14.818359375,14.773473739624023,15.083984375,1,0
generate,0.6,7,4,4,4,1529,272,1.400851565413177,2.8554060249918143,194.16760969944335,0.002024129033088684,1.0313953598961234,0.08596593234688044,0.05050323344767094,0.0,14.613126277923584,14.865234375,14.820319175720215,15.20703125,1,0
generate,0.6,7,5,4,4,1662,257,1.185984943062067,3.3727241002507946,216.69752344111356,0.002478448674082756,0.8313872134312987,0.0866827741265297,0.043161869049072266,0.0,14.631152629852295,14.875,14.850137710571289,15.17578125,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.0005787676200270653,,,0.0,0.0,0.0,0.0,0.0005787676200270653,14.258433818817139,14.384765625,14.597852230072021,15.029296875,0,0
