phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,4,4,1254,372,2.611734044738114,1.5315495113519844,142.43410455573454,0.008698196150362492,2.144413413479924,0.08781256433576345,0.07829513307660818,0.0,14.593356609344482,14.82421875,14.788744926452637,15.20703125,1,0
generate,0.6,7,2,4,4,1424,402,2.1017270470038056,1.9031967094406228,191.27126929878258,0.0023046592250466347,1.6244525015354156,0.10021227970719337,0.08593130018562078,0.0,14.64565134048462,14.87890625,14.903997898101807,15.38671875,1,0
generate,0.6,7,3,4,4,1636,318,1.38557452801615,2.88688909843569,229.50768332563734,0.0033399779349565506,1.0059451321139932,0.0968637689948082,0.04444096237421036,0.0,14.66733694076538,14.93359375,14.906760215759277,15.3046875,1,0
generate,0.6,7,4,4,4,1795,393,2.2448527235537767,1.7818540869209845,175.06716403998672,0.002667170949280262,1.765593659132719,0.11065458785742521,0.07693090103566647,0.0,14.730064868927002,15.041015625,15.005994319915771,15.61328125,1,0
generate,0.6,7,5,4,4,2022,354,1.4219579342752695,2.8130227368777145,248.95251221367775,0.003100239671766758,1.019402309320867,0.10967595130205154,0.04537509009242058,0.0,14.746330738067627,15.072265625,15.03546953201294,15.46484375,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.002978825941681862,,,0.0,0.0,0.0,0.0,0.002978825941681862,14.258433818817139,14.384765625,14.698498249053955,15.533203125,0,0
generate,0.6,7,1,4,4,978,345,1.5006039310246706,2.6655934436134956,229.90743451166398,0.001963818445801735,1.0919196363538504,0.06462646834552288,0.04750572890043259,0.0,14.512447834014893,14.693359375,14.702867031097412,15.02734375,1,0
generate,0.6,7,2,4,4,1149,294,1.1693403907120228,3.4207319201249526,251.423796129184,0.0018014851957559586,0.7994800014421344,0.06965695600956678,0.04538525640964508,0.0,14.537536144256592,14.73828125,14.700263977050781,14.9921875,1,0
generate,0.6,7,3,4,4,1288,300,1.2223088033497334,3.2724954520805323,245.4371589060399,0.0017769886180758476,0.8489655535668135,0.07670964952558279,0.04818139970302582,0.0,14.563561916351318,14.765625,14.741708278656006,15.03515625,1,0
generate,0.6,7,4,4,4,1423,273,1.3624954232946038,2.9357896779775863,200.36764552197025,0.0022158166393637657,0.8491511614993215,0.08440833166241646,0.14436766505241394,0.0,14.586867809295654,14.818359375,14.780701637268066,15.09375,1,0
generate,0.6,7,5,4,4,1556,272,1.2174107236787677,3.2856618741724346,223.42500744372558,0.0020988211035728455,0.8333798106759787,0.08496078662574291,0.04358199704438448,0.0,14.61157751083374,14.8671875,14.818137168884277,15.181640625,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.0012972904369235039,,,0.0,0.0,0.0,0.0,0.0012972904369235039,14.258433818817139,14.384765625,14.579262733459473,14.9609375,0,0
generate,0.6,7,1,4,4,876,294,1.310506073758006,3.05225597965342,224.34081450452638,0.0019298074766993523,0.948443915694952,0.05692359246313572,0.04516156017780304,0.0,14.482923984527588,14.66015625,14.64978551864624,15.01171875,1,0
generate,0.6,7,2,4,4,1013,340,1.4617417780682445,2.736461432528921,232.59922176495826,0.001729658804833889,1.0925536649301648,0.05795035790652037,0.04705675691366196,0.0,14.506252765655518,14.693359375,14.69667100906372,15.02734375,1,0
generate,0.6,7,3,4,4,1188,269,1.133540479466319,3.528766790828004,237.30956668318328,0.0017204349860548973,0.7815469671040773,0.0659550866112113,0.043174486607313156,0.0,14.531047344207764,14.7265625,14.689695358276367,14.97265625,1,0
generate,0.6,7,4,4,4,1321,274,1.243332864716649,3.217159389502332,220.37541818090972,0.0018486855551600456,0.8382274257019162,0.07174149621278048,0.0600438816472888,0.0,14.555043697357178,14.75390625,14.73008918762207,15.01171875,1,0
generate,0.6,7,5,4,4,1454,259,1.2307906476780772,3.24994344695917,210.43383819060628,0.00249395240098238,0.8106846082955599,0.08452049922198057,0.05747100152075291,0.0,14.585425853729248,14.818359375,14.77582311630249,15.087890625,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.0016729533672332764,,,0.0,0.0,0.0,0.0,0.0016729533672332764,14.258433818817139,14.384765625,14.546875476837158,14.90234375,0,0
generate,0.6,7,1,4,4,1228,351,1.7662109127268195,2.264735186028534,198.73051257400382,0.0031791869550943375,1.3298041736707091,0.09283519070595503,0.05641270708292723,0.0,14.647735118865967,14.8828125,14.87491512298584,15.24609375,1,0
generate,0.6,7,2,4,4,1412,343,1.3232762748375535,3.0228003600314253,259.2051308726947,0.002234053798019886,0.9167282162234187,0.09708604216575623,0.056667658500373363,0.0,14.669661045074463,14.943359375,14.91043758392334,15.302734375,1,0
generate,0.6,7,3,4,4,1563,417,2.498622133396566,1.6008823209144063,166.89198195532686,0.0021460112184286118,1.9871793072670698,0.11042742617428303,0.07168689370155334,0.0,14.73780870437622,15.041015625,15.04839277267456,15.6484375,1,0
generate,0.6,7,4,4,4,1783,286,1.4503366108983755,2.7579804370533663,197.1956012493157,0.003013819456100464,0.9745205277577043,0.12241028808057308,0.08806741610169411,0.0,14.768190860748291,14.982421875,15.069811820983887,15.361328125,1,0
generate,0.6,7,5,4,4,1925,254,1.2854846334084868,3.1116669122632175,197.5908489287143,0.0034438027068972588,0.8689436102285981,0.12300630006939173,0.04533899575471878,0.0,14.794346332550049,15.0234375,15.108657836914062,15.376953125,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.0010028816759586334,,,0.0,0.0,0.0,0.0,0.0010028816759586334,14.258433818817139,14.384765625,14.750432014465332,15.224609375,0,0
generate,0.6,7,1,4,4,970,260,1.115836196579039,3.5847555512747378,233.00911083285797,0.002962973900139332,0.7690994013100863,0.0576336644589901,0.0445967148989439,0.0,14.49928331375122,14.6875,14.639805793762207,14.9140625,1,0
generate,0.6,7,2,4,4,1093,282,1.1155932731926441,3.5855361412790336,252.78029796017188,0.0019270237535238266,0.7579776868224144,0.06595982424914837,0.04358769580721855,0.0,14.53032636642456,14.7265625,14.688520908355713,14.970703125,1,0
generate,0.6,7,3,4,4,1227,295,1.428158943541348,2.800808704163811,206.55964193208106,0.001992901787161827,1.0412645554170012,0.0774458721280098,0.045828779228031635,0.0,14.571305751800537,14.771484375,14.753989219665527,15.130859375,1,0
generate,0.6,7,4,4,4,1377,272,1.29078168887645,3.098897384794609,210.72502216603343,0.0019457219168543816,0.9169840794056654,0.0836615739390254,0.04376866761595011,0.0,14.591193675994873,14.82421875,14.785221099853516,15.119140625,1,0
generate,0.6,7,5,4,4,1510,278,1.1735209170728922,3.4085459763062267,236.89394535328276,0.0016744257882237434,0.7601598333567381,0.08492923993617296,0.05151175241917372,0.0,14.609273433685303,14.802734375,14.81571102142334,15.107421875,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.0013639610260725021,,,0.0,0.0,0.0,0.0,0.0013639610260725021,14.258433818817139,14.384765625,14.579262733459473,15.111328125,0,0
