phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,4,4,1254,372,2.6451975414529443,1.5121743980613618,140.63221901970664,0.01056809164583683,2.133738868869841,0.08649551309645176,0.1313744392246008,0.0,14.593356609344482,14.82421875,14.788744926452637,15.20703125,1,0
generate,0.6,7,2,4,4,1424,402,2.1150227952748537,1.891232571552586,190.0688734410349,0.0033189058303833008,1.616178933531046,0.09670622274279594,0.09706353582441807,0.0,14.64565134048462,14.87890625,14.903997898101807,15.38671875,1,0
generate,0.6,7,3,4,4,1636,318,1.4260007329285145,2.8050476466343586,223.0012879074315,0.0022817477583885193,1.0159502662718296,0.09684218838810921,0.04606200661510229,0.0,14.66733694076538,14.93359375,14.906760215759277,15.3046875,1,0
generate,0.6,7,4,4,4,1795,393,2.2166537884622812,1.804521761954918,177.2942631120707,0.0019428320229053497,1.7055996675044298,0.11106822453439236,0.0876669492572546,0.0,14.730064868927002,15.041015625,15.005994319915771,15.61328125,1,0
generate,0.6,7,5,4,4,2022,354,1.4884427329525352,2.687372454071806,237.8324621853548,0.002885238267481327,1.05388511903584,0.11046470701694489,0.06172091327607632,0.0,14.746330738067627,15.072265625,15.03546953201294,15.46484375,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.002804648131132126,,,0.0,0.0,0.0,0.0,0.002804648131132126,14.258433818817139,14.384765625,14.698498249053955,15.533203125,0,0
generate,0.6,7,1,4,4,978,345,1.5070626931264997,2.654169609694033,228.92212883611035,0.001965755596756935,1.0911083882674575,0.06846159230917692,0.09880106244236231,0.0,14.512447834014893,14.693359375,14.702867031097412,15.02734375,1,0
generate,0.6,7,2,4,4,1149,294,1.2371892547234893,3.233135096128843,237.63542956546996,0.0023974906653165817,0.845378709025681,0.07098203711211681,0.06888815015554428,0.0,14.537536144256592,14.73828125,14.700263977050781,14.9921875,1,0
generate,0.6,7,3,4,4,1288,300,1.1872678129002452,3.3690797952560025,252.68098464420018,0.001726779155433178,0.8488744478672743,0.07641193829476833,0.043933574110269547,0.0,14.563561916351318,14.765625,14.741708278656006,15.03515625,1,0
generate,0.6,7,4,4,4,1423,273,1.1607545586302876,3.446034280253076,235.19183962727243,0.001961800269782543,0.8028786489740014,0.08310892153531313,0.05114706698805094,0.0,14.586867809295654,14.818359375,14.780701637268066,15.09375,1,0
generate,0.6,7,5,4,4,1556,272,1.2202716153115034,3.2779587346042667,222.90119395309011,0.002559371292591095,0.8327322583645582,0.08485639281570911,0.07210895419120789,0.0,14.61157751083374,14.8671875,14.818137168884277,15.181640625,1,0
hidden_state_write,0.6,7,0,4,4,0,0,0.0016298741102218628,,,0.0,0.0,0.0,0.0,0.0016298741102218628,14.258433818817139,14.384765625,14.579262733459473,14.9609375,0,0
generate,0.6,7,1,4,4,876,294,1.2802638486027718,3.1243559711269193,229.64016387782857,0.0017025629058480263,0.9454662129282951,0.05687992088496685,0.056155129335820675,0.0,14.482923984527588,14.66015625,14.64978551864624,15.01171875,1,0
generate,0.6,7,2,4,4,1013,340,1.491609019227326,2.6816678824267606,227.94177000627462,0.0026134131476283073,1.0910722156986594,0.057902769185602665,0.10097374673932791,0.0,14.506252765655518,14.693359375,14.69667100906372,15.02734375,1,0
generate,0.6,7,3,4,4,1188,269,1.1246371092274785,3.5567028396809968,239.18826596854703,0.0015364047139883041,0.7778602400794625,0.06587912421673536,0.04159022681415081,0.0,14.531047344207764,14.7265625,14.689695358276367,14.97265625,1,0
generate,0.6,7,4,4,4,1321,274,1.1290542036294937,3.542788279908504,242.68099717373252,0.00212042685598135,0.7912808367982507,0.07021511159837246,0.04986202251166105,0.0,14.555043697357178,14.75390625,14.73008918762207,15.01171875,1,0
generate,0.6,7,5,4,4,1454,259,1.1438648644834757,3.496916571352371,226.425347995066,0.0018572742119431496,0.7677860800176859,0.08304453454911709,0.04303967300802469,0.0,14.585425853729248,14.818359375,14.77582311630249,15.087890625,1,0
