model,task_source_index,T_c,alpha_mean,beta_mean,alpha_beta_ratio,n_runs
DeepSeek 1.5B,0,1,0.65,0.4666666666666666,1.392857142857143,3
DeepSeek 1.5B,1,1,0.08333333333333333,0.3,0.2777777777777778,3
DeepSeek 1.5B,2,1,0.0,0.0,0.0,3
DeepSeek 1.5B,3,2,0.3,0.16666666666666666,1.8,3
DeepSeek 1.5B,4,2,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,5,2,0.35,0.2833333333333333,1.2352941176470589,3
DeepSeek 1.5B,6,1,0.2,0.2833333333333333,0.7058823529411765,3
DeepSeek 1.5B,7,1,0.2,0.3,0.6666666666666667,3
DeepSeek 1.5B,8,1,0.45,0.4666666666666666,0.9642857142857144,3
DeepSeek 1.5B,9,1,0.2,0.4,0.5,3
DeepSeek 1.5B,10,1,0.08333333333333333,0.2,0.41666666666666663,3
DeepSeek 1.5B,11,1,0.3,0.2833333333333333,1.0588235294117647,3
DeepSeek 1.5B,12,1,0.03333333333333333,0.0,inf,3
DeepSeek 1.5B,13,1,0.35,0.3833333333333333,0.9130434782608696,3
DeepSeek 1.5B,14,2,0.18333333333333332,0.4,0.45833333333333326,3
DeepSeek 1.5B,15,2,0.35,0.2833333333333333,1.2352941176470589,3
DeepSeek 1.5B,16,1,0.03333333333333333,0.0,inf,3
DeepSeek 1.5B,17,1,0.2833333333333333,0.4333333333333333,0.6538461538461539,3
DeepSeek 1.5B,18,1,0.1,0.2,0.5,3
DeepSeek 1.5B,19,2,0.1,0.3,0.33333333333333337,3
DeepSeek 1.5B,20,2,0.1,0.3,0.33333333333333337,3
DeepSeek 1.5B,21,1,0.06666666666666667,0.2,0.3333333333333333,3
DeepSeek 1.5B,22,3,0.35,0.41666666666666663,0.84,3
DeepSeek 1.5B,23,1,0.0,0.0,0.0,3
DeepSeek 1.5B,24,1,0.08333333333333333,0.2,0.41666666666666663,3
DeepSeek 1.5B,25,1,0.3,0.38333333333333336,0.7826086956521738,3
DeepSeek 1.5B,26,2,0.18333333333333332,0.15,1.222222222222222,3
DeepSeek 1.5B,27,1,0.08333333333333333,0.2,0.41666666666666663,3
DeepSeek 1.5B,28,1,0.1,0.3,0.33333333333333337,3
DeepSeek 1.5B,29,1,0.3666666666666666,0.4,0.9166666666666664,3
DeepSeek 1.5B,30,1,0.0,0.0,0.0,3
DeepSeek 1.5B,31,1,0.0,0.0,0.0,3
DeepSeek 1.5B,32,2,0.4,0.45,0.888888888888889,3
DeepSeek 1.5B,33,2,0.4666666666666666,0.4333333333333333,1.0769230769230769,3
DeepSeek 1.5B,34,1,0.0,0.1,0.0,3
DeepSeek 1.5B,35,1,0.13333333333333333,0.3,0.4444444444444445,3
DeepSeek 1.5B,36,2,0.4333333333333333,0.21666666666666665,2.0,3
DeepSeek 1.5B,37,1,0.2833333333333333,0.4,0.7083333333333333,3
DeepSeek 1.5B,38,2,0.18333333333333332,0.25,0.7333333333333333,3
