model,task_source_index,T_c,alpha_mean,beta_mean,alpha_beta_ratio,n_runs
Mistral 7B,0,1,0.1,0.06666666666666667,1.5,3
Mistral 7B,1,2,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,2,1,0.0,0.0,0.0,3
Mistral 7B,3,1,0.0,0.0,0.0,3
Mistral 7B,4,1,0.0,0.0,0.0,3
Mistral 7B,5,1,0.08333333333333333,0.1,0.8333333333333333,3
Mistral 7B,6,1,0.03333333333333333,0.15,0.22222222222222224,3
Mistral 7B,7,2,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,8,1,0.0,0.05,0.0,3
Mistral 7B,9,1,0.1,0.1,1.0,3
Mistral 7B,10,1,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,11,1,0.0,0.0,0.0,3
Mistral 7B,12,1,0.0,0.1,0.0,3
Mistral 7B,13,2,0.15,0.18333333333333332,0.8181818181818182,3
Mistral 7B,14,1,0.36666666666666664,0.18333333333333332,2.0,3
Mistral 7B,15,1,0.03333333333333333,0.0,inf,3
Mistral 7B,16,1,0.0,0.0,0.0,3
Mistral 7B,17,1,0.0,0.0,0.0,3
Mistral 7B,18,1,0.06666666666666667,0.15,0.4444444444444445,3
Mistral 7B,19,3,0.08333333333333333,0.0,inf,3
Mistral 7B,20,1,0.0,0.0,0.0,3
Mistral 7B,21,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,22,1,0.03333333333333333,0.0,inf,3
Mistral 7B,23,1,0.1,0.05,2.0,3
Mistral 7B,24,1,0.06666666666666667,0.2,0.3333333333333333,3
Mistral 7B,25,1,0.1,0.4,0.25,3
Mistral 7B,26,1,0.0,0.0,0.0,3
Mistral 7B,27,1,0.1,0.06666666666666667,1.5,3
Mistral 7B,28,1,0.0,0.0,0.0,3
Mistral 7B,29,1,0.0,0.0,0.0,3
Mistral 7B,30,1,0.0,0.1,0.0,3
Mistral 7B,31,1,0.0,0.0,0.0,3
Mistral 7B,32,1,0.03333333333333333,0.0,inf,3
Mistral 7B,33,1,0.05,0.05,1.0,3
Mistral 7B,34,1,0.0,0.0,0.0,3
Mistral 7B,35,1,0.06666666666666667,0.2,0.3333333333333333,3
Mistral 7B,36,1,0.0,0.0,0.0,3
Mistral 7B,37,1,0.05,0.18333333333333332,0.27272727272727276,3
Mistral 7B,38,2,0.18333333333333332,0.16666666666666666,1.1,3
Mistral 7B,39,1,0.0,0.0,0.0,3
Mistral 7B,40,1,0.0,0.0,0.0,3
Mistral 7B,41,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,42,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,43,1,0.21666666666666665,0.15,1.4444444444444444,3
Mistral 7B,44,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,45,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,46,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,47,1,0.0,0.0,0.0,3
Mistral 7B,48,1,0.0,0.05,0.0,3
Mistral 7B,49,1,0.03333333333333333,0.0,inf,3
Mistral 7B,50,1,0.0,0.0,0.0,3
Mistral 7B,51,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,52,1,0.1,0.1,1.0,3
Mistral 7B,53,1,0.08333333333333333,0.1,0.8333333333333333,3
Mistral 7B,54,2,0.16666666666666666,0.35,0.4761904761904762,3
Mistral 7B,55,1,0.0,0.0,0.0,3
Mistral 7B,56,1,0.03333333333333333,0.0,inf,3
Mistral 7B,57,1,0.0,0.0,0.0,3
Mistral 7B,58,1,0.0,0.0,0.0,3
Mistral 7B,59,1,0.2,0.1,2.0,3
Mistral 7B,60,1,0.03333333333333333,0.0,inf,3
Mistral 7B,61,1,0.0,0.0,0.0,3
Mistral 7B,62,1,0.3,0.13333333333333333,2.25,3
Mistral 7B,63,1,0.15,0.06666666666666667,2.25,3
Mistral 7B,64,1,0.03333333333333333,0.0,inf,3
Mistral 7B,65,1,0.08333333333333333,0.1,0.8333333333333333,3
Mistral 7B,66,1,0.0,0.0,0.0,3
Mistral 7B,67,1,0.1,0.4,0.25,3
Mistral 7B,68,1,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,69,1,0.06666666666666667,0.25,0.26666666666666666,3
Mistral 7B,70,1,0.0,0.0,0.0,3
Mistral 7B,71,1,0.11666666666666665,0.15,0.7777777777777777,3
Mistral 7B,72,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,73,1,0.0,0.0,0.0,3
Mistral 7B,74,1,0.0,0.0,0.0,3
Mistral 7B,75,1,0.1,0.03333333333333333,3.0,3
Mistral 7B,76,1,0.03333333333333333,0.0,inf,3
Mistral 7B,77,1,0.03333333333333333,0.0,inf,3
Mistral 7B,78,1,0.06666666666666667,0.0,inf,3
Mistral 7B,79,2,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,80,1,0.0,0.1,0.0,3
Mistral 7B,81,1,0.11666666666666665,0.2,0.5833333333333333,3
Mistral 7B,82,1,0.06666666666666667,0.2,0.3333333333333333,3
Mistral 7B,83,1,0.0,0.0,0.0,3
Mistral 7B,84,1,0.0,0.0,0.0,3
Mistral 7B,85,2,0.06666666666666667,0.0,inf,3
Mistral 7B,86,2,0.05,0.05,1.0,3
Mistral 7B,87,1,0.13333333333333333,0.2,0.6666666666666666,3
Mistral 7B,88,1,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,89,1,0.0,0.0,0.0,3
Mistral 7B,90,1,0.06666666666666667,0.2,0.3333333333333333,3
Mistral 7B,91,1,0.05,0.06666666666666667,0.75,3
Mistral 7B,92,1,0.0,0.0,0.0,3
Mistral 7B,93,1,0.08333333333333333,0.1,0.8333333333333333,3
Mistral 7B,94,1,0.03333333333333333,0.2,0.16666666666666666,3
Mistral 7B,95,3,0.08333333333333333,0.15,0.5555555555555556,3
Mistral 7B,96,1,0.05,0.05,1.0,3
Mistral 7B,97,1,0.0,0.03333333333333333,0.0,3
Mistral 7B,98,1,0.03333333333333333,0.0,inf,3
Mistral 7B,99,1,0.0,0.0,0.0,3
Mistral 7B,100,1,0.1,0.03333333333333333,3.0,3
Mistral 7B,101,2,0.3,0.06666666666666667,4.5,3
Mistral 7B,102,1,0.0,0.0,0.0,3
Mistral 7B,103,1,0.0,0.0,0.0,3
Mistral 7B,104,1,0.03333333333333333,0.2,0.16666666666666666,3
Mistral 7B,105,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,106,1,0.0,0.0,0.0,3
Mistral 7B,107,1,0.0,0.0,0.0,3
Mistral 7B,108,1,0.0,0.0,0.0,3
Mistral 7B,109,1,0.0,0.1,0.0,3
Mistral 7B,110,2,0.06666666666666667,0.0,inf,3
Mistral 7B,111,1,0.0,0.0,0.0,3
Mistral 7B,112,1,0.0,0.0,0.0,3
Mistral 7B,113,1,0.05,0.05,1.0,3
Mistral 7B,114,1,0.0,0.0,0.0,3
Mistral 7B,115,1,0.03333333333333333,0.0,inf,3
Mistral 7B,116,1,0.0,0.0,0.0,3
Mistral 7B,117,1,0.0,0.0,0.0,3
Mistral 7B,118,1,0.1,0.06666666666666667,1.5,3
Mistral 7B,119,1,0.05,0.0,inf,3
Mistral 7B,120,2,0.15,0.05,2.9999999999999996,3
Mistral 7B,121,1,0.0,0.0,0.0,3
Mistral 7B,122,1,0.1,0.06666666666666667,1.5,3
Mistral 7B,123,1,0.0,0.0,0.0,3
Mistral 7B,124,1,0.03333333333333333,0.0,inf,3
Mistral 7B,125,1,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,126,1,0.0,0.05,0.0,3
Mistral 7B,127,1,0.05,0.08333333333333333,0.6000000000000001,3
Mistral 7B,128,1,0.0,0.0,0.0,3
Mistral 7B,129,1,0.0,0.0,0.0,3
Mistral 7B,130,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,131,1,0.0,0.0,0.0,3
Mistral 7B,132,1,0.0,0.0,0.0,3
Mistral 7B,133,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,134,1,0.0,0.0,0.0,3
Mistral 7B,135,2,0.1,0.05,2.0,3
Mistral 7B,136,1,0.16666666666666666,0.25,0.6666666666666666,3
Mistral 7B,137,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,138,1,0.0,0.0,0.0,3
Mistral 7B,139,1,0.0,0.0,0.0,3
Mistral 7B,140,1,0.0,0.0,0.0,3
Mistral 7B,141,1,0.15,0.11666666666666665,1.2857142857142858,3
Mistral 7B,142,1,0.0,0.0,0.0,3
Mistral 7B,143,1,0.1,0.1,1.0,3
Mistral 7B,144,1,0.16666666666666666,0.1,1.6666666666666665,3
Mistral 7B,145,1,0.0,0.0,0.0,3
Mistral 7B,146,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,147,1,0.18333333333333332,0.1,1.833333333333333,3
Mistral 7B,148,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,149,1,0.16666666666666666,0.13333333333333333,1.25,3
Mistral 7B,150,1,0.0,0.03333333333333333,0.0,3
Mistral 7B,151,1,0.1,0.13333333333333333,0.75,3
Mistral 7B,152,1,0.3,0.21666666666666665,1.3846153846153848,3
Mistral 7B,153,2,0.3,0.11666666666666665,2.5714285714285716,3
Mistral 7B,154,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,155,1,0.0,0.1,0.0,3
Mistral 7B,156,1,0.2,0.1,2.0,3
Mistral 7B,157,1,0.0,0.0,0.0,3
Mistral 7B,158,1,0.1,0.03333333333333333,3.0,3
Mistral 7B,159,1,0.5,0.3,1.6666666666666667,3
Mistral 7B,160,1,0.08333333333333333,0.0,inf,3
Mistral 7B,161,1,0.0,0.0,0.0,3
Mistral 7B,162,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,163,1,0.05,0.1,0.5,3
Mistral 7B,164,1,0.0,0.1,0.0,3
Mistral 7B,165,1,0.0,0.0,0.0,3
Mistral 7B,166,1,0.0,0.0,0.0,3
Mistral 7B,167,3,0.15,0.0,inf,3
Mistral 7B,168,1,0.0,0.0,0.0,3
Mistral 7B,169,2,0.03333333333333333,0.0,inf,3
Mistral 7B,170,1,0.05,0.0,inf,3
Mistral 7B,171,1,0.03333333333333333,0.0,inf,3
Mistral 7B,172,1,0.0,0.1,0.0,3
Mistral 7B,173,1,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,174,1,0.0,0.0,0.0,3
Mistral 7B,175,2,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,176,1,0.0,0.1,0.0,3
Mistral 7B,177,2,0.03333333333333333,0.0,inf,3
Mistral 7B,178,1,0.0,0.1,0.0,3
Mistral 7B,179,1,0.1,0.1,1.0,3
Mistral 7B,180,1,0.3,0.11666666666666665,2.5714285714285716,3
Mistral 7B,181,1,0.0,0.0,0.0,3
Mistral 7B,182,1,0.0,0.0,0.0,3
Mistral 7B,183,1,0.0,0.0,0.0,3
Mistral 7B,184,1,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,185,1,0.0,0.1,0.0,3
Mistral 7B,186,1,0.0,0.0,0.0,3
Mistral 7B,187,1,0.15,0.1,1.4999999999999998,3
Mistral 7B,188,1,0.0,0.0,0.0,3
Mistral 7B,189,2,0.03333333333333333,0.0,inf,3
Mistral 7B,190,1,0.0,0.0,0.0,3
Mistral 7B,191,1,0.0,0.0,0.0,3
Mistral 7B,192,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,193,1,0.0,0.0,0.0,3
Mistral 7B,194,1,0.0,0.05,0.0,3
Mistral 7B,195,1,0.0,0.1,0.0,3
Mistral 7B,196,1,0.0,0.1,0.0,3
