step,correctness_q_t_bf16,mean_entropy_bf16,hidden_l2_drift_bf16,correctness_q_t_4bit,mean_entropy_4bit,hidden_l2_drift_4bit
1,0.274,0.2621449774007002,0.0,0.36444444444444446,0.2582769097222222,0.0
2,0.30466666666666664,0.2359316493272781,72.14267787424723,0.14444444444444443,0.26605631510416666,66.95760242038303
3,0.4553333333333333,0.20871321569631493,69.38957879257202,0.25,0.24930040147569443,58.92638164520264
4,0.596,0.20242418253297603,57.96665950393677,0.5077777777777778,0.23292236328125,59.35170553101434
5,0.6653333333333333,0.21034395300969477,46.457319153149925,0.6633333333333333,0.21117886013454862,52.97876518090566
6,0.69,0.20906913662205137,40.062249691963196,0.7288888888888889,0.16456217447916666,38.72322491698795
7,0.6973333333333334,0.20462500424931443,34.99311058394114,0.7466666666666667,0.13866797553168403,32.44757732603285
8,0.6993333333333334,0.19285409308473264,30.58417788251241,0.7644444444444445,0.10137936062282986,25.678239724371167
9,0.7026666666666667,0.1847442453615367,28.06948874092102,0.7788888888888889,0.0912312995062934,21.84764191389084
10,0.7053333333333334,0.13645317656391606,25.264965061187745,0.7788888888888889,0.054290534125434026,18.78883552763197
