detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity,aggregation_level,group_name,run_name,run_label,family,parameter_count,rank
oracle,3.3708888888888886,0.6630111111111111,0.6630111111111111,0.0,0.0,0.0,0.0,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,1
verifier_first_correct,4.845777777777777,0.6017111111111111,0.6630111111111111,0.06129999999999994,0.11511111111111111,0.20599999999999996,1.648,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,2
hazard_drift,4.589777777777778,0.42828888888888894,0.6630111111111111,0.2347222222222222,0.13999999999999999,0.6153333333333334,1.5055555555555555,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,3
e_process,6.2,0.40111111111111103,0.6630111111111111,0.26189999999999997,0.04377777777777773,0.9075555555555557,2.908,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,4
answer_stability,5.204,0.38424444444444444,0.6630111111111111,0.27876666666666666,0.11088888888888888,0.8457777777777777,2.0797777777777777,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,5
entropy_plateau,4.053111111111111,0.3746777777777777,0.6630111111111111,0.2883333333333333,0.21111111111111105,0.7086666666666667,1.2546666666666668,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,6
empirical_bernstein,9.0,0.28288888888888886,0.6630111111111111,0.38012222222222225,0.005999999999999966,0.9784444444444444,5.635111111111111,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,7
never_stop,10.0,0.22688888888888892,0.6630111111111111,0.43612222222222224,0.0,0.9940000000000001,6.629111111111111,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,8
first_answer,1.0,0.11511111111111111,0.6630111111111111,0.5478999999999999,1.0,0.0,0.0,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,9
oracle,3.927333333333333,0.5642999999999999,0.5642999999999999,0.0,0.0,0.0,0.0,run,qwen2p5_14b,qwen2p5_14b,Qwen 14B,Qwen2.5 instruct,14B,1
verifier_first_correct,6.078666666666667,0.4687333333333333,0.5642999999999999,0.0955666666666666,0.03,0.2773333333333333,2.2186666666666666,run,qwen2p5_14b,qwen2p5_14b,Qwen 14B,Qwen2.5 instruct,14B,2
hazard_drift,5.756666666666667,0.2108333333333333,0.5642999999999999,0.3534666666666667,0.2173333333333333,0.438,2.304666666666667,run,qwen2p5_14b,qwen2p5_14b,Qwen 14B,Qwen2.5 instruct,14B,3
