run_id,brier,auc,n,scope
qwen2p5_14b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.0082698490103596,,10,per_run_oof
qwen2p5_14b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.0676028658424529,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.009638284897554934,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.2761246552980434,0.625,10,per_run_oof
qwen2p5_14b__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.03140816950983303,,10,per_run_oof
qwen2p5_14b__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.07816244044849525,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00002_ae407466__temp0.10__seed7,0.17844536046282908,0.92,10,per_run_oof
qwen2p5_14b__gsm8k_train_00002_ae407466__temp0.60__seed7,0.07931603113831845,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00002_ae407466__temp1.00__seed7,0.0524456335174925,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.009128327414472047,,10,per_run_oof
qwen2p5_14b__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.013497138799430439,,10,per_run_oof
qwen2p5_14b__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.06909917623777306,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.017302720595461295,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.24861888596988138,0.8125,10,per_run_oof
qwen2p5_14b__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.14550956279063848,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00005_d0817615__temp0.10__seed7,0.23657369528151015,0.7619047619047619,10,per_run_oof
qwen2p5_14b__gsm8k_train_00005_d0817615__temp0.60__seed7,0.21223977282675593,0.5416666666666666,10,per_run_oof
qwen2p5_14b__gsm8k_train_00005_d0817615__temp1.00__seed7,0.07220054260908312,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.12762471894669208,0.6666666666666666,10,per_run_oof
qwen2p5_14b__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.1269564169441631,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.10275207079793566,0.8095238095238095,10,per_run_oof
qwen2p5_14b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.025708518668179435,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.0710729296440731,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.031073548352078328,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.06036043133735945,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.015051488897388263,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.049456017403484556,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.02466597375288865,,10,per_run_oof
qwen2p5_14b__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.4144842789362248,0.36,10,per_run_oof
qwen2p5_14b__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.42183540983730594,0.41666666666666663,10,per_run_oof
qwen2p5_14b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.09018674476684777,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.024562710270034677,,10,per_run_oof
qwen2p5_14b__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.02421665241780281,,10,per_run_oof
qwen2p5_14b__gsm8k_train_00011_127045f3__temp0.10__seed7,0.045587318712019355,,10,per_run_oof
qwen2p5_14b__gsm8k_train_00011_127045f3__temp0.60__seed7,0.013865223118596906,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00011_127045f3__temp1.00__seed7,0.019729283353856063,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.38461964356741046,0.75,10,per_run_oof
qwen2p5_14b__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.5720777488540338,0.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.2062590118090874,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.0111256865225654,,10,per_run_oof
qwen2p5_14b__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.017828561552123857,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.11047094023370232,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.06550148950448373,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00014_f0103a9f__temp0.60__seed7,0.0596372738566999,1.0,10,per_run_oof
qwen2p5_14b__gsm8k_train_00014_f0103a9f__temp1.00__seed7,0.12028984187601617,0.6666666666666667,10,per_run_oof
