model,feature,coefficient
correctness_probe,step,0.7530128932972984
correctness_probe,entropy_mean,-0.7010407638769371
correctness_probe,entropy_std,0.6715317752102428
correctness_probe,confidence,0.8402836639356752
correctness_probe,answer_changed,-0.3991983667789391
correctness_probe,thought_token_count,0.24345332656257163
correctness_probe,hidden_l2_shift,1.1524187095052925
correctness_probe,hidden_cosine_shift,-0.7088537573810118
correctness_probe,lexical_echo,-0.11655768578026743
correctness_probe,verbose_confidence_proxy,-0.340652324612627
repair_hazard,step,-0.3971513269125761
repair_hazard,entropy_mean,-0.32556540057733413
repair_hazard,entropy_std,-0.14972190778846498
repair_hazard,confidence,-0.13531572320457408
repair_hazard,answer_changed,0.452716858644778
repair_hazard,thought_token_count,0.07792796384368653
repair_hazard,hidden_l2_shift,0.28974636403484116
repair_hazard,hidden_cosine_shift,-0.49102797686698857
repair_hazard,lexical_echo,-0.20672259575615168
repair_hazard,verbose_confidence_proxy,0.26235386473978045
corruption_hazard,step,-0.8154668941470428
corruption_hazard,entropy_mean,1.36769425650934
corruption_hazard,entropy_std,-1.3292365732098885
corruption_hazard,confidence,-0.30731266410992575
corruption_hazard,answer_changed,0.6247590227777885
corruption_hazard,thought_token_count,-1.0157031106286922
corruption_hazard,hidden_l2_shift,1.5365163277757152
corruption_hazard,hidden_cosine_shift,-1.074514619289222
corruption_hazard,lexical_echo,0.5400147074678743
corruption_hazard,verbose_confidence_proxy,1.2222414734573421
